,Id,Name,known_as,Estd,State,City,Address,ownership,Approved_by,Affilate_to,contact,Rank,website,score,facilities,exams,stream,faculty,facebook,twitter,youtube,wiki
5105,5105,"Ganpat University Institute of Computer Technology, Mehsana",,, Gujarat,Mehsana, Ganpat University  Ganpat Vidyanagar-384012  Mehsana - Gozaria Highway  Mehsana  Gujarat,Private,UGC,,07567026581,,http://www.ict.gnu.ac.in/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'IT Infrastructure']",['JEE Main'],eng,15,https://www.facebook.com/gnuict/,https://twitter.com/gnuict,https://www.youtube.com/channel/UCLj7VdRCPuxf9bGWWINMu6Q,
5106,5106,"Apex Institute of Technology, Chandigarh",,, Punjab,Gharuan, Chandigarh,Private,(AICTE) All India Council of Technical Education,,0160-3051003,,http://www.cuchd.in/ait/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'Transport', 'IT Infrastructure']",['JEE Main'],eng,,https://www.facebook.com/chandigarhuniversitygharuan/photos/a.257991040974289.49138.241940555912671/737974902975898/,,,
5107,5107,"University Institute of Technology Rajiv Gandhi Proudyogiki Vishwavidyalaya, Jhabua",,2015, Madhya Pradesh,Jhabua, Shaskiya Polytechnic Mahavidyalaya Jhabua  Madhya Pradesh  India,Government,,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",0739-2244216,,https://www.rgpv.ac.in/Inst/Frm_CollegeHome.aspx?CollegeCode=QaCEICNRHGo%3D,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'IT Infrastructure']",['JEE Main'],eng,,,,,
5108,5108,"Government Polytechnic, Ahmedabad",,1954, Gujarat,Ahmedabad, Ambawadi  Ahmedabad  Pincode: 380015,Government,(AICTE) All India Council of Technical Education,,07926301285,,http://www.gpah.cteguj.in/,,"['Library', 'Sports', 'IT Infrastructure']",['JEE Main'],eng,160,https://www.facebook.com/Government-Polytechnic-Ahmedabad-202026266492578/?ref=page_internal,,,
5109,5109,"PP Savani University, Surat",,2016, Gujarat,Kosamba, NH 8  GETCO  Near Biltech  Village: Dhamdod  Kosamba  Dist.: Surat - 394125 Gujarat,Private,"(AICTE) All India Council of Technical Education +2 more(INC) Indian Nursing Council, UGC",,02629-296788,,http://www.ppsuni.ac.in/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'Transport', 'IT Infrastructure']",['JEE Main'],eng,33,https://www.facebook.com/ppsuni,https://twitter.com/ppsavaniuni,https://www.youtube.com/channel/UCroSk1v3jeFfevS6U4IpkOQ,https://en.wikipedia.org/wiki/P_P_Savani_University
5110,5110,"Dr VR Godhania College of Engineering and Technology, Porbandar",,2017, Gujarat,Porbandar, Porbandar ,Private,(AICTE) All India Council of Technical Education,,08866727457,,http://www.vrgenggcollege.com/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'IT Infrastructure']","['GUJCET', 'JEE Main']",eng,25,https://www.facebook.com/vrgcet/,,,
5111,5111,"Talent Institute of Architecture, Malappuram",,2015, Kerala,Edappal,Talent Technical Campus  Mudur P.O  Edappal  Pin : 679578  Malappuram  Kerala ,Private,"COA +2 moreUGC, Government of Kerala","University of Calicut, Malappuram",0494-2690218,,http://talentiba.org/beta/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Transport', 'IT Infrastructure']","['GUJCET', 'JEE Main']",eng,,https://www.facebook.com/talenttiba/,,,
5112,5112,"College of Agricultural Engineering and Technology, Bhubaneswar",,1966, Odisha,Bhubaneswar, Orissa University of Agriculture & Technology  Bhubaneswar - 751003,Government,UGC,,0674-2562360,,http://caet.ac.in/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'IT Infrastructure']","['GUJCET', 'JEE Main']",eng,37,,,,
5113,5113,"Dr APJ Abdul Kalam Institute of Technology, Tanakpur",,2015, Uttarakhand,Tanakpur, Dr. K.S Vaisla  Nodal Officer  Institute of Technology  Tanakpur  Uttarakhand  India,Government,,"Uttarakhand Technical University, Dehradun",09410112211,,http://ittanakpur.ac.in/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Medical', 'Transport', 'IT Infrastructure']",['JEE Main'],eng,,https://www.facebook.com/Institute-of-Technology-Tanakpur-1099801950095589/?fref=ts,,,
5114,5114,"Phonics School of Engineering, Roorkee",,, Uttarakhand,Roorkee, Imli Khera  Dharampur  12th Mile Stone  Bhagwanpur-Haridwar Highway  Roorkee-247667  Dist- Haridwar (U.K.)  India,Private,(AICTE) All India Council of Technical Education,,01332-287517,,http://www.phonicsedu.com/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",['Uttarakhand Admission'],eng,,https://www.facebook.com/Phonics-Group-of-Institutions-Roorkee-438482356183039/,https://twitter.com/phonicsroorkee?lang=en,,
