,Id,Name,known_as,Estd,State,City,Address,ownership,Approved_by,Affilate_to,contact,Rank,website,score,facilities,exams,stream,faculty,facebook,twitter,youtube,wiki
3170,3170,"Shushruti Institute of Management Studies, Bangalore",,2007, Karnataka,Bengaluru,"No. 68  Shushruti Nagar  Andrahalli Main Road  Peenya 2nd Stage  Bangalore-560091
 ",Private,(AICTE) All India Council of Technical Education,,,,http://www.simsshushruti.com/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Cafeteria', 'Auditorium', 'IT Infrastructure']","['CMAT', 'CAT', 'KMAT', 'MAT']",mang,8,https://www.facebook.com/Shushruti-Institute-of-Management-Studies-SIMS-Students-Association-231272447064986/,,,
3171,3171,"Oxbridge Group of Institutions, Bangalore",,, Karnataka,Bengaluru," Bangalore
#7 8 9  Mahadeshwar Nagar Extnension.
Vishwaneedam Post  Herohalli Cross 
Magadi Main Road  Bangalore - 91  India ",Private,"(AICTE) All India Council of Technical Education +2 more(PCI) Pharmacy Council of India, UGC","Bangalore University, Bangalore",080-23246421,,http://www.oxbridgecollege.in/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Cafeteria', 'Auditorium', 'WiFi', 'IT Infrastructure']",['CAT'],mang,47,,,,
3172,3172,"Allum Karibasappa Institue of Management, Bellary",,1998, Karnataka,Ballari,"Veerashaiva College Campus  Airport Road  Cantonment  Bellari
 ",Private,(AICTE) All India Council of Technical Education,,08392-242600,,http://vvsakim.org/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Cafeteria', 'IT Infrastructure']","['CMAT', 'KMAT', 'PGCET']",mang,5,,,,
3173,3173,"Guru Nanak Institute of Management, Mullana",,2008, Haryana,Mullana," Hema Majra Road  Mullana Ambala-134003  Haryana.India
 ",Private,(AICTE) All India Council of Technical Education,,,,http://gni.edu.in/gnim/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'Transport', 'IT Infrastructure']","['CMAT', 'KMAT', 'PGCET']",mang,17,,,,
3174,3174,"Rawal Institute of Management, Faridabad",,2008, Haryana,Zakopur," Sohna Road  Near Zakopur  Faridabad-121001 Haryana India
 ",Private,(AICTE) All India Council of Technical Education,,0129-3064103,,http://www.riom.in/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'Transport', 'IT Infrastructure']","['CMAT', 'KMAT', 'PGCET']",mang,32,https://www.facebook.com/rawalinstitute/,,,
3175,3175,"Swami Devi Dyal Institute of Management Studies, Panchkula",,2008, Punjab,Barwala," Panchkula Vill: Golpura  Teh Barwala  Distt. Panchkula Haryana – 134118
 ",Private,(AICTE) All India Council of Technical Education,,09467598061,,http://swamidevidyal.ac.in/sdd-institute-of-management-studies.aspx,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'WiFi', 'Transport', 'IT Infrastructure']",['MAT'],mang,16,https://www.facebook.com/sddgpi,,,
3176,3176,"Delhi Global Institute of Management, Faridabad",,2001, Haryana,Jasana,Jasana Faridabad Delhi/NCR ,Private,(AICTE) All India Council of Technical Education,,,,http://www.dgimfaridabad.com/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Cafeteria', 'Medical', 'IT Infrastructure']",['MAT'],mang,25,,,,
3177,3177,"Bhagwan Mahavir College of Management, Surat",BMCM,2007, Gujarat,Surat, Sr. No. 149  VIP Road  Bharthana  Vesu  Surat 395 017  Gujarat  INDIA ,Private,(AICTE) All India Council of Technical Education,,0261-3247110,,http://www.bmefcolleges.edu.in/colleges-details.php?cid=1004,,"['Library', 'Sports', 'Cafeteria', 'Medical', 'IT Infrastructure']",['MAT'],mang,88,,,,
3178,3178,"Mayo College of Management, Bhopal",,2012, Madhya Pradesh,Bhopal," Airport Road  Behind Bank of Baroda  Opp Mahaveer Giri Rope Way (Tourist Spot) 
Near Under Construction Flyover  Bhopal-462032
 ",Private,(AICTE) All India Council of Technical Education +1 moreUGC,"Barkatullah University, Bhopal",09425010770,,http://www.mayocms.in/,,"['Girls Hostel', 'Library', 'Sports', 'Medical', 'IT Infrastructure']",['MAT'],mang,16,,,,
3179,3179,"SPCJ Institute of Commerce Business Management and Economics, Agra",,, Uttar Pradesh,Agra," Khandari  Agra-282002
 ",Government,UGC,,09412255200,,http://www.dbrau.ac.in/spcji.htm,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Medical', 'IT Infrastructure']",['UPSEE MBA'],mang,,,,,
3180,3180,"Mahaveer Institute of Technology and Management, Raebareli",,2009, Uttar Pradesh,Harchandpur,"Gulupur  Kathwara  NH-24B  Lucknow Raibareli Highway  Harchandpur  Raibareli.
 ",Private,(AICTE) All India Council of Technical Education,,09919394444,,http://www.mitmindia.com/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Cafeteria', 'Auditorium', 'Medical', 'IT Infrastructure']",['UPSEE MBA'],mang,7,https://www.facebook.com/Mahaveer-Institute-of-Technology-Management-259063094132041/?fref=photo,,,
3181,3181,"Sardar Bhagat Singh College of Technology and Management, Lucknow",,, Uttar Pradesh,Lucknow," Mohaan Road 
(Near Buddheshwar Chauraha  Lko-Knp Ring Road) Lucknow-226007 (U.P.) ",Private,(AICTE) All India Council of Technical Education,,07800022214,,http://sbsctm.com/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Transport', 'IT Infrastructure']",['UPSEE MBA'],mang,24,https://www.facebook.com/SBSLucknow,,,
3182,3182,"Bora Institute of Management Sciences, Lucknow",,2009, Uttar Pradesh,Lucknow, Lucknow NH-24  Near Sewa Hospital  Sitapur Road   Lucknow  226201 ,Private,(AICTE) All India Council of Technical Education,,,,http://bims.in/,,"['Girls Hostel', 'Library', 'Auditorium', 'Medical', 'IT Infrastructure']",['UPSEE MBA'],mang,25,https://www.facebook.com/Bora-Institute-of-Management-Sciences-456273564441500/,,,
