,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Balaji Institute of International Business, Tathawade",Pimpri-Chinchwad,Maharashtra,PGDM Finance,2 years,Full time,60,PG,6.6 lakhs,(AICTE) All India Council of Technical Education,She/he should be a graduate from any UGC recognized university with minimum 50% marks in graduation; andShould have appeared in any national B-school entrance exam such as CAT/CMAT/XAT or MH-CET.,Post Graduate Diploma in Finance is a two-years full-time Postgraduate management course approved by All India Council for Technical Education.
1,"Balaji Institute of International Business, Tathawade",Pimpri-Chinchwad,Maharashtra,PGDM International Business,2 years,Full time,60,PG,6.6 lakhs,(AICTE) All India Council of Technical Education,She/he should be a graduate from any UGC recognized university with minimum 50% marks in graduation; andShould have appeared in any national B-school entrance exam such as CAT/CMAT/XAT or MH-CET.,Post Graduate Diploma in International Business is a two-years full-time Postgraduate management course approved by All India Council for Technical Education.
2,"Balaji Institute of International Business, Tathawade",Pimpri-Chinchwad,Maharashtra,PGDM Marketing,2 years,Full time,60,PG,6.6 lakhs,(AICTE) All India Council of Technical Education,She/he should be a graduate from any UGC recognized university with minimum 50% marks in graduation; andShould have appeared in any national B-school entrance exam such as CAT/CMAT/XAT or MH-CET.,Post Graduate Diploma in Marketing is a two-years full-time Postgraduate management course approved by All India Council for Technical Education.
3,National Institute of Pharmaceutical Education and Research SAS Nagar,Sahibzada Ajit Singh Nagar,Punjab,MBA Pharm Pharmaceutical Management,2 years,Full time,,PG,2.56 lakhs,UGC,B.Pharm.; B.Tech (Chemical Engg. or equivalent); M.Sc. (Chemical/Life Sciences),Master of Business Management in Pharmacy Pharmaceutical Management is full time two year course degree offered by National Institute of Pharmaceutical Education and Research SAS Nagar and approved by UGC.
4,"Bhim Rao Ambedkar College, Delhi",New Delhi,Delhi,BMS Hons,3 years,Full time,60,UG,0.109 lakhs,UGC,The candidate should have passed in 10+2 with the relevant subject.,Bachelor with Honours in Management Studies is full time three year course approved by UGC.
5,"Entrepreneurship and Management Processes International, New Delhi",New Delhi,Delhi,PGDM,2 years,Full time,120,PG,7.25 lakhs,(AICTE) All India Council of Technical Education,"The minimum eligibility criteria for admission to Post Graduate Diploma in Management (PGDM) courses is at least a 3-year Bachelor's degree or equivalent in any discipline recognized by the Association of Indian Universities/AICTE as eligible for Post-Graduate Studies. Candidates in the final year of a Bachelor's degree course or equivalent are also eligible to apply. However, they are required to furnish the proof of graduation before 30th November of the year of joining.",PGDM in Specialisations in Finance/Operations Marketing aims at offering a unique opportunity to sensitize the students on the current developments in accounting and finance. The program is designed to help students to adapt to the constantly evolving fields of accounting and finance while preparing them for success in both.
6,"Entrepreneurship and Management Processes International, New Delhi",New Delhi,Delhi,PGDM Global Business Management,2 years,Full time,30,PG,7.25 lakhs,(AICTE) All India Council of Technical Education,"The minimum eligibility criteria for admission to Post Graduate Diploma in Management (PGDM) courses is at least a 3-year Bachelor's degree or equivalent in any discipline recognized by the Association of Indian Universities/AICTE as eligible for Post-Graduate Studies. Candidates in the final year of a Bachelor's degree course or equivalent are also eligible to apply. However, they are required to furnish the proof of graduation before 30th November of the year of joining.","PGDM (Global Business) with the focus on IBM Co-Certified E-Commerce EMPI pioneered in India a program that addressed the globalization of business as India integrated with the world economy and global trade rose dramatically through the last 25 years. However, the process of globalization has witnessed along with the explosion of the Internet economy, the rise of e-commerce. India in the last few years has witnessed a surprising upsurge in e-commerce activities. These have come about because of a number of changes. Firstly, the success of local e-commerce companies has been based on Indian software capability to mix and match various technologies on the cheap. Secondly, the whole concept of electronic transactions being based on a legal structure designed for physical transactions with its attendant financial and consumer issues. Thirdly, there is the larger concern of international equity being used to depress prices to expand market share and bring valuation and fourthly, the security aspect of secure transactions over the wireless internet and finally a huge dearth of Management and skills to effectively manage the dramatic scaling up that is happening in the sector. Jointly along with IBM, EMPI is restructuring its global business programme to bring in elements of e-commerce so as to make prospective students ready for this explo"
7,"Entrepreneurship and Management Processes International, New Delhi",New Delhi,Delhi,PGDM Human Resources,2 years,Full time,30,PG,7.25 lakhs,(AICTE) All India Council of Technical Education,"The minimum eligibility criteria for admission to Post Graduate Diploma in Management (PGDM) courses is at least a 3-year Bachelor's degree or equivalent in any discipline recognized by the Association of Indian Universities/AICTE as eligible for Post-Graduate Studies. Candidates in the final year of a Bachelor's degree course or equivalent are also eligible to apply. However, they are required to furnish the proof of graduation before 30th November of the year of joining.","PGDM (Human Resources) with the focus on ManpowerGroup Co-Certified Talent Acquisition and HR Operations. EMPI’s Udai Pareek Human Resource Laboratory for Applied Behavioral Sciences (UP HR-LABS) is a center of Excellence in HR at EMPI Business School New Delhi. Foundation stone of UP HR-LABS was laid down on May 3, 2004 under the Chairmanship of Dr. Udai Pareek, the then Chairman of the Academy of Human Resource Development, Ahmedabad and former L&T Chair Professor of Organizational Behavior at IIM Ahmedabad , and popularly known as the “HRD Guru” or the “Father of HRD Movement in India”. It started with a vision to produce competent HR professionals, who can make the unique contribution to business rather than just provide HR services by working in the areas of education, training, consultancy, research and Assessm"
8,"Entrepreneurship and Management Processes International, New Delhi",New Delhi,Delhi,PGDM Research and Business Analytics,2 years,Full time,30,PG,7.25 lakhs,(AICTE) All India Council of Technical Education,"The minimum eligibility criteria for admission to Post Graduate Diploma in Management (PGDM) courses is at least a 3-year Bachelor's degree or equivalent in any discipline recognized by the Association of Indian Universities/AICTE as eligible for Post-Graduate Studies. Candidates in the final year of a Bachelor's degree course or equivalent are also eligible to apply. However, they are required to furnish the proof of graduation before 30th November of the year of joining.","PGDM (Research & Business Analytics) IBM Co-Certified Research and Business Analytics Programme. EMPI is the proud pioneer for conducting Business Analytics education awarding 2-Years full time PGDM (approved by AICTE/ equivalent to MBA, Approved by AIU) since 2008. Celebrating its 20th year, EMPI in association with the IBM now announces ‘Innovation’ embedded, industry integrated analytics programs enhancing thereby global career opportunity for "
9,"Entrepreneurship and Management Processes International, New Delhi",New Delhi,Delhi,PGP in Digital and Social Media Marketing for Working Executives,1 year,Part Time,,PG,,,"Graduation in any discipline. Students who have appeared for final year exams can also apply
Diploma holders in different disciplines may also apply
Applicants must possess minimum computer literacy","EMPI Business Schools offers 1-year Fast Track PGP in Digital and Social Media Marketing for Working Executives, MNC co-certified, futuristic PGPs based on the Train to Hire model of MNCs, wherein the pedagogy is a mix of classroom interactivity and industrial training running in parallel to impart maximum preparation for making the post graduate student job-ready. Th...See More"
