,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Vishwakarma Global Business School, Pune",Pune,Maharashtra,PGD Agri Business Management,2 years,Full time,,PG,3.5 lakhs,(AICTE) All India Council of Technical Education,"Candidates with minimum 50% marks in graduation (45% for reserved categories) from recognized university and with a valid score in national level entrance tests CAT/ MAT/ XAT/ ATMA/ CMAT are eligible to apply (all such exams shall be treated at par) enabling the candidate to appear for GD-PI process directly.
Candidates appearing for the final year degree examination up to June 2015 can also apply. Such candidates, whose final year degree result is not declared at the time of admission will be admitted provisionally after submitting a bonafide certificate from the Head of the Institution stating that he /she is a regular student. The admission of such a candidate will be confirmed only if he/she provides a proof of passing the final year degree examination with minimum 50% marks by 31 August, 2015","Agri Business Management course comprises of many facets and activities. You will find that there are many opportunities in Agri Business Management, but the common denominator of those opportunities is the sense of ownership over the product and/or service and the necessity to understand the customer’s needs and desires and then be able to translate those needs in ...See More"
1,"Vishwakarma Global Business School, Pune",Pune,Maharashtra,PGD Construction Management,2 years,Full time,,PG,3.5 lakhs,(AICTE) All India Council of Technical Education,"Candidates with minimum 50% marks in graduation (45% for reserved categories) from recognized university and with a valid score in national level entrance tests CAT/ MAT/ XAT/ ATMA/ CMAT are eligible to apply (all such exams shall be treated at par) enabling the candidate to appear for GD-PI process directly.
Candidates appearing for the final year degree examination up to June 2015 can also apply. Such candidates, whose final year degree result is not declared at the time of admission will be admitted provisionally after submitting a bonafide certificate from the Head of the Institution stating that he /she is a regular student. The admission of such a candidate will be confirmed only if he/she provides a proof of passing the final year degree examination with minimum 50% marks by 31 August, 2015","Construction management is a professional field that focuses on each part of the construction process of any built environment. It typically encompasses commercial building sites or multi-unit residential sites, but not usually single-family residential building sites. Management of the site may be maintained by a general contractor or a separate entity, and the perso...See More"
2,,,,,,,,,,,,
3,"Vishwakarma Global Business School, Pune",Pune,Maharashtra,PGD Finance Management,2 years,Full time,,PG,3.5 lakhs,(AICTE) All India Council of Technical Education,"Candidates with minimum 50% marks in graduation (45% for reserved categories) from recognized university and with a valid score in national level entrance tests CAT/ MAT/ XAT/ ATMA/ CMAT are eligible to apply (all such exams shall be treated at par) enabling the candidate to appear for GD-PI process directly.
Candidates appearing for the final year degree examination up to June 2015 can also apply. Such candidates, whose final year degree result is not declared at the time of admission will be admitted provisionally after submitting a bonafide certificate from the Head of the Institution stating that he /she is a regular student. The admission of such a candidate will be confirmed only if he/she provides a proof of passing the final year degree examination with minimum 50% marks by 31 August, 2015","The finance special program leads to a wide range of financial careers from corporate finance to numerous financial services. Apart from regular corporate financial analysis the course also focuses at new entrants in the field of finance discipline such as Hedge funds, PE, venture capital, EVA, Equity analysis, IFRS, Fund of funds, Dry Powder, PEPE etc. We at VGBS fos...See More"
4,"Vishwakarma Global Business School, Pune",Pune,Maharashtra,PGD Human Resource Management,2 years,Full time,,PG,3.5 lakhs,(AICTE) All India Council of Technical Education,"Candidates with minimum 50% marks in graduation (45% for reserved categories) from recognized university and with a valid score in national level entrance tests CAT/ MAT/ XAT/ ATMA/ CMAT are eligible to apply (all such exams shall be treated at par) enabling the candidate to appear for GD-PI process directly.
Candidates appearing for the final year degree examination up to June 2015 can also apply. Such candidates, whose final year degree result is not declared at the time of admission will be admitted provisionally after submitting a bonafide certificate from the Head of the Institution stating that he /she is a regular student. The admission of such a candidate will be confirmed only if he/she provides a proof of passing the final year degree examination with minimum 50% marks by 31 August, 2015","Human Resource Management (HRM, or simply HR) is the management of an organization’s workforce, or human resources. It is responsible for the attraction, selection, training, assessment, and rewarding of employees, while also overseeing organizational leadership and culture, and ensuring compliance with employment and labor laws. In circumstances where employees des...See More"
5,"Vishwakarma Global Business School, Pune",Pune,Maharashtra,PGD Logistic and Supply Chain Management,2 years,Full time,,PG,3.5 lakhs,(AICTE) All India Council of Technical Education,"Candidates with minimum 50% marks in graduation (45% for reserved categories) from recognized university and with a valid score in national level entrance tests CAT/ MAT/ XAT/ ATMA/ CMAT are eligible to apply (all such exams shall be treated at par) enabling the candidate to appear for GD-PI process directly.
Candidates appearing for the final year degree examination up to June 2015 can also apply. Such candidates, whose final year degree result is not declared at the time of admission will be admitted provisionally after submitting a bonafide certificate from the Head of the Institution stating that he /she is a regular student. The admission of such a candidate will be confirmed only if he/she provides a proof of passing the final year degree examination with minimum 50% marks by 31 August, 2015","Effective logistics and supply chain management is all PGDM in ensuring that consumers and businesses receive the right products and services, at the right time and place, in an agreed quantity and condition. Without logistics and supply chain structures, businesses cannot function. Logistics and supply chain graduates are in high demand around the world. Within this ...See More"
6,"Vishwakarma Global Business School, Pune",Pune,Maharashtra,PGD Marketing Management,2 years,Full time,,PG,3.5 lakhs,(AICTE) All India Council of Technical Education,"Candidates with minimum 50% marks in graduation (45% for reserved categories) from recognized university and with a valid score in national level entrance tests CAT/ MAT/ XAT/ ATMA/ CMAT are eligible to apply (all such exams shall be treated at par) enabling the candidate to appear for GD-PI process directly.
Candidates appearing for the final year degree examination up to June 2015 can also apply. Such candidates, whose final year degree result is not declared at the time of admission will be admitted provisionally after submitting a bonafide certificate from the Head of the Institution stating that he /she is a regular student. The admission of such a candidate will be confirmed only if he/she provides a proof of passing the final year degree examination with minimum 50% marks by 31 August, 2015","Marketing Management course comprises of many facets and activities. You will find that there are many opportunities in marketing, but the common denominator of those opportunities is the sense of ownership over the product and/or service and the necessity to understand the customer’s needs and desires and then be able to translate those needs in the communication o...See More"
7,"Vishwakarma Global Business School, Pune",Pune,Maharashtra,PGD Retail Management,2 years,Full time,,PG,3.5 lakhs,(AICTE) All India Council of Technical Education,"Candidates with minimum 50% marks in graduation (45% for reserved categories) from recognized university and with a valid score in national level entrance tests CAT/ MAT/ XAT/ ATMA/ CMAT are eligible to apply (all such exams shall be treated at par) enabling the candidate to appear for GD-PI process directly.
Candidates appearing for the final year degree examination up to June 2015 can also apply. Such candidates, whose final year degree result is not declared at the time of admission will be admitted provisionally after submitting a bonafide certificate from the Head of the Institution stating that he /she is a regular student. The admission of such a candidate will be confirmed only if he/she provides a proof of passing the final year degree examination with minimum 50% marks by 31 August, 2015",Retail Management Course aims to identify areas and issues in the growing retail industry of India and develop analytical solutions for the industry that has direct or indirect impact on the end consumer. It also aims to develop relevant teaching and training material apart from fostering collaborative research in the field Retail Management.
8,"Jharkhand Rai University, Ranchi",Ranchi,Jharkhand,BBA,3 years,Full time,,UG,1.78 lakhs,UGC,Minimum qualification for admission in program: 10+2 or its equivalent.,Duration of the course shall be spread over 3 Years spread over in six semester with approval of UGC
9,"Jharkhand Rai University, Ranchi",Ranchi,Jharkhand,BBA Agri Business,3 years,Full time,,UG,1.3 lakhs,UGC,Candidate must have passed 10+2 from any recognized board or equivalent,"There are a variety of career options available in agribusiness. Agribusiness careers can cross in to multitude of industries as well including farming, real estate, retail marketing, food processing and investments etc. Some of the most common career options available include, Farm Manager, Market analyst, Farm Appraiser, Agriculture policy analyst, Quality controlle...See More"
