,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Krishnasamy College of Science Arts and Management for Women, Cuddalore",Marudadu,Tamil Nadu,BBA,3 years,Full time,,UG,0.36 lakhs,UGC,+2 Pass. Academic/Vocational,It is 3 year full time course.
1,"Government Arts College, Tiruvannamalai",Tiruvannamalai,Tamil Nadu,BBA,3 years,Full time,44,UG,,UGC,12th Pass from any recognized board or equivalent.,It is 3 year full time course.
2,"Government Arts College, Tiruvannamalai",Tiruvannamalai,Tamil Nadu,BBA ll Shift,3 years,Full time,44,UG,,UGC,12th Pass from any recognized board or equivalent.,It is 3 year full time course.
3,"Loyola College, Tiruvannamalai",Vettavalam,Tamil Nadu,BBA,3 years,Full time,,UG,,UGC,12th Pass from any recognized board or equivalent.,It is 3 year full time course.
4,"Arignar Anna Government Arts College for Women, Vellore",Vellore,Tamil Nadu,BBA,3 years,Full time,55,UG,,UGC,12th Pass from any recognized board or equivalent.,It is 3 year full time course.
5,"DKM College for Women, Vellore",Vellore,Tamil Nadu,BBA,3 years,Full time,70,UG,,UGC,12th Pass from any recognized board or equivalent.,Bachelor of Business Administration is three-year full time course.
6,"DKM College for Women, Vellore",Vellore,Tamil Nadu,M.Phil Management Studies,1 year,Full time,25,PG,,UGC,Masters Degree.,It is 1 year full time course.
7,"DKM College for Women, Vellore",Vellore,Tamil Nadu,MA Human Resource Management,2 years,Full time,40,PG,,UGC,Bachelors degree in related branch.,MA Human Resource Management is two-year full time course.
8,"Voorhees College, Vellore",Vellore,Tamil Nadu,BBA,3 years,Full time,,UG,,UGC,The candidate should have passed in 10+2 with relevant subject.,"This is a full-time three-year course affiliated to Thiruvalluvar University, Vellore and approved by UGC."
9,"Voorhees College, Vellore",Vellore,Tamil Nadu,MA Defence and Strategic Studies Self Financed,2 years,Full time,,PG,,UGC,The candidate should have relevant graduate degree.,"This is a full-time two-year course affiliated to Thiruvalluvar University, Vellore and approved by UGC."
10,"MMES Women's Arts and Science College, Vellore",Melvisharam,Tamil Nadu,BBA,3 years,Full time,,UG,,UGC,The candidate should have passed in 10+2 with relevant subject.,Bachelor of business administration is full time three year course and approved by UGC.
11,"Dr RK Shanmugam College of Arts and Science, Kallakurichi",Viluppuram,Tamil Nadu,BBA,3 years,Full time,,UG,,UGC,The candidate should have passed in 10+2 with the relevant subject.,"Bachelor of Business Administration is a 3 years full time course And affiliated to Thiruvalluvar University,Vellore and approved by UGC."
12,"Madras School of Social Work, Chennai",Chennai,Tamil Nadu,MA Development Management Self Finance,2 years,Full time,,PG,0.94 lakhs,UGC,"Any student with a special interest and aptitude for management of organizations and people, with a Bachelor’s Degree, in any discipline, of a minimum of 3 years duration or its equivalent (under the 10+2+3 pattern or any other pattern (including professional courses) that fulfills the mandatory requirements of 15 years formal education from a recognized University and approved by the University of Madras will be eligible to apply for the course. Preference will be given to candidates with work experience from the Development Sector.","Adopting the CBCS (Choice Based Credit System) pattern the course (92 credit) of study, the M.A. Development Management programme shall extend over 4 semesters (Two years) and shall consist of theory papers (Core, Electives) Field Practicum, Research Project, Summer Placement, Block Placement and Study Tour. Besides the above the students will also undergo soft-skill...See More"
13,"Madras School of Social Work, Chennai",Chennai,Tamil Nadu,MA Human Resource and OD Self Finance,2 years,Full time,,PG,0.94 lakhs,UGC,The Candidates should have passed the three-year Undergraduate Degree Courses through the Universities recognised by the University Grants Commission,"Self Financed : Master of Arts in Human Resource and OD Offered By the University of Madras, Chennai Approved By UGC"
14,"Madras School of Social Work, Chennai",Chennai,Tamil Nadu,MA Human Resources Management,2 years,Full time,,PG,0.94 lakhs,UGC,"A student who has passed bachelor's degree in any discipline from University of Madras,Chennai or from other university accepted by the Syndicate as equivalent thereto, is eligible for admission to this course.","Master of Arts in Human Resources Management Offered By University of Madras,Chennai Approved By UGC"
15,"Madras School of Social Work, Chennai",Chennai,Tamil Nadu,PG Diploma in HR and IR,2 years,Full time,,PG,0.55 lakhs,UGC,"Emphasis is on high quality, Professional Aptitude and the Potential for Training and Development Minimum Qualification for admission is a Bachelor’s Degree in any discipline.","Two-year evening Course leading to PG Diploma in Human Resource and Industrial Relations) Programme Highlights Offered By the University of Madras,Chennai Approved By UGC The two-year programme is divided into 4 semesters of six months each. The curriculum is focused on professional knowledge and accentuates development of specialized and effective skills and foste...See More"
16,"Sri Kanyaka Parameswari Arts and Science College for Women, Chennai",Chennai,Tamil Nadu,B.Com Bank Management II Shift,3 years,Full time,,UG,,,The candidate Should have Commerce/Accounts/Economics in 10+2,"Bachelor of Commerce Bank Management is a three year Shift II undergraduate programme affiliated to University of Madras, Chennai"
17,"Sri Kanyaka Parameswari Arts and Science College for Women, Chennai",Chennai,Tamil Nadu,B.Com Bank Management II Shift,3 years,Full time,,UG,,,The candidate Should have Commerce/Accounts/Economics in 10+2,"Bachelor of Commerce Bank Management is a three year Shift II undergraduate programme affiliated to University of Madras, Chennai"
18,"Sri Kanyaka Parameswari Arts and Science College for Women, Chennai",Chennai,Tamil Nadu,BBA,3 years,Full time,,UG,0.29 lakhs,,A pass in Tamil Nadu Higher Secondary or equivalent examination recognized by the University of Madras with Commerce & Mathematics,"Bachelor of Business Administration is a three-year regular Shift undergraduate programme affiliated to University of Madras, Chennai"
19,"Sri Kanyaka Parameswari Arts and Science College for Women, Chennai",Chennai,Tamil Nadu,MA Human Resources Management,2 years,Full time,,PG,0.28 lakhs,,Pass in any Bachelor's Degree of minimum of 3 years duration or its equivalent from a recognised university in any discipline,Master of Arts in Human Resources Management is a two-year full-time regular Shift postgraduate programme affiliated to University of Madras.
20,"Shri Shankarlal Sundarbai Shasun Jain College for Women, Chennai",Chennai,Tamil Nadu,B.Com Bank Management II Shift,3 years,Full time,,UG,1.28 lakhs,,The candidate should have passed 10+2 with Commerce & Accountancy,"Bachelor of Commerce in Bank Management is a three Year second Shift undergraduate programme affiliated to University of Madras, Chennai"
21,"Shri Shankarlal Sundarbai Shasun Jain College for Women, Chennai",Chennai,Tamil Nadu,B.Com Information System Management II Shift,3 years,Full time,,UG,1.29 lakhs,,"The candidate should have passed 10+2 with Commerce , Accountancy & Computer Science","Bachelor of Commerce in Information System Management is a three Year second Shift undergraduate programme affiliated to University of Madras, Chennai"
22,"Shri Shankarlal Sundarbai Shasun Jain College for Women, Chennai",Chennai,Tamil Nadu,BBA,3 years,Full time,,UG,1.28 lakhs,,The candidate should have passed 10+2 with General Maths / Business Maths /Commerce / Accountancy,"Bachelor of Business Administration is a three Year regular Shift undergraduate programme affiliated to University of Madras, Chennai"
23,"Prof Dhanapalan College of Arts and Science, Chennai",Kelambakkam,Tamil Nadu,BBA,3 years,Full time,,UG,,,The candidate should have passed 10+2 level with related combination.,"Bachelor of Business Administration is three years full time course and affiliated to University of Madras, Chennai."
24,"Chennai National Arts and Science College, Chennai",Avadi,Tamil Nadu,BBA,3 years,Full time,,UG,,,The candidate should have passed 10+2 level with related combination.,"Bachelor of Business Administration is three years full time course and affiliated to University of Madras, Chennai."
25,"Shree Chandraprabhu Jain College, Minjur",Minjur,Tamil Nadu,BBA,3 years,Full time,,UG,,,"Applicants to B.B.A (Business Administration), B.Com.(Corporate Secretaryship) with good marks in Accountancy, Commerce will be given preference.","Bachelor of Business Administration is three years full time course and affiliated to University of Madras, Chennai."
26,"Soka Ikeda College of Arts and Science for Women, Chennai",Chennai,Tamil Nadu,BBA,3 years,Full time,,UG,,,The candidate should have passed 10+2 examination.,"It is 3-year duration full-time course affiliated to University of Madras, Chennai."
27,"Soka Ikeda College of Arts and Science for Women, Chennai",Chennai,Tamil Nadu,MA Human Resource Management II Shift,2 years,Full time,,PG,,,The candidate should have passed Any UG Degree.,"It is 2-year duration full-time course affiliated to University of Madras, Chennai."
28,"Dr Indirabai Bhaskarrao Mahila Kala Mahavidyala, Aurangabad",Aurangabad,Maharashtra,BBA,3 years,Full time,,UG,0.075 lakhs,UGC,The candidate should have passed 10+2 Examination.,"BBA is a three-year duration full-time course approved by UGC and affiliated to Dr. Babasaheb Ambedkar Marathwada University, Aurangabad."
29,"Vidyadhan College, Aurangabad",Aurangabad,Maharashtra,BBA,3 years,Full time,,UG,0.75 lakhs,,The candidate should have passed in 10+2 any stream.,BBA is a 3 year full time course.
30,"Heeralal Yadav Balika PG College, Lucknow",Lucknow,Uttar Pradesh,BBA,3 years,Full time,80,UG,,UGC,The candidate should have passed in 10+2 with the relevant subject.,"BBA is a full-time three-year course affiliated to University of Lucknow, Lucknow and approved by UGC."
31,"Rama PG College, Lucknow",Lucknow,Uttar Pradesh,BBA,3 years,Full time,60,UG,,UGC,The candidate should have passed in 10+2 with the relevant subject.,The Bachelor of Business Administration in Rama P.G. College is a 3 year degree Course awarded by University of Lucknow.
32,"Rajat Girls Degree College, Lucknow",Lucknow,Uttar Pradesh,BBA,3 years,Full time,60,UG,,UGC,The candidate should have passed in 10+2 with the relevant subject.,"This is a full-time three-year course affiliated to University of Lucknow, Lucknow and approved by UGC."
33,"City Girls College, Lucknow",Lucknow,Uttar Pradesh,BBA,3 years,Full time,120,UG,,UGC,The candidate should have passed in 10+2 with the relevant subject.,"BBA is a full-time three-year course affiliated to University of Lucknow, Lucknow."
34,"IP College Campus II, Bulandshahr",Bulandshahr,Uttar Pradesh,BBA,3 years,Full time,240,UG,,UGC,The candidate should have passed 10+2 any stream from any recognized college/ board.,"Bachelor of Business Administration is a 3 years full-time course offered by and Chaudhary Charan Singh University, Meerut approved by UGC."
35,"Gochar Mahavidyalaya, Saharanpur",Rampur Maniharan,Uttar Pradesh,BBA,3 years,Full time,,UG,,UGC,The candidate should have passed 10+2 any stream from any recognized college/ board.,"BBA is a three-year full-time UG course offered by Chaudhary Charan Singh University, Meerut and Approved by UGC"
36,"Dharampal Singh Degree College, Baghpat",Pusar,Uttar Pradesh,BBA,3 years,Full time,,UG,,,Min. eligibility for the course is 12th or equivalent school examination from any recognized education board.,Bachelor of Business Administration is a three-year ug programme affiliated to Chaudhary Charan Singh University
37,"Prema Katiyar Sikshan Sansthan Post Graduate College, Kanpur",Kanpur,Uttar Pradesh,BBA,3 years,Full time,60,UG,,UGC,The candidate should have passed 10+2 any stream from any recognized college/ board.,Bachelor of Business Administration with subjects in 1st Semester 1. Principles of Management 2. Busines Statistics 3. EconomicsTheory and Practice 4. Introduction to Computers 5. Principles of Accountancy and in 2nd Semester 1. Business Mathematics 2. Indian Economy 3.BusinessCommunication 4. Company Law 5. Cost Accountancy. Viva Voce Examination is 3 years full...See More
38,"Adharshila College of Professional Courses, Raebareli",Raebareli,Uttar Pradesh,BBA,3 years,Full time,60,UG,,,The candidate should have passed in 10+2 with the relevant subject.,"Bachelor of Business Administration is a full time three year course affiliated to Chhatrapati Shahu ji Maharaj University, Kanpur."
39,"Baboo Jai Shankar Gaya Prasad Mahavidyalaya, Unnao",Bharuwa Sumerpur,Uttar Pradesh,BBA,3 years,Full time,,UG,,,The candidate should have passed in 10+2 any stream.,BBA is a 3 year full time course.
40,"Kishori Lal PG College, Allahabad",Allahabad,Uttar Pradesh,BBA,3 years,Full time,,UG,,,The candidate should have passed in 10+2 any stream.,BBA is a 3 year full time course.
41,"Mahila Maha Vidyalaya, Jodhpur",Jodhpur,Rajasthan,BBA,3 years,Full time,,UG,,UGC,The candidate should have passed 10+2 any stream from any recognized college/ board.,"Bachelor of Business Administration duration of Three Years In Full Time And Offered By Jai Narain Vyas University, Jodhpur And Approved By UGC"
42,"SNDP Yogam Arts and Science College, Koyilandy",Viyyur,Kerala,BBA,3 years,Full time,30,UG,0.055 lakhs,UGC,The candidate should have passed the intermediate or equivalent examination from any recognized board.,"It is 3-year duration full-time course approved by UGC and affiliated to Mahatma Gandhi University, Kottayam."
