,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Shree Devi Institute of Technology, Mangalore",Mangaluru,Karnataka,MBA,2 years,Full time,120,PG,1.2 lakhs,(AICTE) All India Council of Technical Education,"Admission to the first year of the MBA Course will be open to students who have passed the university graduation Examination conducted by any University Board or any other examinations recognised by the University or equivalent thereto, with a minimum 50% aggregate in arts, Commerce or Science.","The institution offers a two-year management programme leading to an MBA degree affiliated to Visveswaraya Technological University, Belgaum, Karnataka and recognised by All India Council for Technical Education"
1,"International School of Business and Media, Kolkata",New Town,West Bengal,BBA + Certificate Programme in Management,3 years,Full time,,UG,3.1 lakhs,UGC,Passed 10 2 Examination from a recognized board in any discipline. (Candidates appearing for the 12th Standard Final Examination in 2016 are also eligible to apply.),"ISB&M; offers a 3-year undergraduate programme in Management.
An important objective of ISB&M; School of Business is to sharpen the managerial and creative talents of our students. We unleash their true potential by conducting their education in an environment where professional values and modern attitude are encouraged. ISB&M; offers a 3-year undergraduate programme in...See More"
2,"International School of Business and Media, Kolkata",New Town,West Bengal,BBA + Certificate Programme in Media and Communication,3 years,Full time,,UG,3.1 lakhs,UGC,Passed 10+2 Examination from a recognized board in any discipline. (Candidates appearing for the 12th Standard Final Examination in 2016 are also eligible to apply.),"ISB&M; School of Media Management has the distinction of being one of the first institutes of its kind in India offering niche media and communication programme with management orientation that addresses the needs of the rapidly changing media industry. Our objective is to sharpen the managerial, communication and creative talents of our students. The traditional role ...See More"
3,"International School of Business and Media, Kolkata",New Town,West Bengal,PGP in Finance,2 years,Full time,60,PG,6.4 lakhs,(AICTE) All India Council of Technical Education,"Bachelor degree in any discipline. Candidates appearing for final year bachelor degree examinations can also apply, provided they complete all degree requirements by September 30, 2015. All AICTE programme require a test score and 50% in graduation.",Kolkata campus offers Two Year Full Time Post Graduate Programme in Finance.
4,"International School of Business and Media, Kolkata",New Town,West Bengal,PGP in Marketing,2 years,Full time,60,PG,6.4 lakhs,(AICTE) All India Council of Technical Education,"Bachelor degree in any discipline. Candidates appearing for final year bachelor degree examinations can also apply, provided they complete all degree requirements by September 30, 2015. All AICTE programme require a test score and 50% in graduation.",Kolkata campus offers Two Year Full Time Post Graduate Programme in Marketing.
5,"International School of Business and Media, Kolkata",New Town,West Bengal,PGP in Media and Communication,2 years,Full time,30,PG,6.4 lakhs,(AICTE) All India Council of Technical Education,"Bachelor degree in any discipline. Candidates appearing for final year bachelor degree examinations can also apply, provided they complete all degree requirements by September 30, 2015. All AICTE programme require a test score and 50% in graduation.","Kolkata campus offers Two Year Full Time Post Graduate Programme in Media & Communication with Dual Specialization in Corporate Communication & PR, Advertising, Broadcast & Journalism."
6,"International School of Business and Media, Kolkata",New Town,West Bengal,PGP in Supply Chain and Operations Management,2 years,Full time,20,PG,6.4 lakhs,(AICTE) All India Council of Technical Education,"Bachelor degree in any discipline. Candidates appearing for final year bachelor degree examinations can also apply, provided they complete all degree requirements by September 30, 2015. All AICTE programme require a test score and 50% in graduation.",Kolkata campus offers Two Year Full Time Post Graduate Programme in Supply Chain and Operations Management.
7,"Swami Vivekanand University, Sagar",Sironja,Madhya Pradesh,MBA Executive,1 year,Full time,,PG,0.33 lakhs,UGC,Bachelor degree (Hons. /Pass) from any recognized University or an equivalent body with three years of work experience.,"This is a one-year full-time programme leading to a Master of Business Administration-Executive from the Swami Vivekanand University, Sagar
The department provides students with modern, relevant and contemporary management knowledge and skills. It offers courses at graduate and postgraduate levels in traditional areas as well as emerging areas like information and...See More"
8,"Swami Vivekanand University, Sagar",Sironja,Madhya Pradesh,PG Diploma in Fire Safety and Disaster Management,1 year,Full time,,Diploma,0.28 lakhs,UGC,The candidate should have Passed Recognized Bachelor’s Degree of minimum 3 Yrs duration with any Subject.,"PG Diploma in Fire Safety and Disaster Management is one year's program offered by Swami Vivekanand University, Sagar with the approval of UGC."
9,"Swami Vivekanand University, Sagar",Sironja,Madhya Pradesh,PGD Agro Business Management,2 years,Full time,,PG,0.53 lakhs,UGC,Recognized Bachelor’s Degree of minimum 3 Yrs duration with any Subject,"Post Graduate Diploma in Agro-Business Management is two years full-time program offered by Swami Vivekanand University, Sagar"
10,"Swami Vivekanand University, Sagar",Sironja,Madhya Pradesh,Post Graduate Diploma in Industrial Safety Management,1 year,Full time,,Diploma,0.28 lakhs,,The candidate should have Passed Recognized Bachelor’s Degree of minimum 3 Yrs duration with any Subject.,"Post Graduate Diploma in Industrial Safety Management is one year's program offered by Swami Vivekanand University, Sagar with the approval of UGC."
11,"Veer Narmad South Gujarat University, Surat",Surat,Gujarat,BBA,3 years,Full time,,UG,,UGC,Minimum eligibility 10+2 or equivalent.,Bachelor of Business Administration is a three-year full-time course approved by UGC.
12,"Veer Narmad South Gujarat University, Surat",Surat,Gujarat,M.A. Rural Studies,2 years,Full time,,PG,,UGC,,
13,"Veer Narmad South Gujarat University, Surat",Surat,Gujarat,MBA,2 years,Full time,60,PG,,UGC,Any graduate having secured at least 50% and 45% for SC/ST Candidates marks in aggregate at graduation level.,Master of Business Administration is a two-year full-time course approved by UGC.
14,"Veer Narmad South Gujarat University, Surat",Surat,Gujarat,MBA Evening,2 years,Full time,30,PG,,UGC,Any graduate having secured at least 50% and 45% for SC/ST Candidates marks in aggregate at graduation level.,Master of Business Administration(Evening) is a two-year full-time course approved by UGC.
