,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Taliparamba Arts and Science College, Kanhirangad",Kanhirangad,Kerala,BBM,3 years,Full time,55,UG,0.49 lakhs,UGC,50% Marks in the qualifying Eaxmination,"BBM is 3 year full time course with affiliation of Kannur University, Kannur and approved by UGC."
1,"Devamatha Arts and Science College, Paisakary",Kannur,Kerala,B.Com Finance,3 years,Full time,40,UG,0.96 lakhs,UGC,The candidate should have passed in 10+2 commerce stream with 45% with other subjects,B.Com Finance is a three year full time course
2,"Devamatha Arts and Science College, Paisakary",Kannur,Kerala,BBA,3 years,Full time,35,UG,,,The candidate should have passed in 10+2 any stream,BBA is a three year full time course
3,"Devamatha Arts and Science College, Paisakary",Kannur,Kerala,M.Com Finance,2 years,Full time,15,PG,0.68 lakhs,UGC,The candidate should have passed in Grade C CGPA 1.8 in BCom/BBA /BBM/equivalent degree,M.Com Finance is a two year full time course
4,"ITM College of Arts and Science, Kannur",Mayyil,Kerala,BBM,3 years,Online,,UG,0.54 lakhs,UGC,"A pass with 50% marks in Higher Secondary or Equivalent examination. OBC – 45%,SC/ST – 40% . Applicants for the BBM course have to attend an entrance test conducted by the college.","It is 3 year full time course with affiliation of Kannur University, Kannur and approved by UGC."
5,"Chinmaya Arts and Science College for Women, Kannur",Thottada,Kerala,BBA,3 years,Full time,,UG,,,"1. Pass in Plus Two or Equivalent Examination with a minimum of 50% marks.
2. Candidates belonging to OBC are eligible for a concession of 5% marks in the qualifying exam
3. Those belonging to SC/ST having secured a pass in the qualifying exam are also eligible.",Bachelor of Business Administration (BBA) is a full time three years course affiliated to Kannur University.
6,"SIBGA Institute of Advanced Studies, Kannur",Irikkur,Kerala,BBM,3 years,Full time,40,UG,,UGC,"Candidates who have passed their Higher Secondary (+2) VHSE, CBSE or any other equivalent examination with 50% marks.","It is 3 year full time course with affiliation of Kannur University, Kannur and approved by UGC."
7,"Concord Arts and Science College, Kannur",Nayattupara,Kerala,BBA,3 years,Full time,30,UG,,Government of Kerala,Candidate must have passed 10+2 in related stream from recognized board,Bachelor of Business Administration is full-time three-year undergraduate degree course
8,"MIC Arts and Science College, Kasaragod",Chattanchal,Kerala,BBM,3 years,Full time,60,UG,,UGC,Candidate must have passed 10+2 from recognized board,Bachelor of Business Management is full-time three-year undergraduate degree course
9,"Sharaf Arts and Science College, Kasaragod",Padne,Kerala,BBM,3 years,Full time,50,UG,,UGC,Candidate must have passed 10+2 in related stream from recognized board,Bachelor of Business Management is full-time three-year undergraduate degree course
