,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Tek Chand Mann College of Engineering, Sonipat",Garhi Kalan,Haryana,MBA,2 years,Full time,60,PG,,(AICTE) All India Council of Technical Education,,
1,"Syed Ammal Engineering College, Ramanathapuram",Achundanvayal,Tamil Nadu,MBA,2 years,Full time,60,PG,0.72 lakhs,(AICTE) All India Council of Technical Education,The candidate should have bachelor degree of minimum 3 years duration and obtained at least 50% (45% in the case of candidate belonging to reserved category) in the qualifying degree examination.,"Master of Business Administration is two years full time course. Approved by AICTE and affiliated to Anna University, Chennai."
2,"Swami Devi Dyal Institute of Engineering and Technology, Panchkula",Palasra,Haryana,MBA,2 years,Full time,60,PG,1.31 lakhs,(AICTE) All India Council of Technical Education,Bachelor’s Degree or equivalent in any discipline from UGC recognized University Obtained at least 50% marks (45% in case of candidate belonging to reserved category) at the qualifying Examination,"MBA is a two year full time course approved by AICTE and affiliated by Kurukshetra University, Kurukshetra"
3,"Surabhi College of Engineering and Technology, Bhopal",Sukhi Sewania,Madhya Pradesh,MBA,2 years,Full time,60,PG,1.04 lakhs,(AICTE) All India Council of Technical Education,The candidate should have passed graduation in any discipline.,"Master of Business Administration is two years full time course. Approved by AICTE and affiliated to Rajiv Gandhi Prodoyogiki Vishwavidyalaya, Bhopal.
MBA Programmes are designed to help students formalize ideas and look at them logically. A combination of rigorous research-based curriculum with an emphasis on real-life applications, the experiential knowledge push...See More"
4,"Sun College of Engineering and Technology, Nagercoil",Eracha Kulam,Tamil Nadu,MBA,2 years,Full time,60,PG,0.5 lakhs,(AICTE) All India Council of Technical Education,The candidate should have passed graduation in any discipline.,"Master of Business Administration is two years full time course. Approved by AICTE and affiliated to Anna University, Chennai."
5,"Srinivasa Institute of Engineering and Technology, Thiruvallur",Chennai,Tamil Nadu,MBA,2 years,Full time,60,PG,,(AICTE) All India Council of Technical Education,Any degree,This is a 2 year full time course.
6,"Sri Vidya College of Engineering and Technology, Virudhunagar",Kumaralingapuram,Tamil Nadu,MBA,2 years,Full time,60,PG,0.6 lakhs,(AICTE) All India Council of Technical Education,A pass in a recognized Bachelor's degree of minimum 3 years duration and obtained atleast 50% (45% in case of candidates belonging to reserved category) at the qualifying examination in 10+2+3 years pattern (or) 10+3 years Diploma + 3 years pattern (or) B.E./B.Tech./B.Arch./B.Pharm. (or) AMIE with 2 years regular full time Teaching experience / Industrial experience in the relevant field after passing all the subjects.,"Master of Business Administration is two years full time course. Approved by AICTE and affiliated to Anna University, Chennai.
The Department of Management Studies (DOMS) realizes the importance of the combination of academics and practical learning to prepare oneself to face the competitive world. Sri Vidya College of Engineering & Technology, DOMS has been recogn...See More"
7,"Sri Vaishnavi College of Engineering, Srikakulam",Srikakulam,Andhra Pradesh,MBA,2 years,Full time,60,PG,0.54 lakhs,(AICTE) All India Council of Technical Education,The candidate should have passed in the relevant graduate degree from any recognized university.,"Master of Business Management is full time two year course affiliated to Jawaharlal Nehru Technological University, Kakinada and approved by AICTE."
8,"Sri Satya Sai College of Engineering, Bhopal",Bhopal,Madhya Pradesh,MBA,2 years,Full time,120,PG,,(AICTE) All India Council of Technical Education,The candidate should have passed in the relevant graduate degree from any recognized university.,"Master of Business Management is full time two year course affiliated to Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal and approved by AICTE."
9,"Sri Ganganagar Engineering College, Sri Ganganagar",Sri Ganganagar,Rajasthan,MBA,2 years,Full time,60,PG,,(AICTE) All India Council of Technical Education,The candidate should have passed in graduate degree.,"Master of Business Administration is a full-time two year course affiliated to Rajasthan Technical University, Kota and approved by AICTE."
