,Id,Name,known_as,Estd,State,City,Address,ownership,Approved_by,Affilate_to,contact,Rank,website,score,facilities,exams,stream,faculty,facebook,twitter,youtube,wiki
884,884,"Sanjivani Rural Education Society's Sanjivani College of Pharmaceutical Education and Research, Kopargaon",,2004, Maharashtra,Kopargaon,Sahajanandnagar  Post Shinganapur  Tal. Kopargaon  Distt. Ahmednagar  Maharashtra - 423603 ,Private,"(AICTE) All India Council of Technical Education +2 more(PCI) Pharmacy Council of India, Government of Maharashtra","Savitribai Phule Pune University, Pune",,,http://sanjivanipharm.org.in/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'Transport', 'IT Infrastructure']",['MT CET Pharmacy '],pharmacy,22,https://www.facebook.com/Sanjivani-College-Of-Pharmaceutical-Education-and-Research-Kopargaon-374485199303462/,,,
885,885,"HR Patel Institute of Pharmaceutical Education and Research, Shirpur",,2004, Maharashtra,Shirpur, Shirpur - 425 405  Dhule (M.S.) ,Private,(AICTE) All India Council of Technical Education +1 more(PCI) Pharmacy Council of India,,,,http://www.hrpatelpharmacy.co.in/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'Transport', 'IT Infrastructure']",['GPAT'],pharmacy,29,,,,
886,886,"SND College of Pharmacy, Yeola",,2003, Maharashtra,Adgaon Repal,"<span class=""address iconHighlighted""></span>",Private,"(AICTE) All India Council of Technical Education +2 more(PCI) Pharmacy Council of India, Government of Maharashtra","Savitribai Phule Pune University, Pune",02559-225041,,http://sndpharmacy.com/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'WiFi', 'IT Infrastructure']","['GPAT', 'MAH-MPHCET']",pharmacy,32,,,,
887,887,"SMBT College of Pharmacy, Nashik",,2006, Maharashtra,Dhamangaon," Dhamangaon
Tal. Igatpuri  Dist. Nashik 
Maharashtra State  India ",Private,"(AICTE) All India Council of Technical Education +2 more(PCI) Pharmacy Council of India, DTE","Savitribai Phule Pune University, Pune",02553-282310,,http://pharmacy.smbt.edu.in/,,"['Library', 'Sports', 'Cafeteria', 'Auditorium', 'WiFi', 'Transport', 'IT Infrastructure']","['GPAT', 'MAH-MPHCET']",pharmacy,22,https://www.facebook.com/ConnectingLives1,,,
888,888,"Shree Sureshdada Jain Institute of Pharmaceutical Education and Research, Jamner",,2005, Maharashtra,Jamner,Jamner Dist- Jalgaon  Maharashtra ,Private,(AICTE) All India Council of Technical Education +1 moreDTE,"North Maharashtra University, Jalgaon",02580-233478,,http://jtesociety.com/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'IT Infrastructure']",['GPAT'],pharmacy,19,,,,
889,889,"Pravara Rural Education Society's College of Pharmacy for Women, Chincholi",,2006, Maharashtra,Sinnar, Tal.Sinnar Dist.Nashik ,Private,(PCI) Pharmacy Council of India +1 moreAICTE,"SNDT Womens University, Mumbai",02551-271178,,http://www.pravaracopc.org,,"['Girls Hostel', 'Library', 'Cafeteria', 'Medical', 'IT Infrastructure']",['GPAT'],pharmacy,16,,,,
890,890,"MGV’s Samajshree Prashantdada Hiray College of Pharmacy, Malegaon",,2006, Maharashtra,Malegaon, Malegaon  Samajshri Prashantdada Hiray  College of pharmacy (Degree)  Malegaon - 423 105 Maharashtra ,Private,(AICTE) All India Council of Technical Education +1 morePCI,"Savitribai Phule Pune University, Pune",02554-252563,,http://mgv.org.in/sphc_pharma/index.php,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'WiFi', 'IT Infrastructure']",['GPAT'],pharmacy,14,https://www.facebook.com/mgvsphcopmalegaon,,,
891,891,"Kisan Vidya Prasarak Sanstha’s Institute of Pharmaceutical Education, Boradi",,1983, Maharashtra,Dhule,"
Institute of Pharmaceutical Education  Boradi
A/P – Boradi  Taluka – Shirpur  District – Dhule
PIN - 425 428 (MAHARASHTRA) ",Private,"(AICTE) All India Council of Technical Education +3 more(PCI) Pharmacy Council of India, Board of Technical Education, Maharashtra","North Maharashtra University, Jalgaon",02563-284202,,http://www.boradipharmacy.org/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Medical', 'Transport', 'IT Infrastructure']",['MAH-MPHCET'],pharmacy,23,,,,
892,892,"MET Institute of Pharmacy, Nashik",,1993, Maharashtra,Nashik,"
Adgaon  Nashik - 422 003  ",Private,(AICTE) All India Council of Technical Education +1 morePCI,"University of Mumbai, Mumbai",,,http://www.met.edu/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']","['MAH-MPHCET', 'GPAT']",pharmacy,25,https://www.facebook.com/MET.edu/,,,
893,893,"Royal College of Pharmaceutical Education and Research, Malegaon",,2007, Maharashtra,Malegaon, Behind Hotel Sahyog  Sayne Khurd  Dhule Road  Malegaon  Nashik  423203 ,Private,(AICTE) All India Council of Technical Education,,02554-230534,,http://royalpharmacy.in/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Transport', 'IT Infrastructure']",['MT CET Pharmacy '],pharmacy,15,,,,
