,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
293,"Bishop Ambrose College, Coimbatore",Coimbatore,Tamil Nadu,BCA,3 years,Full time,,UG,,,The candidate should have passed 10+2 or equivalent from any recognized board. Selection will be based as per the university norms.,"Bachelor of Computer Application is a three-year full-time UG course offered by Bharathiar University, Coimbatore"
294,"Bishop Thorp College, Tiruppur",Tiruppur,Tamil Nadu,B.Com Computer Application,3 years,Full time,,UG,,,The candidate should have passed 10+2 any stream from any recognized college/ board.,"Bachelor of Commerce in Computer Application is a three-year full-time UG course offered by Bharathiar University, Coimbatore and Approved by UGC"
295,"Bishop Thorp College, Tiruppur",Tiruppur,Tamil Nadu,BCA,3 years,Full time,,UG,,,The candidate should have passed 10+2 any stream from any recognized college/ board.,"Bachelor of Computer Application is a three-year full-time UG course offered by Bharathiar University, Coimbatore and Approved by UGC"
296,"Cherran College for Women, Tirupur",Arasampalayam,Tamil Nadu,B.Com,3 years,Full time,,UG,0.48 lakhs,,The candidate should have passed 10+2 any stream from any recognized college/ board.,"Bachelor of Commerce Computer Application is a three-year full-time UG course offered by Bharathiar University, Coimbatore"
297,"Cherran College for Women, Tirupur",Arasampalayam,Tamil Nadu,BCA,3 years,Full time,,UG,0.48 lakhs,,The candidate should have passed 10+2 any stream from any recognized college/ board.,"Bachelor of Computer Application is a three-year full-time UG course offered by Bharathiar University, Coimbatore"
298,"Dr RANM Arts and Science College, Erode",Erode,Tamil Nadu,B.Com Computer Application,3 years,Full time,60,UG,,UGC,The candidate should have passed 10+2 any stream from any recognized college/ board.,"Bachelor of Commerce in Computer Application is a three-year full-time UG course offered byBharathiar University, Coimbatore, and Approved by UGC"
299,"Dr RANM Arts and Science College, Erode",Erode,Tamil Nadu,BCA,3 years,Full time,50,UG,,UGC,The candidate should have passed 10+2 any stream from any recognized college/ board.,"Bachelor of Computer Application is a three-year full-time UG course offered byBharathiar University, Coimbatore, and Approved by UGC"
300,"Pioneer College of Arts and Science, Coimbatore",Coimbatore,Tamil Nadu,BCA,3 years,Full time,120,UG,,UGC,The candidate should have passed 12th (35%),"Bachelor of Computer Application is a three-year full-time UG course offered by Bharathiar University, Coimbatore and Approved by UGC"
301,"Pioneer College of Arts and Science, Coimbatore",Coimbatore,Tamil Nadu,PGDCA,1 year,Full time,30,PG,,UGC,The candidate should have passed in Degree (40%),"Post Graduate Diploma in Computer Application is a one-year full-time course offered by Bharathiar University, Coimbatore and Approved by UGC"
302,"SAN International College of Arts and Science, Coimbatore",Pichanur,Tamil Nadu,BCA,3 years,Full time,,UG,0.9 lakhs,,The candidate should have passed in 10+2 any stream.,BCA is a three year full time course.
303,"SAN International College of Arts and Science, Coimbatore",Pichanur,Tamil Nadu,MCA,3 years,Full time,,PG,,,The candidate should have passed in related graduate degree,MCA is a three year full time course.
304,"Dream Valley College, Gwalior",Adupurajagir,Madhya Pradesh,BCA,3 years,Full time,,UG,,UGC,The candidate should have passed 10+2 any stream from any recognized college/ board.,"BCA can very well serve as an open sesame to brilliant professional career in IT. The students who dream to bloom in a successful IT professional are most welcome to kick start their career here at Dream Valley College which offer to its students BCA with a global. It is designed for student who are interested in pursuing rewarding careers in foundational courses, lat...See More"
305,"Dream Valley College, Gwalior",Adupurajagir,Madhya Pradesh,PGDCA,1 year,Full time,,PG,,UGC,The candidate should have passed graduate degree with the related subject from any recognized college/ University.,The objective of this programme is to develop system programmers and analysts to meet the manpower requirement of fast developing software industry. The programme is designed to enrich the programming and analysis ability of students. This programme imparts skills in software development and gives an opportunity for any graduates to become computer professionals.
306,"GR College for Professional Studies, Gwalior",Baraua Nurabad,Madhya Pradesh,B.Com Computer Application,3 years,Full time,,UG,,,The candidate should have passed 10+2 any stream from any recognized college/ board.,"Bachelor of Commerce in Computer Application is three years full time course offered by Jiwaji University, Gwalior"
307,"GR College for Professional Studies, Gwalior",Baraua Nurabad,Madhya Pradesh,BCA,3 years,Full time,,UG,,,The candidate should have passed 10+2 any stream from any recognized college/ board.,"Bachelor of Computer Application is a three-year full-time UG course offered by Jiwaji University, Gwalior"
308,"Parvatibai Gokhale Vigyan Mahavidyalaya, Gwalior",Gwalior,Madhya Pradesh,BCA,3 years,Full time,80,UG,,,The candidate should have passed in 10+2 any stream.,BCA is a 3 year full time course.
309,"VIPS College, Gwalior",Baraua,Madhya Pradesh,BCA,3 years,Full time,,UG,,,Minimum Education Qualification for admission is Higher Secondary 10+2 or equivalent examination with 50% Marks in Science or math Candidate belongs to SC/ST Category 5% relaxation in Higher Secondary10+2 Marks,BCA is a three year full time course.
310,"VIPS College, Gwalior",Baraua,Madhya Pradesh,PGDCA,1 year,Full time,,PG,,,Minimun Education Qualification for admission is Graduation or equivalent examination with 50% in any discipline Maximum age limit is 26 years Candidate belongs to SC/ST/OBC Category 5% relaxation in Graduation Marks,PGDCA is a one year full time course.
311,"Ambah PG College, Morena",Ambah,Madhya Pradesh,BCA,3 years,Full time,,UG,,,The candidate should have passed in 10+2 any stream.,BCA is a 3 year full time course.
312,"Ambah PG College, Morena",Ambah,Madhya Pradesh,PGDCA,1 year,Full time,,PG,,,The candidate should have passed in related graduate degree,PGDCA is a 1 year full time course.
