,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Nimbus Academy of Management, Dehradun",Banshiwala,Uttarakhand,BCA,3 years,Full time,,UG,1.47 lakhs,UGC,The candidate should have passed 10+2 with Mathematics and min. 45% marks.,"A three years regular program designed to meet the needs and demands of forward-looking and progressive corporate sectors in India and abroad . this course has specialization in the areas of:
(1) Marketing
(2) Finance
(3) Human resource management
(4) Insurance Management"
1,"SC Guria Institute of Management and Technology, Kashipur",Kashipur,Uttarakhand,BCA,3 years,Full time,,UG,1.05 lakhs,,The candidate should have passed in 10+2.,The Duration of the programme is 3 years full time on regular basis.
2,"University Department of Computer Application, TM Bhagalpur University, Bhagalpur",Bhagalpur,Bihar,MCA,3 years,Full time,60,PG,0.675 lakhs,(AICTE) All India Council of Technical Education,"Passed the Bachelor Degree in Computer Science/ Application, C.I.C. from a recognized/ deemed University, or any Honours Graduate having background of mathematics at least at+2 level, B.E., B. Tech., M.B.A. or any examination recognized by the Academic Council equivalent thereto. BCA degree holder will be allowed lateral entry into 3rd Semester Courses of MCA However final selection may be made after interview as well as group discussion. No student shall be admitted who in the opinion of the Vice-Chancellor, T. M. Bhagalpur University should not be admitted in the best intrest of the University. No applicant shall be admitted who has not applied for admission within notified time or who on being selected for admission, does not get himself admitted with specified time, except where the delay has been condoned by the Vice-Chancellor.",The first University in Bihar that offers 3 years 6(six semesters) full time MCA course
3,"Srajan Group of Institutions, Bareilly",Jagatpur Kashiram,Uttar Pradesh,BCA,3 years,Full time,,UG,,MHRD,10+2 from any Recognized Board with relevant subjects.,"BCA, at SIMTECH, is a three year full time post graduate degree course."
4,"Shree ML Kakadiya MCA Mahila College, Amreli",Amreli,Gujarat,MCA,3 years,Full time,60,PG,1.2 lakhs,(AICTE) All India Council of Technical Education,Bachelors degree in related branch.,Master of Computer Application is Full Time Two year course.
5,"Institute of Science and Technology for Advanced Studies and Research, Vallabh Vidyanagar",Anand,Gujarat,MCA,3 years,Full time,60,PG,2.79 lakhs,(AICTE) All India Council of Technical Education,"""graduated with Computer Science related subject
""",As per GTU (Gujarat Technological University) norms
6,"Institute of Science and Technology for Advanced Studies and Research, Vallabh Vidyanagar",Anand,Gujarat,MCA Lateral Entry,2 years,Full time,60,PG,1.86 lakhs,(AICTE) All India Council of Technical Education,graduated with Computer Science related subject.,Master of Computer application Lateral Entry The programs are aimed to develop skills required to apply Information and Communication Technology to improve various Business and Organizational Systems as per the need of industry.
7,"Narmada College of Computer Application, Bharuch",Bharuch,Gujarat,MCA,3 years,Full time,60,PG,1.84 lakhs,(AICTE) All India Council of Technical Education,Bachelors degree in related branch.,It is 3 year full time course.
8,"SS Agrawal Institute of Computer Science, Navsari",Navsari,Gujarat,MCA,3 years,Full time,120,PG,1.5 lakhs,(AICTE) All India Council of Technical Education,Bachelors degree in related branch.,It is 3 year full time course.
9,"SS Agrawal Institute of Computer Science, Navsari",Navsari,Gujarat,MCA Lateral Entry,2 years,Full time,,PG,,(AICTE) All India Council of Technical Education,Bachelors degree in related branch.,It is 2 year full time lateral entry course.
