,Id,Name,known_as,Estd,State,City,Address,ownership,Approved_by,Affilate_to,contact,Rank,website,score,facilities,exams,stream,faculty,facebook,twitter,youtube,wiki
451,451,"Jagarlamudi Chandramouli College of Law, Guntur",JC College,1991, Andhra Pradesh,Guntur," Guntur
JKC Nagar 
GUNTUR - 522 006 
Andhra Pradesh 
India. ",Private,(BCI) Bar Council of India,,0863-2350930,,http://www.jccollegeoflaw.in/,,"['Library', 'Medical', 'IT Infrastructure']",['AP LAWCET'],law,11,,,,
452,452,"Janata Shikshana Samiti Sakri Law College, Hubli",,1955, Karnataka,Hubli,"
Heggeri  Hubli - 580 024 ",Private,(BCI) Bar Council of India,,0836-2208884,,http://www.jsssakrilawcollegehubli.co.in/,,"['Gym', 'Library', 'Sports', 'Auditorium', 'Medical', 'Transport', 'IT Infrastructure']",['AP LAWCET'],law,4,,,,
453,453,"Khalsa College of Law, Amritsar",,2012, Punjab,Amritsar,"Ram Tirath Road  Opposite Labh Nagar 
Amritsar  Punjab 143002 ",Private,(BCI) Bar Council of India,,,,http://www.kclasr.org/,,"['Library', 'Sports', 'Medical', 'IT Infrastructure']",['AP LAWCET'],law,22,https://www.facebook.com/Khalsa-College-Of-LawAmritsar-155923727936395/,,,
454,454,"SC Nandimath Law College, Bagalkot",,1986, Karnataka,Bagalkot," Bagalkot
B.V.V.Sangha’s S.C.Nandimath Law College  Bagalkot  Karnataka - 587101
 ",Private,(BCI) Bar Council of India,,08354-220664,,http://www.bvvsscnlawbgk.org/,,"['Boys Hostel', 'Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Medical', 'IT Infrastructure']",['AP LAWCET'],law,8,,,,
455,455,"Snehangshu Kanta Acharya Institute of Law, Kalyani",SKAIL,2004, West Bengal,Kalyani, Dist.- Nodia West Bengal – 741235 ,Private,(BCI) Bar Council of India,,08902-674310,,http://skail.org/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'WiFi', 'IT Infrastructure']",['AP LAWCET'],law,7,https://www.facebook.com/SKAIL-609283832473164/,,,https://en.wikipedia.org/wiki/Snehangshu_Kanta_Acharya_Institute_of_Law
456,456,"Vaish College of Law, Rohtak",,2010, Haryana,Rohtak, Rohtak  Haryana ,Private,(BCI) Bar Council of India,,01262-265742,,http://vaishcollegeoflaw.com/,,"['Library', 'Sports', 'Cafeteria', 'Medical', 'IT Infrastructure']",['AP LAWCET'],law,7,https://www.facebook.com/Vaish-college-of-law-Rohtak-363996533737111/,,,
457,457,"Vivekananda College of Law, Aligarh",VCL Aligarh,2002, Uttar Pradesh,Aligarh," Aligarh
Mathura byepass near Khair Road 500 mtrs. from Nada Pul  Aligarh-202002 (U.P.) ",Private,(BCI) Bar Council of India,,0571-2513913,,http://www.vclaligarh.com/,,"['Boys Hostel', 'Girls Hostel', 'Library', 'Sports', 'Medical', 'IT Infrastructure']",['AP LAWCET'],law,,,,,
458,458,"Swami Shukdevanand Law College, Shahjahanpur",,2003, Uttar Pradesh,Shahjahanpur," Shahjahanpur
Mumukshu Ashram Shahjahanpur - 242226  Uttar Pradesh  India ",Private,(BCI) Bar Council of India,,,,http://sslawcollege.org.in/,,"['Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'IT Infrastructure']",['AP LAWCET'],law,17,,,,
459,459,"Pendekanti Law College, Hyderabad",,1991, Telangana,Hyderabad,"
D.No. 1-1-338  New MCH # 465  Chikkadapally  Hyderabad - 500 020 Telangana India  ",Private,(BCI) Bar Council of India,,,,http://www.plchyd.ac.in,,"['Library', 'Sports', 'Medical', 'IT Infrastructure']",['AP LAWCET'],law,13,,,,https://en.wikipedia.org/wiki/Pendekanti_Law_College
460,460,"Shri Shivaji Law College, Kandhar",,1993, Maharashtra,Kandhar,"
Veer Negoji Naik Chowk  Panchalpurnagar  Kandhar  Dist.-Nanded  Maharashtra ",Private,(BCI) Bar Council of India,,02466-223484,,http://www.sslckandhar.com/,,"['Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'WiFi', 'IT Infrastructure']",['AP LAWCET'],law,5,,,,
