,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"All India Shri Shivaji Memorial Society's College of Hotel Management and Catering Technology, Pune",Pune,Maharashtra,BHMCT,4 years,Full time,60,UG,,(AICTE) All India Council of Technical Education,,
1,"All India Shri Shivaji Memorial Society's College of Hotel Management and Catering Technology, Pune",Pune,Maharashtra,MHMCT,2 years,Full time,24,PG,,(AICTE) All India Council of Technical Education,,
2,"Lady Amritbai Daga College for women of Arts Science and Commerce and Smt Ratnidevi Purohit College of Home Science and Home Science Technology, Nagpur",Nagpur,Maharashtra,BHMCT,4 years,Full time,,UG,,NCHMCT,"HSSC exam of MS Board or equivalent recognized exam, with Physics, Chemistry, Mathematics and English subjects Weightage will be given to Vocational Electronics courses Final admission will depend on merit/interview for Lateral Admission Anyone who holds a diploma in Electronics and Telecommunications or Diploma in Electronics or Diploma in Computers or Diploma in Information Technology form anyone of the polytechnics in Maharashtra state shall be eligible for admission to second year of Bachelor of Applied Electronics and Software Technology",Bachelor of Hotel Management and Catering Technology is a four year full time course.
3,"Utkal University of Culture, Bhubaneswar",Jagasarapatna,Odisha,BHM,4 years,Full time,,UG,,UGC,Candidate must have passed 10+2 in any stream from recognized board,Bachelor in Hotel Management is full time four year undergraduate degree course
4,"Utkal University of Culture, Bhubaneswar",Jagasarapatna,Odisha,MHM,,Full time,,PG,,UGC,Candidate must have passed BHM Degree or Any Graduate or equivalent degree from recognized University,Master of Hotel Management is full time two year course
5,"Indira Gandhi National Tribal University, Amarkantak",Lalpur,Madhya Pradesh,BA Tourism,3 years,Full time,60,UG,,UGC,Minimum eligibility 10+2 or equivalent.,It is 3 year full time course.
6,"BJB Autonomous College, Bhubaneswar",Bhubaneswar,Odisha,MA Tourism and Hospitality Management,2 years,Full time,30,PG,0.6 lakhs,UGC,Minimum 40% aggregate at the 3 year Bachelor’s Degree Examination in any stream from a recognized College /University,"Tourism & Hospitality Management (THM) is a multidisciplinary field of study with the purpose of preparing people with the expertise, commitment, and skills for management, marketing, and operations positions in the expanding industry that provides food, accommodations, and tourism services to people away from home.
A Masters in Tourism and Hospitality Management ...See More"
7,"Kapol College, Mumbai",Mumbai,Maharashtra,B. Sc Hotel Management,3 years,Full time,,UG,,YCMOU,Any student who has successfully completed any 10+2 level examination with minium 45% marks (40% in case of SC/ST candidates) from any Government recognized Board in India is eligible to enroll for the Graduate programme.,3 - years full - time Degree course
8,"Kapol College, Mumbai",Mumbai,Maharashtra,B. Sc Hotel Management and Catering,3 years,Full time,,UG,,YCMOU,"Any Student who has successfully completed any 10+2 level examination, from any Government recognized Board of University in India is eligible to enroll for the Graduate Programme. A student who has not completed the 10+2 level can appear for a preparatory conducted by the University.",3 years full time Degree course.
9,"Madhav University, Sirohi",Bharja,Rajasthan,B.Sc Hotel Management,3 years,Full time,60,UG,,,The candidate should have passed 12th any stream.,Bachelor of Science in Hotel Management is three-years duration full-time course.
