,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Madras Christian College, Chennai",Chennai,Tamil Nadu,B.Voc Hospitality and Tourism Self Financed,3 years,Full time,,UG,,UGC,The candidate should have passed in 10+2 with the relevant stream in any recognized board. ,"Bachelor of Vocational in Hospitality and Tourism Self Financed is full time three year course degree offered by University of Madras, Chennai and approved by UGC."
1,"Bhagwant University, Ajmer",Makadwali,Rajasthan,Advanced Diploma Hotel Management,2 years,Full time,30,Diploma,,,10+2 in any discipline/ Diploma,"Advanced Diploma Hotel Management is two years full time program offered by Bhagwant University, Ajmer
Specialization- Aviation, Hospitality & Tourism"
2,"Bhagwant University, Ajmer",Makadwali,Rajasthan,B.Sc Hotel Management,3 years,Full time,15,UG,,UGC,10+2 in any discipline with qualifying examination UJET/ENET,"Bachelor of Science in Hotel Management is three years (6 Semester) full-time undergraduate program offered by Bhagwant University, Ajmer with the approval of UGC.
Specialization- Food Production, Food & Beverage Services, House Keeping Managemen"
3,"Bhagwant University, Ajmer",Makadwali,Rajasthan,BHMCT,4 years,Full time,15,UG,,UGC,10+2 in any discipline with qualifying examination/ UJET/ ENAT,"Bachelor of Hotel Management and Catering Technology (BHMCT) is four years (8 Semester) full-time undergraduate program offered by Bhagwant University, Ajmer with the approval of UGC.
Specialization- Front Office Management, Food Production, Food & Beverage Management, House Keeping Management,"
4,"Bhagwant University, Ajmer",Makadwali,Rajasthan,Diploma in Hospitality,1 year,Full time,30,Diploma,,,The candidate should have passed in 10 class.,"Diploma in Diploma in Hospitality is one year's full-time Diploma course offered by Bhagwant University, Ajmer"
5,"Bengal Institute of Technology and Management, Santiniketan",Gopalnagar,West Bengal,BBM Hons Hospitality Management,3 years,Full time,60,UG,,UGC,10+2 passed or appeared from any recognized board / Council in any stream.,"BBM (H) in Hospitality Management is a three year full time course Affiliated to Maulana Abul Kalam Azad University of Technology, Kolkata"
6,"Ponnaiyah Ramajayam Institute of Science and Technology, Thanjavur",Vallam,Tamil Nadu,M. Phil Hospital Management,2 years,Full time,,PG,0.92 lakhs,UGC,Post Graduate Degree obtained from any recognized University and obtained at least 55% marks at the qualifying Examination,It is 2 year full time M. Phil degree course.
7,"Sir Padampat Singhania University, Udaipur",Udaipur,Rajasthan,BHM,4 years,Full time,,UG,4.8 lakhs,UGC,"The candidate should have passed in 10+2 in science, humanities or commerce or its equivalent examinations from a recognized board","Bachelor in Hotel Management is a full time 4 year degree program offered by Sir Padampat Singhania University. The Baccalaureate program is designed to meet the competence requirements to be successful in a hospitality business. The combination of study, in all aspects of hotel management, and practical training in operational areas offers an education that is truly ...See More"
8,"Peoples University, Bhopal",Bhopal,Madhya Pradesh,Bachelors in Hotel Management BHMCT,4 years,Full time,60,UG,2.3 lakhs,UGC,"The minimum qualification for admission to first semester of Bachelor of Hotel Management &
Catering Technology of four year’s (Eight semester) course shall be the passing of 10+2 examination
or any other equivalent examination in any stream through a recognized board with 50% marks for
general category and 40% marks for scheduled castes/scheduled tribes and other backward classes.",
9,"Alakh Prakash Goyal Shimla University, Shimla",Taradevi,Himachal Pradesh,Bachelor in Hotel Management,3 years,Full time,,UG,,UGC,25% Concession on 70% and above in +2. 15% Concession on 60% and above in +2.,"School of Hospitality under APG (Alakh Prakash Goyal) Shimla University, came into existence in year 2012, this school is designed and aimed to provide highly skilled service professionals to the hospitality industry. The institution is well equipped with academic and technical resources which provide a state of art experience of various sectors of hospitality industr...See More"
