,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"National Law University and Judicial Academy, Guwahati",Guwahati,Assam,BA LLB Hons,5 years,Full time,60,UG,5.9 lakhs,UGC,Should have passed 10+2 examination or its equivalent with minimum 50% marks in the aggregate (45% marks in case of SC/ST/Persons with Disabilities).,"The University offers the B.A., LL.B. (Hons.) Five-Year Integrated Course where under Social Sciences subjects like Economics, English, History, Political Science and Sociology are integrated with the Law subjects in the first two years of study. However, from the third year, the Course Curriculum primarily comprises of Law subjects. All subjects are compulsory in the...See More"
1,"National Law University and Judicial Academy, Guwahati",Guwahati,Assam,LLM,2 years,Full time,10,PG,0.945 lakhs,UGC,"The admission shall exclusively be based on the performance of the candidate in the Common Law Admission Test (CLAT). However, to qualify for the admission, the candidate must have passed LL.B. Three Year / Five Year Integrated Degree Examination from any university whose degree is recognized by the University Grants Commission as well as by the NLSJAA, with 55% marks (50% marks for SC/ST/Persons with Disabilities).","Students admitted to One Year LL.M. Degree Programme at National Law University and Judicial Academy, Assam can pursue specialised or general LL.M. Students admitted to the programme have to complete three mandatory papers and six elective papers and a dissertation in order to complete the programme. Student who opts for minimum four out of six electives in a particul...See More"
2,"Dr KN Modi University, Tonk",Niwai,Rajasthan,BA LLB Integrated,5 years,Full time,120,UG,1.31 lakhs,(BCI) Bar Council of India,The candidate should have passed 10+2 any stream with 50% marks from any recognized College or board.,"BA LLB is five-years full-time Integrated course offered by Dr. KN Modi University, Tonk and approved by Bar Council of India and UGC."
3,"Dr KN Modi University, Tonk",Niwai,Rajasthan,LLB,3 years,Full time,120,UG,0.81 lakhs,(BCI) Bar Council of India,Graduate in any Discipline with minimum 50% marks,"Bachelor of Laws is three years full-time course offered by Dr. KN Modi University, Tonk with approval by Bar Council of India and UGC."
4,"Dr KN Modi University, Tonk",Niwai,Rajasthan,LLM,2 years,Full time,40,PG,0.56 lakhs,UGC,The candidate should have passed LLB with 50% marks from any recognized College or University.,"Master of Laws (LL.M.) is Duration of 2 years (Four Semesters) program offered by Dr. KN Modi University, Tonk with the approval of UGC."
5,"Rabindranath Tagore University, Bhopal",Bhopal,Madhya Pradesh,BA LLB Integrated,5 years,Full time,60,UG,,UGC,Pass 10+2/Equivalent with Science/Commerce.,"Bachelor of Arts and Bachelor of Laws Integrated is full time five year course degree offered by AISECT University, Bhopal and approved by Bar Council of India and UGC."
6,"Rabindranath Tagore University, Bhopal",Bhopal,Madhya Pradesh,LLB,3 years,Full time,,UG,,UGC,Graduate in any Stream with 45%marks for Gen. and 40% for OBC/SC/ST,"Bachelor of Law is full time three year course degree offered by AISECT University, Bhopal and approved by BCI and UGC."
7,"Rabindranath Tagore University, Bhopal",Bhopal,Madhya Pradesh,LLM,1 year,Full time,,PG,,UGC,LLB with 45%marks for Gen. and 40% for OBC/SC/ST,"Master of Law is full time one year course degree offered by AISECT University, Bhopal and approved by BCI and UGC."
8,"Rabindranath Tagore University, Bhopal",Bhopal,Madhya Pradesh,PGD Consumer Protection,1 year,Full time,,Diploma,,UGC,LLB with 45%marks for Gen. and 40% for OBC/SC/ST.,"Postgraduate diploma in Consumer Protection is full time one year course degree offered by AISECT University, Bhopal and approved by BCI and UGC."
9,"Rabindranath Tagore University, Bhopal",Bhopal,Madhya Pradesh,PGD Cyber Law,1 year,Full time,,Diploma,,UGC,LLB with 45%marks for Gen. and 40% for OBC/SC/ST.,"Postgraduate diploma in Cyber Law is full time one year course degree offered by AISECT University, Bhopal and approved by BCI and UGC."
10,"Rabindranath Tagore University, Bhopal",Bhopal,Madhya Pradesh,PGD Labour Law,1 year,Full time,,Diploma,,UGC,LLB with 45%marks for Gen. and 40% for OBC/SC/ST.,"Postgraduate diploma in Labour Law is full time one year course degree offered by AISECT University, Bhopal and approved by BCI and UGC."
11,"Integral University, Lucknow",Dashauli,Uttar Pradesh,B.Com LLB Integrated,5 years,Full time,60,UG,4.25 lakhs,(BCI) Bar Council of India,"10+2 are equivalent with a minimum of 45 % (General - 45% , OBC - 42% , SC/ST - 40% ) marks in the aggregate from a recognized Borad/University.Age Bar : 20 Yrs. for GenAge Bar : 22 Yrs. for SC/ST/OBCImportant Note -  Candidates who have appeared in the Intermediate Examination of the year 2018 and have also applied for admission in any Course of this University should submit the Marks Sheet of the qualifying examination latest by 15th July, 2018. ","Bachelor of Commerce + Bachelor of Laws (B.Com LLB) is five-years (10 Semesters) full-time Integrated programme in Law offered by Integral University, Lucknow and approved by BCI and UGC."
12,"Integral University, Lucknow",Dashauli,Uttar Pradesh,BA LLB Integrated,5 years,Full time,60,UG,4.25 lakhs,(BCI) Bar Council of India,"10+2 are equivalent with a minimum of 45 % (General - 45% , OBC - 42% , SC/ST - 40%) marks in the aggregate from a recognized Borad/University.Age Bar: 20 Yrs. for GenAge Bar: 22 Yrs. for SC/ST/OBCImportant Note -  Candidates who have appeared in the Intermediate Examination of the year 2018 and have also applied for admission in any Course of this University should submit the Marks Sheet of the qualifying examination latest by 15th July, 2018. ","Bachelor of Arts + Bachelor of Laws (BA LLB) is five-years (10 Semesters) full-time Integrated programme in Law offered by Integral University, Lucknow and approved by BCI and UGC."
13,"Integral University, Lucknow",Dashauli,Uttar Pradesh,BBA LLB Integrated,5 years,Full time,60,UG,3.25 lakhs,(BCI) Bar Council of India,"10+2 are equivalent with a minimum of 45 % (General - 45% , OBC - 42% , SC/ST - 40% ) marks in the aggregate from a recognized Borad/University.Age Bar : 20 Yrs. for GenAge Bar : 22 Yrs. for SC/ST/OBCImportant Note -  Candidates who have appeared in the Intermediate Examination of the year 2018 and have also applied for admission in any Course of this University should submit the Marks Sheet of the qualifying examination latest by 15th July, 2018. ","Bachelor of Business Administration + Bachelor of Laws (BBA LLB) is five-years (10 Semesters) full-time Integrated programme in Law offered by Integral University, Lucknow and approved by BCI and UGC."
14,"Integral University, Lucknow",Dashauli,Uttar Pradesh,LLB,3 years,Full time,60,UG,1.65 lakhs,(BCI) Bar Council of India,"Graduation with a minimum of 45 % (General - 45% , OBC - 42% , SC/ST - 40% ) marks in the aggregate from a recognized Borad/University.Age Bar: 45 Yrs. for GenAge Bar: 45 Yrs. for SC/ST/OBC","Bachelor of Laws (LLB) is three-years (6 Semesters) full-time program in Law offered by Integral University, Lucknow and approved by BCI and UGC."
15,"Tamil Nadu National Law School, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,BA LLB Hons,5 years,Full time,55,UG,5.5 lakhs,UGC,The candidate should have passed in 10+2 or its equivalent from any recognized Board / College.,"BA LLB is five-years full-time honors course offered by Tamil Nadu National Law School, Tiruchirappalli and approved by Bar Council of India and UGC."
16,"Tamil Nadu National Law School, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,LLM,1 year,Full time,9,PG,0.67 lakhs,UGC,Three or five year LL.B./or its equivalent with not less than 55% marks (50% in case of SC/ST students).,"Master of Laws is full time one year course degree offered by Tamil Nadu National Law School, Tiruchirappalli and approved by Bar Council of India and UGC."
17,"Sri Padmavati Mahila Visvavidyalayam, Tirupati",Tirupati,Andhra Pradesh,LLB,3 years,Full time,40,UG,,(BCI) Bar Council of India,"Graduate of any recognized University with 45% on the aggregate and qualified in Common Entrance Test, i.e., LAWCET conducted by the Government of Andhra Pradesh. Centralised Admission will be made by the Convener, on the basis of rank obtained in the Entrance Test.","LLB is a full-time three years duration course offered by Sri Padmavati Mahila Visvavidyalayam, Tirupati Approved by Bar Council of India."
18,"Sri Padmavati Mahila Visvavidyalayam, Tirupati",Tirupati,Andhra Pradesh,LLB Five Year,5 years,Full time,40,UG,,(BCI) Bar Council of India,"10+2 or Intermediate with 45% on the aggregate and is qualified in the 5 Year Common Entrance Test, i.e., LAWCET conducted by the Govt. of Andhra Pradesh. Centralised Admissions will be made by the Convener,on the basis of rank obtained in the Entrance Test","is a full-time Five years duration course offered by Sri Padmavati Mahila Visvavidyalayam, Tirupati Approved by Bar Council of India."
19,"Sri Padmavati Mahila Visvavidyalayam, Tirupati",Tirupati,Andhra Pradesh,LLM Business Law,2 years,Full time,8,PG,,(BCI) Bar Council of India,Pass in 3 or 5 years Degree Course in Law of any recognized University with 40% on the aggregate.,"LLM Business Law is a full-time two years duration course offered by Sri Padmavati Mahila Visvavidyalayam, Tirupati Approved by Bar Council of India."
20,"Sri Padmavati Mahila Visvavidyalayam, Tirupati",Tirupati,Andhra Pradesh,LLM Labour Capital and Law,5 years,Full time,8,PG,,(BCI) Bar Council of India,Pass in 3 or 5 years Degree Course in Law of any recognized University with 40% on the aggregate.,"LLM Labour Capital and Law is a full-time two years duration course offered by Sri Padmavati Mahila Visvavidyalayam, Tirupati Approved by Bar Council of India."
21,"Dr BR Ambedkar University, Agra",Agra,Uttar Pradesh,BA LLB,5 years,Full time,,UG,,UGC,Minimum qualification for admission in program: 10+2 or its equivalent.,"Bachelor of Art and Bachelor of Law is full time five year course degree offered by Dr BR Ambedkar University, Agra and approved by UGC and BCI."
22,"Dr BR Ambedkar University, Agra",Agra,Uttar Pradesh,LLB,3 years,Full time,,UG,,UGC,The candidate should have passed in the relevant graduate degree from any recognized university.,"Bachelor of Laws is full time three year course degree offered by Dr BR Ambedkar University, Agra and approved by UGC and BCI."
23,"Dr BR Ambedkar University, Agra",Agra,Uttar Pradesh,LLM,2 years,Full time,,PG,,UGC,"B.A.LL.B/LL.B with minimum 55% marks for any recognized University.
5% Relaxation for SC/ ST candidates.","Master of Law is full time two year course degree offered by Dr BR Ambedkar University, Agra and approved by UGC and BCI."
24,"IEC University, Baddi",Kattiwala,Himachal Pradesh,BA LLB,5 years,Full time,60,UG,3.75 lakhs,UGC,Minimum aggregate of 45% or equivalent in 10+2 from a recognized Board with science/ Commerce/ Arts subjects.,"BA LLB is a full-time five years duration course offered by IEC University, Baddi Approved by Bar Council of India."
25,"IEC University, Baddi",Kattiwala,Himachal Pradesh,LLB,3 years,Full time,60,UG,1.65 lakhs,UGC,Minimum aggregate of 45% or equivalent in Graduation from a recognized University.,"LLB is a full-time three years duration course offered by IEC University, Baddi Approved by Bar Council of India. This three year full time program seeks to create lawyers with an in-depth knowledge of Law. Besides this the focus is also on training the students in practical aspects of Law. Exposure to working of the court forms an integral part of the pedagogy. The course has been designed to produce competitive Law professionals who can excel in th"
26,"University of Rajasthan, Jaipur",Jaipur,Rajasthan,BA LLB Hons,5 years,Full time,120,UG,,UGC,10+2 exam with at least 50% marks in the aggregate,"Bachelor of Art and Bachelor of Law is a full-time five years duration integrated course offered by University of Rajasthan, Jaipur and approved by UGC."
27,"University of Rajasthan, Jaipur",Jaipur,Rajasthan,LLB,3 years,Full time,300,UG,,UGC,"(a) 45% marks in the aggregate of the qualifying Examination for admission to LL.B. I Year class. (b) 60% and above in the aggregate for students coming from Universities other than those situated in the State of Rajasthan. Minimum eligibility for admission to the LL.B. First Year (O.252).As per provision of O.-252 only such candidates who have passed the Bachelor's or Master's Degree examination with the required marks in aggregate shall be eligibile for admission to the LL.B. I year class. No concession on any ground, whatsoever, is admissible in the said rule.(i) A candidate who has taken the Bachelor's or the Master's Degree in Arts / Commerce / Science / Engineering / Management (of 2 years duration) / Nursing / Agriculture or the Degree of Shastri / Acharya or the Degree of Ayurvedacharya / Ayurveda Brihaspati of this University or of any other University recognised for the purpose by the Syndicate with full course prescribed for the Degree and has secured a minimum of 45% marks, minimum of 60% in case of a student coming from a University situated out of Rajasthan (excluding any concessional marks) in the aggregate marks prescribed for the examination for the aforesaid degree, shall be eligible for admission to LL.B. First Year class. Note: The maximum age for seeking admission into a stream of Three year Bachelor Degree course in Law is limited to 30 (Thirty) on July 1st  of the year of seeking admission. There shall be a relaxation in age of 5 years for the applicant belonging to SC, ST or any other backward community. ","Bachelor of Law is a full-time three years duration course offered by University of Rajasthan, Jaipur Approved by UGC.This course is offered by University Law College II."
28,"University of Rajasthan, Jaipur",Jaipur,Rajasthan,LLB Self Financed,3 years,Full time,300,UG,,UGC,"(a) 45% marks in the aggregate of the qualifying Examination for admission to LL.B. I Year class. (b) 60% and above in the aggregate for students coming from Universities other than those situated in the State of Rajasthan. Minimum eligibility for admission to the LL.B. First Year (O.252).As per provision of O.-252 only such candidates who have passed the Bachelor's or Master's Degree examination with the required marks in aggregate shall be eligibile for admission to the LL.B. I year class. No concession on any ground, whatsoever, is admissible in the said rule.(i) A candidate who has taken the Bachelor's or the Master's Degree in Arts / Commerce / Science / Engineering / Management (of 2 years duration) / Nursing / Agriculture or the Degree of Shastri / Acharya or the Degree of Ayurvedacharya / Ayurveda Brihaspati of this University or of any other University recognised for the purpose by the Syndicate with full course prescribed for the Degree and has secured a minimum of 45% marks, minimum of 60% in case of a student coming from a University situated out of Rajasthan (excluding any concessional marks) in the aggregate marks prescribed for the examination for the aforesaid degree, shall be eligible for admission to LL.B. First Year class. Note: The maximum age for seeking admission into a stream of Three year Bachelor Degree course in Law is limited to 30 (Thirty) on July 1st  of the year of seeking admission. There shall be a relaxation in age of 5 years for the applicant belonging to SC, ST or any other backward community. ","Bachelor of Law is a full-time three years duration course offered by University of Rajasthan, Jaipur Approved by UGC.This course is offered by University Law College."
29,"University of Rajasthan, Jaipur",Jaipur,Rajasthan,LLM,2 years,Full time,,PG,,UGC,General & OBC : 55 % in Bachelor of Law Degree exams or PG Diplomas examination in Law. SC/ST/PH: 50 % in Bachelor of Law Degree exams or PG Law Diplomas examination,"Master of Law is a full time two years duration course offered by University of Rajasthan, Jaipur and approved by UGC. "
