,0
97,https://law.careers360.com/colleges/alliance-school-of-law-bangalore
98,https://law.careers360.com/colleges/babasaheb-bhimrao-ambedkar-university-lucknow
99,https://law.careers360.com/colleges/national-law-university-cuttack
100,https://law.careers360.com/colleges/national-law-university-and-judicial-academy-guwahati
101,https://law.careers360.com/colleges/dr-kn-modi-university-tonk
102,https://law.careers360.com/colleges/rabindranath-tagore-university-bhopal
103,https://law.careers360.com/colleges/integral-university-lucknow
104,https://law.careers360.com/colleges/tamil-nadu-national-law-school-tiruchirappalli
105,https://law.careers360.com/colleges/sri-padmavati-mahila-visvavidyalayam-tirupati
106,https://law.careers360.com/colleges/dr-br-ambedkar-university-agra
107,https://law.careers360.com/colleges/iec-university-baddi
108,https://law.careers360.com/colleges/university-of-rajasthan-jaipur
109,https://law.careers360.com/colleges/faculty-of-law-university-of-allahabad-allahabad
110,https://law.careers360.com/colleges/gla-university-mathura
111,https://law.careers360.com/colleges/punjabi-university-patiala
112,https://law.careers360.com/colleges/gautam-buddha-university-greater-noida
113,https://law.careers360.com/colleges/maharshi-dayanand-university-rohtak
114,https://law.careers360.com/colleges/shobhit-university-meerut
115,https://law.careers360.com/colleges/ajeenkya-dy-patil-university-pune
116,https://law.careers360.com/colleges/kle-societys-law-college-bangalore
117,https://law.careers360.com/colleges/noida-international-university-greater-noida
118,https://law.careers360.com/colleges/mit-world-peace-university-pune
119,https://law.careers360.com/colleges/damodaram-sanjivayya-national-law-university-visakhapatnam
120,https://law.careers360.com/colleges/ipem-group-of-institutions-ghaziabad
121,https://law.careers360.com/colleges/university-of-burdwan-bardhaman
122,https://law.careers360.com/colleges/veer-bahadur-singh-purvanchal-university-jaunpur
123,https://law.careers360.com/colleges/kakatiya-university-warangal
124,https://law.careers360.com/law/bangalore-institute-legal-studies-bangalore
125,https://law.careers360.com/colleges/jims-engineering-management-technical-campus-greater-noida
126,https://law.careers360.com/colleges/university-of-calicut-malappuram
127,https://law.careers360.com/colleges/pt-ravishankar-shukla-university-raipur
128,https://law.careers360.com/colleges/university-of-north-bengal-siliguri
129,https://law.careers360.com/colleges/dr-dy-patil-vidya-pratishthan-societys-dr-dy-patil-law-college-pune
130,https://law.careers360.com/colleges/university-of-jammu-jammu
131,https://law.careers360.com/colleges/icfai-law-school-hyderabad
132,https://law.careers360.com/colleges/university-of-mysore-mysore
133,https://law.careers360.com/colleges/dr-babasaheb-ambedkar-marathwada-university-aurangabad
134,https://law.careers360.com/colleges/kiit-school-of-law-bhubaneswar
135,https://law.careers360.com/colleges/central-university-of-jharkhand-ranchi
136,https://law.careers360.com/colleges/ifim-law-college-bangalore
137,https://law.careers360.com/colleges/ideal-institute-of-management-and-technology-and-school-of-law-delhi
138,https://law.careers360.com/colleges/ranchi-university-ranchi
139,https://law.careers360.com/colleges/amity-university-gwalior
140,https://law.careers360.com/colleges/teri-school-of-advanced-studies-new-delhi
141,https://law.careers360.com/colleges/rnb-global-university-bikaner
142,https://law.careers360.com/colleges/chaudhary-charan-singh-university-meerut
143,https://law.careers360.com/colleges/sndt-womens-university-mumbai
144,https://law.careers360.com/colleges/hemwati-nandan-bahuguna-garhwal-university-pauri-garhwal
145,https://law.careers360.com/colleges/university-of-kerala-thiruvananthapuram
146,https://law.careers360.com/colleges/uttarakhand-technical-university-dehradun
147,https://law.careers360.com/colleges/symbiosis-law-school-noida
148,https://law.careers360.com/colleges/dr-harisingh-gour-vishwavidyalaya-sagar
149,https://law.careers360.com/colleges/raffles-university-neemrana
150,https://law.careers360.com/colleges/sri-krishnadevaraya-university-anantapur
151,https://law.careers360.com/colleges/kalinga-university-raipur
152,https://law.careers360.com/colleges/university-of-kashmir-srinagar
153,https://law.careers360.com/colleges/sandip-university-nashik
154,https://law.careers360.com/colleges/navrachana-university-vadodara
155,https://law.careers360.com/colleges/barkatullah-university-bhopal
156,https://law.careers360.com/colleges/jodhpur-national-university-jodhpur
157,https://law.careers360.com/colleges/ims-law-college-noida
158,https://law.careers360.com/colleges/sinhgad-law-college-pune
159,https://law.careers360.com/colleges/karnataka-state-law-university-hubli
160,https://law.careers360.com/colleges/yashwantrao-chavan-law-college-pune
161,https://law.careers360.com/colleges/apeejay-stya-university-sohna
162,https://law.careers360.com/colleges/indore-institute-of-law-indore
163,https://law.careers360.com/colleges/shri-ramswaroop-memorial-university-barabanki
164,https://law.careers360.com/colleges/faculty-of-law-banaras-hindu-university-varanasi
165,https://law.careers360.com/colleges/rizvi-law-college-mumbai
166,https://law.careers360.com/colleges/north-eastern-hill-university-shillong
167,https://law.careers360.com/colleges/school-of-legal-studies-cochin-university-of-science-and-technology-kochi
168,https://law.careers360.com/colleges/university-law-college-bangalore-university-bangalore
169,https://law.careers360.com/colleges/vit-law-school-chennai
170,https://law.careers360.com/colleges/himachal-pradesh-national-law-university-shimla
171,https://law.careers360.com/colleges/manav-rachna-university-faridabad
172,https://law.careers360.com/colleges/central-university-of-south-bihar-patna
173,https://law.careers360.com/colleges/lingayas-vidyapeeth-faridabad
174,https://law.careers360.com/colleges/school-of-law-gitam-university-visakhapatnam
175,https://law.careers360.com/colleges/south-asian-university-new-delhi
176,https://law.careers360.com/colleges/maharashtra-national-law-university-nagpur
177,https://law.careers360.com/colleges/sant-gadge-baba-amravati-university-amravati
178,https://law.careers360.com/colleges/department-of-laws-panjab-university-chandigarh
179,https://law.careers360.com/colleges/goa-universitytaleigao-plateau-goa
180,https://law.careers360.com/colleges/symbiosis-law-school-hyderabad
181,https://law.careers360.com/colleges/panjab-university-ssg-regional-centre-hoshiarpur
182,https://law.careers360.com/colleges/chanderprabhu-jain-college-of-higher-studies-and-school-of-law-delhi
183,https://law.careers360.com/colleges/jai-narain-vyas-university-jodhpur
184,https://law.careers360.com/colleges/bhagwant-university-ajmer
185,https://law.careers360.com/Law/Law-School-Bharati-Vidyapeeth-University-Pune
186,https://law.careers360.com/colleges/vinoba-bhave-university-hazaribagh
187,https://law.careers360.com/colleges/sgt-university-gurgaon
188,https://law.careers360.com/colleges/svkms-pravin-gandhi-college-of-law-mumbai
189,https://law.careers360.com/colleges/mahatma-gandhi-kashi-vidyapith-varanasi
190,https://law.careers360.com/law/balaji-law-college-pune
191,https://law.careers360.com/colleges/dr-ambedkar-college-of-law-mumbai
192,https://law.careers360.com/colleges/central-university-of-punjab-bathinda
193,https://law.careers360.com/colleges/fairfield-institute-of-management-and-technology-new-delhi
194,https://law.careers360.com/colleges/jss-law-college-mysore
195,https://law.careers360.com/colleges/lloyd-law-college-greater-noida
196,https://law.careers360.com/colleges/dr-cv-raman-university-bilaspur
197,https://law.careers360.com/colleges/singhania-university-jhunjhunu
198,https://law.careers360.com/colleges/alakh-prakash-goyal-shimla-university-shimla
199,https://law.careers360.com/colleges/shoolini-university-of-biotechnology-and-management-sciences-solan
200,https://law.careers360.com/colleges/manikchand-pahade-law-college-aurangabad
201,https://law.careers360.com/colleges/guru-nanak-dev-university-regional-campus-jalandhar
202,https://law.careers360.com/colleges/delhi-institute-of-rural-development-holambi-khurd-delhi
203,https://law.careers360.com/colleges/saurashtra-university-rajkot
204,https://law.careers360.com/colleges/adamas-university-kolkata
205,https://law.careers360.com/colleges/university-institute-of-legal-studies-panjab-university-chandigarh
206,https://law.careers360.com/colleges/des-shri-navalmal-firodia-law-college-pune
207,https://law.careers360.com/colleges/sambalpur-university-sambalpur
208,https://law.careers360.com/colleges/rkdf-university-bhopal
209,https://law.careers360.com/colleges/mahatma-gandhi-university-nalgonda
210,https://law.careers360.com/colleges/hemchandracharya-north-gujarat-university-patan
211,https://law.careers360.com/colleges/manonmaniam-sundaranar-university-tirunelveli
212,https://law.careers360.com/colleges/bms-college-of-law-bangalore
213,https://law.careers360.com/colleges/swami-vivekanand-university-sagar
214,https://law.careers360.com/colleges/university-law-college-utkal-university-bhubaneswar
215,https://law.careers360.com/colleges/berhampur-university-berhampur
216,https://law.careers360.com/colleges/bhagat-phool-singh-mahila-vishwavidyalaya-khanpur-kalan
217,https://law.careers360.com/colleges/dr-dy-patil-college-of-law-navi-mumbai
218,https://law.careers360.com/colleges/ahmednagar-jilha-maratha-vidya-prasarak-samajs-new-law-college-ahmednagar
219,https://law.careers360.com/colleges/maharashtra-national-law-university-aurangabad
220,https://law.careers360.com/colleges/rani-durgavati-vishwavidyalaya-jabalpur
221,https://law.careers360.com/colleges/bls-institute-of-technology-management-bahadurgarh
222,https://law.careers360.com/colleges/bahra-university-shimla
223,https://law.careers360.com/colleges/auro-university-surat
224,https://law.careers360.com/colleges/rai-university-ahmedabad
225,https://law.careers360.com/colleges/jagannath-university-jaipur
226,https://law.careers360.com/colleges/acharya-school-of-law-bangalore
227,https://law.careers360.com/colleges/dr-ambedkar-college-nagpur
228,https://law.careers360.com/colleges/mangalayatan-university-aligarh
229,https://law.careers360.com/colleges/ims-unison-university-dehradun
230,https://law.careers360.com/colleges/krishna-university-machilipatnam
231,https://law.careers360.com/colleges/dr-ambedkar-government-law-college-chennai
232,https://law.careers360.com/Law/ICFAI-Law-School-Dehradun
233,https://law.careers360.com/colleges/kirit-p-mehta-school-of-law-mumbai
234,https://law.careers360.com/colleges/chaudhary-devi-lal-university-sirsa
235,https://law.careers360.com/colleges/tilka-manjhi-bhagalpur-university-bhagalpur
236,https://law.careers360.com/colleges/kannur-university-kannur
237,https://law.careers360.com/colleges/mahatma-gandhi-law-college-hyderabad
238,https://law.careers360.com/colleges/progressive-education-societys-modern-law-college-pune
239,https://law.careers360.com/colleges/kc-law-college-mumbai
240,https://law.careers360.com/colleges/central-india-college-of-law-nagpur
241,https://law.careers360.com/colleges/delhi-metropolitan-education-greater-noida
242,https://law.careers360.com/colleges/iftm-university-moradabad
243,https://law.careers360.com/colleges/kamla-nehru-institute-of-physical-and-social-sciences-sultanpur
244,https://law.careers360.com/colleges/post-graduate-college-of-law-osmania-university-basheerbagh
245,https://law.careers360.com/colleges/central-university-of-kashmir-srinagar
246,https://law.careers360.com/colleges/karnataka-university-dharwad
247,https://law.careers360.com/colleges/dr-br-ambedkar-university-srikakulam
248,https://law.careers360.com/colleges/awadhesh-pratap-singh-university-rewa
249,https://law.careers360.com/colleges/uttarakhand-open-university-haldwani
250,https://law.careers360.com/colleges/vardhaman-mahaveer-open-university-kota
251,https://law.careers360.com/colleges/maharaja-ganga-singh-university-bikaner
252,https://law.careers360.com/colleges/gopaldas-jhamatmal-advani-law-college-mumbai
253,https://law.careers360.com/colleges/school-of-law-christ-university-bangalore
254,https://law.careers360.com/colleges/gh-raisoni-law-school-nagpur
255,https://law.careers360.com/colleges/mohammad-ali-jauhar-university-rampur
256,https://law.careers360.com/colleges/altius-institute-of-universal-studies-indore
257,https://law.careers360.com/colleges/sdm-law-college-and-centre-for-post-graduate-studies-in-law-mangalore
258,https://law.careers360.com/colleges/tnb-law-college-bhagalpur
