,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"CSI College for Legal Studies, Kanakkary",Kanakkary,Kerala,BA LLB Hons,5 years,Full time,60,UG,1.79 lakhs,(BCI) Bar Council of India,"A candidate who has passed the Higher Secondary or Plus Two examination recognized by the Govt. of Kerala or any other  examination recognized  as equivalent there to by the Mahatma Gandhi University, Kottayam, and has secured not less than 45% of the marks in the aggregate in such examination will be eligible to be considered for admission. For SC and ST candidates, the maximum marks required will be 40% in the aggregate.""","Bachelor of Art and Bachelor of Laws in Honours is 5 years fulltime course and it is approved by Bar council of India,B.A. LL.B. Honours double degree integrated programmes which require a regular study for ten semesters in a period of five academic years. The medium of instruction and examination is English."
1,"CSI College for Legal Studies, Kanakkary",Kanakkary,Kerala,LLM Commercial Law,2 years,Full time,,PG,1.13 lakhs,(BCI) Bar Council of India,The candidate should have passed in LLB from any recognized university.,"Master of Law in Commercial Law is full time two year course degree offred by Mahatma Gandhi University, Kottayam and approved by BCI."
2,"Nehru Gram Bharati, Allahabad",Palikaranpur Kachar Gairaba,Uttar Pradesh,BA LLB Integrated,2 years,Full time,120,UG,1 lakh,(BCI) Bar Council of India,Passed Intermediate or Equivalent Examination,"Bachelor of Arts + Bachelor of Laws (BA LLB) is five-years (10 Semesters) full-time Integrated programme in Law offered by Nehru Gram Bharati University, Allahabad with the approval of BCI."
3,"Nehru Gram Bharati, Allahabad",Palikaranpur Kachar Gairaba,Uttar Pradesh,LLB,3 years,Full time,180,UG,0.48 lakhs,(BCI) Bar Council of India,Minimum 45% (5% Year age relaxation for OBC/SC/ST) in Bachelor Degree and age should not be more than 30yr. 5 Year age relaxation for OBC/SC/ST.,"Bachelor of Laws (LLB) is three-years (6 Semesters ) full-time program offered by Nehru Gram Bharati University, Allahabad and approved by Bar Council of India."
4,"Nehru Gram Bharati, Allahabad",Palikaranpur Kachar Gairaba,Uttar Pradesh,LLM,2 years,Full time,60,PG,1 lakh,(BCI) Bar Council of India,Admission to the LL.M. Degree Course of study shall be open to those candidates who have passed the Three Year LL.B. Degree Examination of this University or such Examination of any other University or Institution after Graduation under 10+2+3 pattern; or Five Year LL.B. Degree Course under 10+2+5 pattern as is recognized by this University as equivalent for the purpose of LL.M. Degree Course and have secured not less than 50% marks in aggregate in the LL.B. Examinations. The Nehru Gram Bharati University shall conduct Entrance Test for each academic session. Admission shall be made according to merit in Entrance Test subject to the fulfillment of eligibility requirement as determined by the University and availability of seats in LL.M. Course.,"Master of Laws (LL.M.) is Duration of 2 years (Four Semesters) program offered by Nehru Gram Bharati University, Allahabad with the approval of Bar Council of India."
5,"North Orissa University, Baripada",Baripada,Odisha,LLM,2 years,Full time,24,PG,0.33 lakhs,UGC,Graduate in Law,
6,"Indira Gandhi University, Meerpur",Meerpur,Haryana,LLB,3 years,Full time,60,UG,,UGC,A candidate must have pass in a recognised Bachelor’s degree of minimum three years duration from recognised university.,
7,"Indira Gandhi University, Meerpur",Meerpur,Haryana,LLB ll Shift,3 years,Full time,60,UG,,UGC,A candidate must have pass in a recognised Bachelor’s degree of minimum three years duration from recognised university.,"LLB ll Shift is a full-time three years duration course offered by Indira Gandhi University, Meerpur Appro"
8,"Abhilashi University, Mandi",Chail-Chowk,Himachal Pradesh,BA LLB Integrated,5 years,Full time,60,UG,2.5 lakhs,UGC,Candidate having passed (10+2) with any examination conducted by the recognized Education Board/ Council with 45% in aggregate(40% for reserved category),"Bachelors of Arts and Bachelors of law is five-years duration integrated full-time course spreads in 10 Semesters offered by Abhilashi University, Mandi and approved by UGC and Bar Council of India."
9,"Amity Law School Centre II, Noida",Noida,Uttar Pradesh,BA LLB Hons,5 years,Full time,,UG,9.9 lakhs,(BCI) Bar Council of India,10+2 min 60% for Non Sponsored & 55% for Sponsored Category,"Bachelor of Arts and Bachelor of Laws is full time five year course degree offered by Amity University, Noida and approved by Bar Council of India."
10,"Dispur Law College, Guwahati",Guwahati,Assam,BA LLB Integrated,5 years,Full time,120,UG,,(BCI) Bar Council of India,"A candidate in order to be eligible for admission to the first year of the Five year integrated law course should have passed HSSLC examination (Arts, Science or Commerce) or equivalent examination.","Bachelor of Arts and Bachelor of Laws is full time five year course degree offered by Gauhati University, Guwahati and approved by Bar Council of India."
11,"Dispur Law College, Guwahati",Guwahati,Assam,LLB,3 years,Full time,120,UG,,(BCI) Bar Council of India,"The minimum percentage of marks of LL.B. 3 year Degree course shall not be less than 45% for general and 40% for SC, ST and OBC of the total marks in graduation or equivalent examination. Provided that such a minimum qualifying marks shall not automatically entitle a person to get admission into and institution. The candidate shall be required to fulfill all other conditions as laid down by the institution. The candidate shall be required to fulfill all other conditions as laid down by the institution from time to time.","Bachelor of Laws is full time three year course degree offered by Gauhati University, Guwahati and approved by Bar Council of India."
12,"Shri Swami Vivekanand Shikshan Sanstha Law College, Osmanabad",Osmanabad,Maharashtra,LLB,3 years,Full time,,UG,,(BCI) Bar Council of India,The candidate should be a Graduate from a recognized University.,"LLB is a full-time three years duration course Affiliated to Dr. Babasaheb Ambedkar Marathwada University, Aurangabad Approved by Bar Council of India."
13,"Shri Swami Vivekanand Shikshan Sanstha Law College, Osmanabad",Osmanabad,Maharashtra,LLB Integrated,5 years,Full time,,UG,,(BCI) Bar Council of India,The candidate should be an Intermediate(10+2) from a recognized Board.,"LLB Integrated is a full-time five years duration course Affiliated to Dr. Babasaheb Ambedkar Marathwada University, Aurangabad Approved by Bar Council of India."
