,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
38,"University of Lucknow, Lucknow",Lucknow,Uttar Pradesh,LLB,3 years,Full time,320,UG,0.23 lakhs,UGC,"A candidate will be eligible for admission to LL.B. class if he/she has completed BA/B.Sc/B.Com or any other bachelor's degree recognized by Lucknow University with 10+2+3 system and has secured not less than 45% marks at Graduate level. However, for SC/ST candidate minimum percentage of marks will be 40% .","LLB is a full-time three year duration course offered by  University of Lucknow, Lucknow Approved by Bar Counci"
39,"University of Lucknow, Lucknow",Lucknow,Uttar Pradesh,LLB Integrated Five Years,5 years,Full time,120,UG,2.51 lakhs,(BCI) Bar Council of India,Intermediate or equivalent examination. For General and Other Backward Classes candidates must secure atleast 45% of marks and for Scheduled Castes and Scheduled Tribes minimum number of marks obtained should be 40%,"LLB Integrated Five Years is a full-time course offered by  University of Lucknow, Lucknow Approved by Bar Council of India."
40,"University of Lucknow, Lucknow",Lucknow,Uttar Pradesh,LLM,2 years,Full time,45,PG,0.2 lakhs,UGC,A candidate should have passed the LL.B or an equivalent degree from a recognised University,"LLM is a full-time two year duration course offered by University of Lucknow, Lucknow Approved by UGC."
41,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Nagpur,Maharashtra,BA LLB Hons,5 years,Full time,,UG,,UGC,The candidate should have passed 12th from any recognized Board / College.,"BA LLB is a five-years full-time Honors course offered by Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur and approved by Bar Council of India and UGC."
42,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Nagpur,Maharashtra,LLB Five Year,5 years,Full time,,UG,,UGC,The candidate should have passed 12th Std. (10+2),"Bachelor of Laws is Five Years full-time course offered by Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur with approval by Bar Council of India and UGC."
43,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Nagpur,Maharashtra,LLB Three Years,3 years,Full time,,UG,,UGC,The candidate should have passed Any Graduate degree,"Bachelor of Laws is three years full-time course offered by Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur with approval by Bar Council of India and UGC."
44,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Nagpur,Maharashtra,LLM,2 years,Full time,,PG,,UGC,"The candidate should have passed LL.B. (3 yrs.) or LL.B.
(5 yrs.) from any recognized University / College.","Master of Laws (LL.M.) is Duration of 2 years (Four Semesters) program offered by Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur with the approval of Bar Council of India and UGC."
45,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Nagpur,Maharashtra,PG Diploma in Consumer Law,1 year,Full time,,Diploma,,UGC,The candidate should have passed Any Graduate degree,"PG Diploma in Consumer Law is one year's program offered by Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur with the approval of UGC & BCI."
46,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Nagpur,Maharashtra,PG Diploma in Cyber Law and Information Technology,1 year,Full time,,Diploma,,UGC,The candidate should have passed Any Graduate degree,"PG Diploma in Cyber Law and Information Technology is one year's program offered by Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur with the approval of UGC & BCI."
47,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Nagpur,Maharashtra,PG Diploma in Human Rights and Duties Education,1 year,Full time,,Diploma,,UGC,The candidate should have passed Any Graduate degree,"PG Diploma in Human Rights and Duties Education is one year's program offered by Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur with the approval of UGC & BCI."
