,place_id,sublocality_level_1,locality,administrative_area_level_2,administrative_area_level_1,country,postal_code,sublocality_level_2,route,point_of_interest,street_number,neighborhood,premise,subpremise,sublocality_level_3,postal_town,natural_feature,floor,administrative_area_level_3,postal_code_suffix,post_box,political,administrative_area_level_4
1877,ChIJcRDjrbjA1DsRxvnL6Zik9eA,Empress City,Nagpur,Nagpur,Maharashtra,India,440002,,,,,,,,,,,,,,,,
1878,ChIJL1KRbj6V1DsRCq-Ft1tDnAQ,Dangarpura,Wanadongri,Nagpur,Maharashtra,India,441110,,Hingna Road,,,,,,,,,,,,,,
1879,ChIJ0bj4EcDA1DsRcLbCYB1ryF0,Seminary Hills,Nagpur,Nagpur,Maharashtra,India,440001,,,,,,,,,,,,,,,,
1880,ChIJVVVVVcz7LDoRCKCLZycDDho,Gokul Nagar,Gadchiroli,Gadchiroli,Maharashtra,India,442605,,,,,,,,,,,,,,,,
1881,ChIJQREkYEcU1DsRMT7KWrn38IE,Wardha,Wardha,Wardha,Maharashtra,India,442302,,,,,,,,,,,,,,,,
1882,ChIJraNpmcju1DsRWiunHhON6a4,,Nagpur,Nagpur,Maharashtra,India,441501,,,,,,,,,,,,,,,,
1883,ChIJ1QW-eOHA1DsR2K6yAIiMuT8,Koradi Colony,Godhani,Nagpur,Maharashtra,India,441123,,,,,,,,,,,,,,,,
1884,ChIJzdW2Wgwo0zsRXoEvlwY_sg4,,Nagpur,Chandrapur,Maharashtra,India,442406,,Wardha Road,,,,,,,,,,,,,,
1885,ChIJGeczGLGuKzoRjuopAsCDEFY,,Gondia,Gondia,Maharashtra,India,441601,,,,,,,,,,,,,,,,
1886,ChIJ3YvA0xPB1DsR8t9lHo7e4lg,New Mankapur,Nagpur,Nagpur,Maharashtra,India,440030,Jafar Nagar,Koradi Road,,,,,,,,,,,,,,
1887,ChIJSYAh9rnS0jsRWxWgaz2wtuo,BTS,Balharshah,Chandrapur,Maharashtra,India,442701,,,,,,,,,,,,,,,,
1888,ChIJyRodzJ7T1DsRfu1OF4DQuQY,,Nagpur,Nagpur,Maharashtra,India,441106,,,,,,,,,,,,,,,,
1889,ChIJDVWf91ZpKzoRhKxzt-LYSzQ,Samarth Nagar,Lakhni,Bhandara,Maharashtra,India,441804,,National Highway 6,,,,,,,,,,,,,,
1890,ChIJhzprk3VOXjkRJ4ykC9s8EUM,Vallabh Vidyanagar,Anand,Anand,Gujarat,India,388120,Mota Bazaar,,,,,,,,,,,,,,,
1891,ChIJFYrSUIqX1DsRYfk5tnQlR_4,,Buti Bori,Nagpur,Maharashtra,India,441122,,,,,,,,,,,,,,,,
1892,ChIJp-wb7Q6_wjsRUa_CE7a2evA,Ganeshkhind,Pune,Pune,Maharashtra,India,411007,,,,,,,,,,,,,,,,
1893,ChIJRSYf-Wl11DsR_3eb0-UVJmo,Mira Colony,Pulgaon,Wardha,Maharashtra,India,442302,,Nachangaon Road,,,,,,,,,,,,,,
1894,ChIJ0bj4EcDA1DsROFvpX8Q2GCo,,Nagpur,Nagpur,Maharashtra,India,441123,,,,,,,,,,,,,,,,
1895,ChIJa1aVJlhxKzoR_QQW0zGYUNw,,Sakoli,Bhandara,Maharashtra,India,441802,,,,,,,,,,,,,,,,
1896,ChIJodw_YaeuKzoRfOrrIYyiXY0,Vijaynagar,Gondia,Gondia,Maharashtra,India,441614,,Tiroda Road,,,,,,,,,,,,,,
1897,ChIJIcxFEfcj0zsRWkfYqly2gHY,Pandav Ward,Bhadravati,Chandrapur,Maharashtra,India,442902,,,,,,,,,,,,,,,,
1898,ChIJ09qfouLq1DsRK4k_aWdAWfA,Waddhamna,Nagpur,Nagpur,Maharashtra,India,440023,,,,,,,,,,,,,,,,
1899,ChIJ0dczMwPG1DsRZYHEzS7aeWU,Gautam Colony,Kamptee,Nagpur,Maharashtra,India,441002,,,,,,,,,,,,,,,,
1900,ChIJS6evNwXk1DsRmCVfNPNootY,,Savner,Nagpur,Maharashtra,India,441107,,State Highway 265,,,,,,,,,,,,,,
1901,ChIJT0A5ykPH1DsRJxgIAIGLH4w,Nandanvan,Nagpur,Nagpur,Maharashtra,India,440009,,,,,,,,,,,,,,,,
1902,ChIJq6qqalvH1DsRHfwhJcTxGHc,Nandanvan,Nagpur,Nagpur,Maharashtra,India,440009,,,,,Hasanbag,,,,,,,,,,,
1903,ChIJ9_CghLXA1DsR-pg6dRwwpww,Mahal,Nagpur,Nagpur,Maharashtra,India,440032,Mangalwari,Pataleshwar Road,,,,,,,,,,,,,,
1904,ChIJ98RbVqB_1DsRS2tRxDan8Jk,MIDC,Wardha,Wardha,Maharashtra,India,442001,,,,,,,,,,,,,,,,
1905,ChIJsU8kxiTH1DsRfyShPUODJk8,Shantinagar Colony,Nagpur,Nagpur,Maharashtra,India,440002,,,,,,,,,,,,,,,,
1906,ChIJ1TdNRX_p1DsRqMQQQRSg3DI,,Nagpur,Nagpur,Maharashtra,India,441501,,,,,,,,,,,,,,,,
1907,ChIJo8CdU23W0jsR4nARPFfz1FM,,Lonara,Chandrapur,Maharashtra,India,442902,,,,,,,,,,,,,,,,
1908,ChIJ7wzRK7Hq1DsRJ2wGCi985vY,,Nagpur,Nagpur,Maharashtra,India,440016,,Hingna Road,,wadi road,,,,,,,,,,,,
1909,ChIJVVVV2ebt1DsRFww9PFYCLGA,,Nagpur,Nagpur,Maharashtra,India,441111,,,,,,,,,,,,,,,,
1910,ChIJ7f07sMa91DsRXuyjb7ZOllE,,Nagpur,Nagpur,Maharashtra,India,441108,,,,,,,,,,,,,,,,
1911,ChIJceVqb8v7LDoRJQVQjMbGC_A,,Gadchiroli,Gadchiroli,Maharashtra,India,442605,,,,,Revenue Colony,,,,,,,,,,,
1912,ChIJAQAAAAAA2zsRoPYf3D3Xj9A,,Badapur,Jalna,Maharashtra,India,431202,,,,,,,,,,,,,,,,
1913,ChIJKUJ3upe41DsR4bqcbbi-iCA,Dighori,Nagpur,Nagpur,Maharashtra,India,440034,,,,,,,,,,,,,,,,
1914,ChIJyQjlctmX1DsRuQhqRxEv7zs,,Nagpur,Nagpur,Maharashtra,India,441108,,,,,,,,,,,,,,,,
1915,ChIJ5QD6LXgYKzoRROQ-EIrYaWQ,Shastri Nagar,Bhandara,Bhandara,Maharashtra,India,441912,,,,,,,,,,,,,,,,
1916,ChIJP7FqEhXH1DsRFNQDewr-btg,Wardhaman Nagar Colony,Nagpur,Nagpur,Maharashtra,India,440008,,,,,,,,,,,,,,,,
1917,ChIJjc3SJU7H1DsRC93LmCAix-I,Azamshah Layout,Nagpur,Nagpur,Maharashtra,India,440024,Ganesh Nagar,,,,,,,,,,,,,,,
1918,ChIJT9qePs6s1TsRoCfCwuQ4PDQ,,Narkhed,Nagpur,Maharashtra,India,441304,,,,,Block 3,,,,,,,,,,,
1919,ChIJtR9a-SzB1DsRc86oeAj40dA,Teka Naka,Nagpur,Nagpur,Maharashtra,India,440026,,,,,,,,,,,,,,,,
1920,ChIJX14QYlbH1DsRvomYS3tKsh8,Raghuji Nagar,Nagpur,Nagpur,Maharashtra,India,440009,,,,,,,,,,,,,,,,
1921,ChIJsZsV6Qs4KzoRXmwx6Q0BFkE,,Shahapur,Bhandara,Maharashtra,India,441906,,National Highway 6,,,,,,,,,,,,,,
1922,ChIJSRXGVFw1KzoRe0vTeQYo9Xs,,,Nagpur,Maharashtra,India,441104,,,,,,,,,,,,,,,,
1923,ChIJqS5lmUWV1DsRe1vgFDbCr_w,,Digdoh,Nagpur,Maharashtra,India,440019,,,,,,,,,,,,,,,,
1924,ChIJHd2Wk5-A1DsRwZYjbJQ6sRQ,,Wardha,Wardha,Maharashtra,India,442111,,,,,,,,,,,,,,,,
1925,ChIJqfxR2VuV1DsRGJwaWOTSs7o,,Nagpur,Nagpur,Maharashtra,India,440019,,,,,,,,,,,,,,,,
1926,ChIJV72LSS7N0jsRVGkxxEtrUgc,,Rajura,Chandrapur,Maharashtra,India,442905,,,,,,,,,,,,,,,,
1927,ChIJZVVVVeIGoDkRq2RIBF41Sd0,Rajendra Nagar,Bareilly,Bareilly,Uttar Pradesh,India,243001,,,,,Priyadarshini Nagar,,,,,,,,,,,
1928,ChIJhT6aDKjm1DsRz96EqboyhU4,,Savner,Nagpur,Maharashtra,India,441107,,Chhindwara Road,,,,,,,,,,,,,,
1929,ChIJ53Yj3Krq1DsRA9gPHLjugOk,Jaitala,Nagpur,Nagpur,Maharashtra,India,440016,,Hingna Road,,,Rajendra Nagar,,,,,,,,,,,
1930,ChIJ-b0ENlfH1DsR2uH7g4pBuUg,,Nagpur,Nagpur,Maharashtra,India,441501,,,,,,,,,,,,,,,,
1931,ChIJcUcpOLjA1DsRH4F0kPyZJbw,Ganeshpeth Colony,Nagpur,Nagpur,Maharashtra,India,440018,,,,,,,,,,,,,,,,
1932,ChIJo4t54Rxw0zsRld4b6TQDdho,,Nandgaon,Wardha,Maharashtra,India,442301,,,,,,,,,,,,,,,,
1933,ChIJq6qqqqqj1DsRfC48e8eQHq0,,Nagpur,Nagpur,Maharashtra,India,441108,,,,,,,,,,,,,,,,
1934,ChIJMwRncRm51DsR2DmwUOeuDcA,,Nagpur,Nagpur,Maharashtra,India,440037,,,,,,,,,,,,,,,,
1935,ChIJVVVVkk05KzoRTiW3SdfETag,,Warthi,Bhandara,Maharashtra,India,441909,,,,,,,,,,,,,,,,
1936,ChIJAQAAAJXA1DsRsXTf66RkAQM,Sawner,Nagpur,Nagpur,Maharashtra,India,441302,,,,,,,,,,,,,,,,
1937,ChIJl0ZSiLvG1DsRR4Atcl0VD_A,Uppalwadi,New Khasala,Nagpur,Maharashtra,India,440026,Uppalwadi Industrial Area,Kamptee Road,,,"Near Uppalwadi Industrial Estate, Near Kamptee Road",,,Mhasala,,,,,,,,
1938,ChIJCSZhSi7U0jsRS99IJf-XWX4,Bazar Ward,Chandrapur,Chandrapur,Maharashtra,India,422213,,,,,Nawargoan,,,,,,,,,,,
1939,ChIJKXzLZjK81DsR58Nt-A91sWw,,Nagpur,Nagpur,Maharashtra,India,441108,,,,,,,,,,,,,,,,
1940,ChIJU1VVlc1m0zsR5-ThIMaEt4Y,,Wardha,Wardha,Maharashtra,India,442305,,,,,,,,,,,,,,,,
1941,ChIJVdNo7xV_1DsRrUNxhylk4p4,Ramnagar,Wardha,Wardha,Maharashtra,India,442001,,,,,Tukaram Ward,,,,,,,,,,,
1942,ChIJ0zrfK1ZxKzoRzGDl4BVJbCw,,Sakoli,Bhandara,Maharashtra,India,441802,,,,,,,,,,,,,,,,
1943,ChIJo8CdU23W0jsRKaudQsZTc-U,Wadgaon,Chandrapur,Chandrapur,Maharashtra,India,442401,,,,,,,,,,,,,,,,
1944,ChIJuYI0-aYS0zsRRuAAeA1TCRY,,,Bhandara,Maharashtra,India,441908,,,,,,,,,,,,,,,,
1945,ChIJYYnxsCjN0jsRCwQ9UTotBB0,,Chandrapur,Chandrapur,Maharashtra,India,442905,,,,,,,,,,,,,,,,
1946,ChIJowDpZY6r1DsR5KJgrqV8zQg,Teachers Colony,Umred,Nagpur,Maharashtra,India,441203,,,,,,,,,,,,,,,,
1947,ChIJc1UD0OXA1DsRTQz1XNU7EhI,Samarth Nagar East,Nagpur,Nagpur,Maharashtra,India,440015,,,,,Prashant Nagar,,,,,,,,,,,
1948,ChIJo82f7Bis1DsR2nfjbZ6FGoE,,Umrer,Nagpur,Maharashtra,India,441204,,,,,,,,,,,,,,,,
1949,ChIJc_C3a5051DsRa9nvNyv05Pc,,Talegaon,Wardha,Maharashtra,India,442204,,,,,,,,,,,,,,,,
1950,ChIJ____KzTH1DsRRJGC7fiG9zI,Koradi Colony,Nagpur,Nagpur,Maharashtra,India,440001,,,,,,,,,,,,,,,,
1951,ChIJI1HL6sbF0jsRfYgsH-PrG5A,,Gadchandur,Chandrapur,Maharashtra,India,442908,,,,,,,,,,,,,,,,
1952,ChIJB75cnnHU0jsR8hgcfxdbxbg,Babupeth,Chandrapur,Chandrapur,Maharashtra,India,442403,,Ballarshah Road,,,,,,,,,,,,,,
1953,ChIJx-vsl4_q1DsRqL2n2pZ2bgQ,Vayusena Nagar,Nagpur,Nagpur,Maharashtra,India,440023,,,,,,,,,,,,,,,,
1954,ChIJpzFLRTTS1DsRgE1B9HZjpVw,,Ramtek,Nagpur,Maharashtra,India,441106,,,,,,,,,,,,,,,,
1955,ChIJG8pphIG_1DsRfx8Qk3lho4I,Pratap Nagar,Nagpur,Nagpur,Maharashtra,India,440020,Tatya Tope Nagar,,,,Anand Nagar,B-50,,,,,,,,,,
1956,ChIJpWBwGvPDLDoRI4Tr7WWUWJ0,,Chandrapur,Chandrapur,Maharashtra,India,441222,,,,,,,,,,,,,,,,
1957,ChIJVVVVVVWWKzoRef9D-MZTwHs,,GONDIA,Gondia,Maharashtra,India,441807,,,,,,,,,,,,,,,,
1958,ChIJBTf7tDrU0jsRcjaXbCM6wyI,Bazar Ward,Chandrapur,Chandrapur,Maharashtra,India,442402,,,,,,,,,,,,,,,,
