"b.sc. medical technology [radiotherapy]","b.sc. medical technology [radiotherapy]","b.sc. medical technology  radiotherapy","b.sc. medical technology -radiotherapy"
"anatomy","anatomy","anatomy","anatomy"
"gynae. & obst.","gynae. & obst.","gynae. & obst.","gynae. & obst."
"orhtopaedics","orhtopaedics","orhtopaedics","orhtopaedics"
"obst. & gynae.","obst. & gynae.","obst. & gynae.","obst. & gynae."
"master of computer application","master of computer application","master of computer application","master of computer application"
"software engineering","software engineering","software engineering","software engineering"
"master of business administration","master of business administration","master of business administration","master of business administration"
"irrigation, water management  and resources  engineering- part  time","irrigation, water management  and resources  engineering- part  time","irrigation, water management  and resources  engineering- part  time","irrigation, water management  and resources  engineering- part  time"
"information technology","information technology","information technology","information technology"
"computer science  & engineering -part time","computer science  & engineering -part time","computer science  & engineering -part time","computer science  & engineering -part time"
"information technology - part time","information technology - part time","information technology - part time","information technology - part time"
"computer science & engineering - part time","computer science & engineering - part time","computer science & engineering - part time","computer science & engineering - part time"
"computer science & engineering","computer science & engineering","computer science & engineering","computer science & engineering"
"environmental engineering - part time","environmental engineering - part time","environmental engineering - part time","environmental engineering - part time"
"structural engineering - part time","structural engineering - part time","structural engineering - part time","structural engineering - part time"
"civil engineering","civil engineering","civil engineering","civil engineering"
"construction engineering &  management- part time","construction engineering &  management- part time","construction engineering &  management- part time","construction engineering &  management- part time"
"bio medical engineering","bio medical engineering","bio medical engineering","bio medical engineering"
"structural engineering","structural engineering","structural engineering","structural engineering"
"civil engineering - part time","civil engineering - part time","civil engineering - part time","civil engineering - part time"
"mechanical engineering - part time","mechanical engineering - part time","mechanical engineering - part time","mechanical engineering - part time"
"aeronautical engineering","aeronautical engineering","aeronautical engineering","aeronautical engineering"
"environmental engineering","environmental engineering","environmental engineering","environmental engineering"
"automobile engineering","automobile engineering","automobile engineering","automobile engineering"
"electronics & instrumentation - part time","electronics & instrumentation - part time","electronics & instrumentation - part time","electronics & instrumentation - part time"
"irrigation water management & resource engineering","irrigation water management & resource engineering","irrigation water management & resource engineering","irrigation water management & resource engineering"
"thermal engineering","thermal engineering","thermal engineering","thermal engineering"
"computer aided design - part time","computer aided design - part time","computer aided design - part time","computer aided design - part time"
"construction engineering","construction engineering","construction engineering","construction engineering"
"manufacturing  engineering - part time","manufacturing  engineering - part time","manufacturing  engineering - part time","manufacturing  engineering - part time"
"bio technology engineering","bio technology engineering","bio technology engineering","bio technology engineering"
"bio technology","bio technology","bio technology","bio technology"
"bio medical engineering - part time","bio medical engineering - part time","bio medical engineering - part time","bio medical engineering - part time"
"mechanical engineering","mechanical engineering","mechanical engineering","mechanical engineering"
"electrical & electronics engineering","electrical & electronics engineering","electrical & electronics engineering","electrical & electronics engineering"
"electrical & electronics engineering - part time","electrical & electronics engineering - part time","electrical & electronics engineering - part time","electrical & electronics engineering - part time"
"power electronics & drives - part time","power electronics & drives - part time","power electronics & drives - part time","power electronics & drives - part time"
"power electronics & drives","power electronics & drives","power electronics & drives","power electronics & drives"
"applied electronics -part time","applied electronics -part time","applied electronics -part time","applied electronics -part time"
"vlsi  design - part time","vlsi  design - part time","vlsi  design - part time","vlsi  design - part time"
"vlsi design","vlsi design","vlsi design","vlsi design"
"computer aided design","computer aided design","computer aided design","computer aided design"
"manufacturing engineering","manufacturing engineering","manufacturing engineering","manufacturing engineering"
"bio technology - part time","bio technology - part time","bio technology - part time","bio technology - part time"
"power system  engineering","power system  engineering","power system  engineering","power system  engineering"
"embedded system technology - part  time","embedded system technology - part  time","embedded system technology - part  time","embedded system technology - part  time"
"electronics & communication engineering -part time","electronics & communication engineering -part time","electronics & communication engineering -part time","electronics & communication engineering -part time"
"mechatronics & engineering","mechatronics & engineering","mechatronics & engineering","mechatronics & engineering"
"electronics & communication engineering","electronics & communication engineering","electronics & communication engineering","electronics & communication engineering"
"power system engineering - part time","power system engineering - part time","power system engineering - part time","power system engineering - part time"
"embedded system & technology","embedded system & technology","embedded system & technology","embedded system & technology"
"applied electronics","applied electronics","applied electronics","applied electronics"
"thermal engineering - part time","thermal engineering - part time","thermal engineering - part time","thermal engineering - part time"
