,1,6,cid,name
0,C100,Manish Institute of Computer Studies,C100,Manish Institute of Computer Studies
1,C1000,Shree M. & N. Virani Science College,C1000,"VIRANI SCI. & SHRI YOGIJI MAHARAJ ARTS, COMMERCE & SCIENCE - RAJKOT"
2,C10000,"BLDE Association's Commerce, BHS Arts & TGP Science College",C10000,"SIDDARTHA COLLEGE OF EDUCATION,  JAMKHANDI"
3,C10006,"S.V.M Arts, Science & Commerce College Ilkal",C10006,"SVM ARTS/SCI/COMM COLLEGE,   ILKAL"
4,C10007,B.V.V.S. Basaveshwar Science College,C10007,BASAVESHWARA SCIENCE COLLEGE  BAGALKOT
5,C10009,SSVVS Kumari Monica Basavaraj Kanni B.Ed. College,C10009,"SSVVS KUMARI MONICA BASAVARAJ KANNI B.ED COLLEGE,  BIJAPUR"
6,C1001,A.V.Hirani College of Journalism & Performing Arts-Rajkot,C1001,A.V.HIRANI  COLLEGE OF JOURNALISM & PERFORMING ARTS-RAJKOT
7,C10010,Sjbvs Shri S S Meti B.Ed College,C10010,"SJBVS SHRI S S METI B.ED COLLEGE ,  BIJAPUR"
8,C10014,Grameena V V SS Education College,C10014,"GRAMEENA V V SS EDU COLLEGE, NODAGUNDI"
9,C10017,KLE G I Bagewadi College,C10017,"KLE'S G I BAGEWADI BBA COLLEGE,  NIPPANI"
10,C10018,SECAB Inst Of BBA/BCA College,C10018,"SECAB INST., OF BBA/BCA,  COLLEGE, BIJAPUR"
11,C1002,Shri J.H.Bhalodiya Women’s College,C1002,J.H.BHALODIYA WOMEN'S  COLLEGE-RAJKOT (COMMERCE & B.B.A.)
12,C10021,"S.V.M Arts, Science & Commerce College Ilkal",C10021,"SVM COLLEGE OF BBA,    ILKAL"
13,C10023,B.L.D.E.A's J.S.S. College of. Education,C10023,"BLDEAS J S S COLLEGE OF EDU., BIJAPUR"
14,C10024,Smt.Kumudben Darbar BBA & BCA College,C10024,"KUMUD BEN DURBAR COLLEGE OF BCA,  BIJAPUR"
15,C10025,T.S.P.S.M.S.C.M. Managuli Arts College,C10025,"T.S.P.S.M.S.C.M. MANAGULI ARTS COLLEGE,   SINDAGI"
16,C10026,"S P M S Education College, Harugeri",C10026,"S P M S EDUCATION COLLEGE, HARUGERI"
17,C10028,"BLDE Association's Commerce, BHS Arts & TGP Science College",C10028,"BLDEAS COMM BHS ARTS & TGP SCI COLLEGE,  JAMAKHANDI"
18,C10029,SMRK VIDYAVARDHK SANGHAS COLLEGE OF EDUCATION,C10029,"SMRK VIDYAVARDHK SANGHAS COLLEGE OF EDU., BIJAPUR"
19,C1003,Shree AVJ Oza Institute Of B.Ed College,C1003,"SHREE A.V.J. OZA INSTITUTE OF B.ED. COLLEGE, LAKHTAR"
20,C10030,Basaveshwar Commerce College,C10030,"B.V.V.Sangha's BASAVESHWAR COMMERCE,COLLEGE,  BAGALKOT"
21,C10031,Angadi Institute Of Technology And Management,C10031,"ANGADI INST., OF MNG., STUDIES (BCA),  BELGAUM"
22,C10031,A. R. Angadi,C10031,"ANGADI INST., OF MNG., STUDIES (BCA),  BELGAUM"
23,C10034,PeopleTree Education Society,C10034,"P T E SOCIETY'S BCA/BBA  COLLEGE,  BELGAUM"
24,C10035,"K A Lokapur Arts, Science and Commerce College & PG Studies",C10035,"JES'S S K A LOKAPUR ARTS/ SCIE / COMM COLLEGE,  ATHANI"
25,C1004,D K V Arts & Science College,C1004,"D.K.V. ARTS & SCIENCE COLLEGE, JAMAGAR"
26,C10040,"Maratha Mandal's Arts, Commerce, Science & Home Science College, Belgaum",C10040,"M M ARTS, COMMERCE, SCIENCE & HOME SCIENCE COLLEGE, BELAGAVI (PG)"
27,C10043,Anjuman Arts Science & Commerce College,C10043,"ANJUMAN ARTS/SCI/COMM COLLEGE,  BIJAPUR"
28,C10044,Government First Grade College,C10044,"GOVT FIRST GRADE COLLEGE, ,  INDI"
29,C10044,Government First Grade College,C10044,"GOVT FIRST GRADE COLLEGE, ,  INDI"
30,C10046,Jain College Belgaum,C10046,"S B M J T JAIN COLLEGE OF BUSINESS ADMINISTRATION,  BELGAUM"
31,C10048,"Maratha Mandal's Arts and Commerce College, Khanapur",C10048,"KLE SOCIETYS BBA COLLEGE,  KHANAPUR"
32,C10048,K.L.E. Society’s College of Business Administration,C10048,"KLE SOCIETYS BBA COLLEGE,  KHANAPUR"
33,C10052,C.L.E PU College Chikodi,C10052,"C L E SOCIETYS COLLEGE OF EDUCATION, CHIKKODI"
34,C10054,Bharatesh College of Computer Applications,C10054,"JSS'S BHARATESH COLLEGE OF BUSINESS ADMINISTRATION,  BELGAUM"
35,C10057,Government First Grade College,C10057,"GOVT. FIRST GRADE COLLEGE, AINAPUR"
36,C10058,"MGVC ARTS COMMERCE & SCIENCE COLLEGE, MUDDEBIHAL",C10058,MGVC ARTS/SCI/COMM COLLEGE MUDDEBIHAL
37,C10071,"K.L.E. Society's Basavaprabhu Kore Arts, Science and Commerce College, Chikodi",C10071,"KLE'S BAAVPRBHU KORE BBA COLLEGE,  CHIKKODI"
38,C10072,"S.D.V.S Sangh’s S. S. Arts College and T. P. Science Institute,Sankeshwar",C10072,"SDVS'S S S ARTS COLLEGE & TP SCIENCE INSTITUTE ,  SANKESHWAR"
39,C10073,Karnataka Law Society’s Institute of Management Education & Research,C10073,"KLS INST. OF MANAGEMENT EDUCATION & RESEARCH, BELAGAVI (PG)"
40,C10075,Gokak Education Society's College of Education,C10075,"GOKAK EDUCATION SOCIETYS COLLEGE OF EDUCATION, GOKAK"
41,C10079,Sri Laxmanrao Jarkiholi College Of BBA,C10079,"LET'S SRI LAXMANRAO JARKIHOLI COLLEGE OF BBA,  GOKAK"
42,C10132,S R KANTHI COLLEGE OF EDUCATION (B.Ed.) ILKAL,C10132,"S R KANTHI COLLEGE OF EDUCATION,  ILKAL"
43,C10138,"Maratha Mandal's Arts and Commerce College, Khanapur",C10138,"MMS ARTS & COMMERCE COLLEGE,  KHANAPUR"
44,C10141,G.I.B Arts Science And Commerce College,C10141,"G I B ARTS/SCIE/COMM COLLEGE,  NIPPANI"
45,C10144,Shri siddhivinayak rural college of Education Harugeri - 591220,C10144,"SHRI SIDDHIVINAYAKA RURAL COLLEGE OF EDUCATION, HARUGERI"
46,C10147,Krantiveer Sangolli Rayanna College Of Education,C10147,"KSR COLLEGE OF EDUCATION, BELGAUM"
47,C1015,J.J. Kundaliya Commerce College,C1015,J.J.KUNDALIYA ARTS & COMMERCE COLLEGE-RAJKOT
48,C10150,Govt First Grade College,C10150,GOVT FIRST GRADE COLLEGE  RABKAVI BANAHATTI
49,C10153,BVVS PG Dept Of Education Bagalkot,C10153,"BVVS PG DEPT. OF EDUCATION, ,  BAGALKOTE (PG)"
50,C10154,PES college,C10154,"PES BBA COLLEGE,  UGAR-KHURD"
51,C10155,B K College Chikodi,C10155,"BK COLLEGE OF ARTS, SCIENCE & COMMERCE COLLEGE, CHIKODI (PG)"
52,C10158,Government First Grade College,C10158,"GOVT FIRST GRADE COLLEGE, SADALGA"
53,C10160,"KRCES's College of Business Administration, Bailhongal",C10160,"KRCES'S GGD ARTS, BMP COMMERCE SVS SCIENCE COLLEGE,  BAILHONGAL"
54,C10165,"Krcess College Of Education, Bailhongal",C10165,"KRCESS COLLEGE OF EDUCATION, BAILHONGAL"
55,C10166,Navanagar Government Degree College,C10166,"GOVT FIRST GRADE COLLEGE,  BAGALKOT (6012)"
56,C10167,Rani Parvati Devi College of Arts,C10167,"SKES'S RPD COLLEGE, ,  BELGAUM"
57,C10170,"K.L.E. Society's Basavaprabhu Kore Arts, Science and Commerce College, Chikodi",C10170,"CTES'S ARTS & COMMERCE COLLEGE, CHIKKODI"
58,C10173,Gomatesh Vidyapeeth,C10173,GOMATESH VIDYAPEETH  ARTS COLLEGE BELAGAVI
59,C10176,Spvv Sangha's G P Porwal BCA College,C10176,"SPVV SANGHA'S G P PORWAL BCA COLLEGE,  SINDAGI"
60,C1018,Smt. R.D.Gardi College of Education,C1018,"SMT. R.D. GARDI COLLEGE OF EDUCATION, RAJKOT"
61,C10180,"Government First Grade College,Athani",C10180,"GOVT FIRST GRADE COLLEGE, ATHANI"
62,C10181,"BLDE Association's Commerce, BHS Arts & TGP Science College",C10181,"BLDEA'S COMMERCE, B H ARTS & TGP SCIENCE COLLEGE, JAMKHANDI (PG)"
63,C10187,S V E S PU COLLEGE HARUGERI,C10187,"SVES'S ARTS & COMM COLLEGE,  HARUGERI"
64,C10188,Bharatesh College Of Education,C10188,"BHRATESH COLLEGE OF EDUCATION, BELLAD BAGEWADI"
65,C1019,Bahauddin Science College,C1019,BAHUDDIN GOVT. SCIENCE COLLEGE JUNAGADH
66,C10190,Jain College Belgaum,C10190,"S B M J T JAIN BCA & COMMERCE COLLEGE,  BELGAUM"
67,C10191,Asnss Bhart Ratna Dr. Radhakrishnan B.Ed. College,C10191,"ASNSS BHART RATNA DR.RADHAKRISHNAN B.ED COLLEGE, SANKESHWAR"
68,C10193,Bims College,C10193,"PES &T BIMS DEGREE COLLEGE, BELGAUM"
69,C10196,"Shri Shivayogi Murughendra Swamiji Arts, Science and Commerce College, Athani",C10196,"SMS COLLEGE OF ARTS /SCIENCE & COMMERCE COLLEGE,  ATHANI"
70,C102,Marwadi Education Foundation Group of Institutions Hostel,C102,"Marwadi Education Foundations Group of Institutions (SFI),RAJKOT 734"
71,C1020,Shree H.M. Patel Mahila Law College,C1020,SHRI H.M.PATEL MAHILA LAW COLLEGE-JUNAGADH
72,C10200,SES Welfare's Swami Vivekanada BCA College,C10200,"SES WELFARE'S SWAMI VIVEKANADA BCA COLLEGE CHIKKODI ROAD, EXAMBA"
73,C10201,Govt P.U College Kittur,C10201,"GOVT. FIRST COLLEGE, KITTUR"
74,C10203,K.L.E. Society’s College of Education,C10203,"KLE SOCIETYS COLLEGE OF EDUCATION, BELGAUM"
75,C10205,B V V S The Presidency B.Ed College,C10205,"BVVS THE PRESIDENCY B.ED COLLEGE,  BIJAPUR"
76,C10206,Bldea's Bba College,C10206,"BLDEA'S BBA COLLEGE,  JAMAKHANDI"
77,C10206,"BLDE Association's Commerce, BHS Arts & TGP Science College",C10206,"BLDEA'S BBA COLLEGE,  JAMAKHANDI"
78,C1021,L D Dhanani Art's College,C1021,SHRI L.D. DHANANI ARTS COLLEGE-AMRELI
79,C10213,Himalayan Institute of Medical Sciences,C10213,Himalayan Institute of Medical Sciences
80,C10214,Vinayaka Mission's Kirupananda Variyar Engineering College,C10214,Vinayaka Mission's Kirupananda Variyar Engineering College
81,C10215,Vinayaka Mission's Medical College & Hospital,C10215,Vinayaka Mission's Medical College and Hospital
82,C10216,Vinayaka Missions College of Pharmacy,C10216,Vinayaka Mission's College of Pharmacy
83,C10217,Aarupadai Veedu Medical College & Hospital,C10217,Aarupadai Veedu Medical College and Hospital
84,C10218,Vinayaka Missions University,C10218,Vinayaka Mission's Annapoorana College of Nursing
85,C10219,Vinayaka Mission’s Kirupananda Variyar Medical College and Hospitals,C10219,Vinayaka Mission's Kirupananda Variyar Medical College and Hospital
86,C1022,Harivandana College,C1022,HARI VANDANA COLLEGE-RAJKOT
87,C10220,Vinayaka Missions University,C10220,Vinayaka Mission's College of Physiotherapy
88,C10221,Vinayaka Missions Sankarachariyar Dental College,C10221,Vinayaka Mission's Sankarachariyar Dental College
89,C10222,Vinayaka Mission's Kirupananda Variyar Engineering College,C10222,Vinayaka Mission's Kirupananda Variyar Arts and Science College
90,C10224,AARUPADAI VEEDU INSTITUTE OF TECHNOLOGY,C10224,Aarupadai Veedu Institute of Technology
91,C10225,Vinayaka Mission's Homeopathic Medical College and Hospitals,C10225,Vinayaka Mission's Homeopathic Medical College
92,C10225,Vinayaka Missions University,C10225,Vinayaka Mission's Homeopathic Medical College
93,C10226,Vinayaka Missions University,C10226,Vinayaka Mission's College of Nursing
94,C1023,CCSIT College,C1023,"SARASWATI INFOTECH EDUCATION COLLEGE OF COMPUTER, SCIENCE & I.T., JUNAGADH"
95,C10236,College of Architecture,C10236,"100094-COLLEGE OF ARCHITECTURE, JALGAON"
96,C10237,Sarvoday College of Science & Technology,C10237,SARVODAY COLLEGE OF SCIENCE & TECHNOLOGY - RAJKOT
97,C10237,Sarvodaya College,C10237,SARVODAY COLLEGE OF SCIENCE & TECHNOLOGY - RAJKOT
98,C10239,College of Fisheries,C10239,"College of Fisheries, Dholi"
99,C1024,Sardar Patel Kelavni Mandal,C1024,SARDAR PATEL KELVANI MANDAL MAHILA B.ED.COLLEGE JETPUR
100,C10240,Rajendra Agricultural University: Faculty of Basic Sciences and Humanities,C10240,"Faculty of Basic Sciences and Humanities,Pusa"
101,C10243,College of Agricultural Engineering,C10243,"College of Agricultural Engineering,Pusa"
102,C10244,College of Home Science,C10244,"College of Home Science,Pusa"
103,C10245,Chandigarh Business School of Administration | Chandigarh | Punjab | North India | Mohali | Landran,C10245,"Chandigarh Business school of Administration, Landran"
104,C10246,Shree Ganesh Group of Institutions,C10246,"Shree Ganesh Group of Institutions, Vill- Rakhra"
105,C10247,DIPS INSTITUTE OF MANAGEMENT & TECHNOLOGY,C10247,"DIPS Institute of Management & Technology, Jalandhar"
106,C10249,Chandigarh College of Hospitality | Chandigarh | Punjab | Mohali | North India | Landran,C10249,"Chandigarh College of Hospitality, Landran"
107,C11461,Shri Vishnu SD Post Graduate College,C11461,"SVSD Govt. College, Bhatoli, Distt Una"
108,C11462,Shri Sai College of Education,C11462,"Shri Satya Sai College of Education, Nadaun, Vill Kohla, Distt Hamirpur"
109,C11465,Shanti College of Education,C11465,"Shanti College of Education, Nakroh, Tehsil Amb, Distt. Una"
110,C11466,DDM Sai College,C11466,"Dawarka Dass Memorial Sai College of Education, Vill. Kallar, P.O. Jalari, Teh. Nadaun, Distt Hamirpur"
111,C11468,"Government College, Salooni",C11468,"Govt. College, Salooni, Distt Chamba"
112,C11471,"H.P. College of Education , B.Ed College",C11471,"H.P. College of Education, Mauja Majeth, P.O. Totu, Shimla-11"
113,C11473,Bhojia Dental College,C11473,"Bhojia Dental College, Budh (Baddi), Chandigarh-Nalagarh Road, Distt. Solan"
114,C11475,Govt. College Arki,C11475,"Govt. College, Arki Distt Solan"
115,C11476,"Jagriti Teacher's Training College, Deodhar",C11476,"Jagriti Teachers Training College Deodhar, PO Talyahar, Distt Mandi"
116,C11477,Jawala Ji Degree College,C11477,"Jawalaji Degree College, Jawalamukhi, Teh Dehra, Distt kangra"
117,C11478,Rameshwari Teachers Training Institute,C11478,"Rameshwari Teachers Training  Institute Upper HPSEB Colony Sarabai, Distt Kullu"
118,C11480,Government College Chamba,C11480,"Govt. College, Chamba"
119,C11480,Government College Chamba,C11480,"Govt. College, Chamba"
120,C11481,L.R. Institutes of Pharmacy,C11481,L.R. Institutes of Management Vill. Jabli Kyar. Distt Solan
121,C11482,"Govt. College Haripur, Manali , Himachal Pradesh",C11482,"Govt. College, Anni at Haripur, Distt Kullu"
122,C11482,Jawahar Lal Nehru Government Degree College,C11482,"Govt. College, Anni at Haripur, Distt Kullu"
123,C11485,HPU Centre for Evening Studies,C11485,"HPU Centre for Evening Studies, The Mall, Shimla"
124,C11486,"Shiva College of Education, Ghumarwin",C11486,"Shiva College of Education, Abdhan (Panol), Distt Bilaspur"
125,C11487,Sidharth Government College,C11487,"Sidharth Govt. Degree College, Nadaun. Distt Hamirpur"
126,C11488,Pandit Sant Ram Government College,C11488,"Pt. Sant Ram Govt. College, Baijnath, Distt Kangra"
127,C11490,"Govt. College Haripur, Manali , Himachal Pradesh",C11490,"Govt. College, Haripur, Distt Kullu"
128,C11490,Jawahar Lal Nehru Government Degree College,C11490,"Govt. College, Haripur, Distt Kullu"
129,C11491,D.A.V. Centenary College,C11491,"DAV Centenary College Kotkhai, Distt Shimla"
130,C11492,"Government College,Nalagarh",C11492,"Govt. College, Nalagarh, Distt. Solan"
131,C11493,Him Institute of Education,C11493,"Him Institute of Education, Ponda, Tehsil Nichar, Distt Kinnaur"
132,C11494,Trisha College Of Education,C11494,"Trisha College of Education, Thain, PO Jol Sappar, (RANGAS), Distt Hamirpur"
133,C11496,Himalayan Group of Professional Institutions,C11496,"Himalayan Institutes of Pharmacy, Sadoura Road, Kala Amb. Distt Sirmour"
134,C11497,Shiva Institute of Engineering and Technology,C11497,"Shiva Institute of Engineering & Technology, Chandpur, Distt Bilaspur,"
135,C1150,K.S.College,C1150,"K.S. College of Science, Management & Technology, Vallabh Vidyanagar"
136,C11501,Netaji Subhash College Of Nursing,C11501,"Netaji Subhash Nursing College, Behind Cinema Hall Building, Palampur, Distt. Kangra"
137,C11504,Shiv Shakti College of Advanced Study in Education,C11504,"Shiv Shakti College of Advanced Society in Education, Kheri Road, Rajgarh, Distt Sirmour"
138,C11505,Govt. College Suni,C11505,"Govt. College, Sunni, Distt Shimla"
139,C11505,GOVT. DEGREE COLLEGE,C11505,"Govt. College, Sunni, Distt Shimla"
140,C11506,DDM Sai College,C11506,"DDM Sai Law College, Nadaun Distt Hamirpur"
141,C11507,Dronacharya PG College of Education,C11507,"Droncharya College of Education, P.O. Rait, Tehsil Shahpur, Distt Kangra"
142,C11508,Kanta College Of Education,C11508,"Kanta College of Education, Chalwara, Teh. Jawali, Distt Kangra"
143,C11509,Abhilashi College of Education,C11509,"Abhilashi Institute of Management Studies, Tanda,PO Balt, Distt Mandi"
144,C11509,T.R. Abhilashi Memorial Institute of Engineering & Technology,C11509,"Abhilashi Institute of Management Studies, Tanda,PO Balt, Distt Mandi"
145,C1151,"N.S. Patel Arts College, Anand",C1151,"NS Patel Arts College, Anand"
146,C11511,Government College. Daulatpur Chowk,C11511,"Govt. College, Daulatpur Chowk, Distt Una"
147,C11514,IITT Engg College,C11514,"I.I.T.T College of Engineering, Kala Amb, Distt Sirmour"
148,C11514,IITT College of Engineering,C11514,"I.I.T.T College of Engineering, Kala Amb, Distt Sirmour"
149,C11516,Government Degree College,C11516,"Govt. College Chowari, Distt Chamba"
150,C11517,Abhilashi Institutes of Bio-Technology,C11517,"Abhilashi Institutes of Bio-Technology, Tanda, Distt Mandi"
151,C11520,Green Hills Engineering College,C11520,"Green Hills Engineering College, Gandhi Gram Road, Kumarhatti, Distt Solan"
152,C11523,Jupiter College of Education,C11523,"Jupitor College of Education, Mairi, Distt Una"
153,C11528,Government College Sanjauli (Centre of Excellence),C11528,"Govt. College Sanjauli, Shimla (Centre of Excellence)"
154,C11529,Lal Bahadur Shastri Govt. Degree College,C11529,"Govt. Lal Bahadur College, Sawra Saraswati Nagar, Distt Shimla"
155,C1153,VP SCIENCE COLLEGE,C1153,"VP & RPTP Science College, Vallabh Vidyanagar"
156,C11531,L.R. Institutes of Pharmacy,C11531,"L.R. Institutes of Pharmacy, Jabli-Kyar, Oachghat Distt Solan"
157,C11532,HP Institute of Management Studies,C11532,"H.P. Institutes of management Studies, Totu, Distt Shimla"
158,C11534,Indian Institute of Education,C11534,"Indain Institute of Education, Hari Devi, Ghanahatti. Distt Shimla"
159,C11535,L. R. Institute Of Management,C11535,"LLR Institute of Management, Jabli-Kyar, PO Oachghat, Distt Solan"
160,C11537,Government Post Graduate College,C11537,"Govt. College,Una, Distt Una,"
161,C11538,Government Post Graduate College,C11538,"Govt. College Dharmashala, Distt Kangra"
162,C1154,B N Patel Institute Of Paramedical,C1154,"BN Patel Institute of Paramedical & Science, Anand"
163,C11541,Nalanda College Jhaniari Hamirpur Himachal Pradesh,C11541,"Nalanda College of Education, VPO Jhaniari, Distt Hamirpur"
164,C11543,Shivalik Institute Of Nursing,C11543,"Shivalik Institutes of Nursing, Chibber Complex, Kamlanagar, Snajauli, Distt. Shimla"
165,C11545,VAIDH SHANKAR LAL MEMORIAL COLLEGE OF EDUCATION,C11545,"Vaidh Shankar Lal Memorial College of Education, VPO Chandi, Teh. Kasauli, Distt Solan"
166,C11546,Adarsh College of Education,C11546,"Adarsh College of Education, Dehar, Tehsil Sundernagar, Distt Mandi"
167,C11550,Government Sanskrit College,C11550,"Govt. Sanskrit College, Solan"
168,C11552,PRESENTATION COLLEGE OF APPLIED SCIENCES,C11552,"Presentation College of Applied Sciences, Manancherikunnu ,Puthenvelikara P.O.,Ernakulam-683 594"
169,C11553,Mar Severios College Of Teacher Education,C11553,"Mar Severios College of Teacher Education, Chengaroor P.O. Mallapally 689 594"
170,C11554,Rajagiri School of Engineering & Technology,C11554,"Rajagiri School of Engineering and Technology, Rajagiri Valley P.O, Kakkanad,  Kochi- 682 039"
171,C11555,BCF College of Physiotherapy,C11555,"BCF College of Phsiotheraphy, Chemmanakary, Akkarapadam P.O, Vaikom,  Kottayam -686143"
172,C11556,"St. Xavier's College, Vaikom",C11556,"St. Xavier's College, Kothavara P.O., Vaikom-686 607"
173,C11557,Kuriakose Gregorios College,C11557,"Kuriakose Gregorios College, Pampady, Kottayam 686 502"
174,C11558,Jai Bharath Training College,C11558,"Jai Bharath Training College, Pipe Line Junction, Thrikkakara, Ernakulam 682 021"
175,C1156,Natubhai V. Patel College of Pure & Applied Sciences,C1156,"NV Patel College of Pure and Applied Sciences, Vallabh Vidyanagar"
176,C11560,Tiruvalla Medical Mission Hospital,C11560,"Thiruvalla Medical Mission College of Nursing, Anjilithanam. P.O, Kaviyoor, Thiruvalla, - 689 582"
177,C11561,St. Dominic’s College,C11561,"St. Dominic's College, Parathod P.O., Kanjirappally-686 512"
178,C11562,MAMS - Marian Academy of Management Studies - B Schools in Kerala,C11562,"Marian Academy of Management Studies, Puthuppady, Kothamangalam"
179,C11563,Christ Knowledge City,C11563,"Christ Knowledge City, Christ Nagar, Kuzhoor, Airapuram P.O, Emakulam- 683 541"
180,C11566,"N. S. S. Training College, Changanacherry",C11566,"NSS Training College, Perunnai P.O, Changanacherry-686 102"
181,C11567,Assumption College,C11567,"Assumption College, Changanacherry 686 101"
182,C11568,College Of Pharmaceutical Sciences,C11568,"College of Pharmaceuital Sciences, Govt.Medical College, Gandhinagar P.O,  Kottayam 686 008"
183,C11569,Rural Academy for Management Studies - RAMS,C11569,"Rural Academy for Management Studies, Kuzhupilly, Ayyampilly, Ernakulam-682501"
184,C1157,B.F.Shah Institute of Management & Information Technology,C1157,"BF Shah Institute of Commerce & Management, Anand"
185,C1157,BFSICOM,C1157,"BF Shah Institute of Commerce & Management, Anand"
186,C11571,KMEA Engineering College,C11571,"K.M.E.A Engineering College, Kuzhivelipady, Edathala, Aluva, Ernakulam 683 561"
187,C11572,Saintgits College of Engineering,C11572,"Saintgits College of Engineering, Kottukulam Hills, Pathamuttam P.O., Kottayam 686532"
188,C11573,Devaswom Board College Thalayolaparambu,C11573,"Devaswom Board College, Thalayolaparambu-686605"
189,C11574,St Mary’s Women’s College for Teacher Education,C11574,"St. Marys Womens College for Teacher Education, Paliakara, Thiruvalla- 689 101"
190,C11575,Government College Munnar,C11575,"Govt. College, Munnar- 685 612"
191,C11576,Viswabrahmana College,C11576,"Viswabrahmana College, Vechoochira, Pathanamthitta- 686 511"
192,C11577,"PG Radhakrishnan Memorial Sree Narayana College, Channanikadu",C11577,"PG.Radhakrishnan Memorial S.N.College, Channanikkad, Kottayam-686533"
193,C11578,Indira Gandhi Institute of Dental Sciences,C11578,"Indira Gandhi Institute of Dental Sciences, Nellikuzhi P.O., Kothamangalam, Ernakulam- 686 691"
194,C11579,Deva Matha College Kuravilangad,C11579,"Devamatha College, Kuravilangad-686633"
195,C1158,Anand Commerce College,C1158,"Anand Commerce College, Anand"
196,C11580,MES College for Advanced Studies,C11580,"M.E.S. College for Advanced Studies, Edathala North P.O., Aluva - 683 564"
197,C11581,Nangelil Ayurveda Hospital,C11581,"Nangelil Ayurveda Medical College, Nellikuzhy P.O., Kothamangalam- 686 691"
198,C11582,St Teresa's College,C11582,"St. Teresa's College, Ernakulam - 682 011"
199,C11584,Rajagiri College of Management and Applied Sciences,C11584,"Rajagiri College of Management & Applied Sdences, Kakkanad, Kochi - 682 039"
200,C11586,Sneha Sadan,C11586,"Sneha Sadan College of Special education, Angamaly, Ernakulam - 683 572"
201,C11587,St. Joseph's College,C11587,"St.Josephs College, Moolamattom, Arakulam P.O.- 685 591"
202,C11588,Bishop Speechly College For Advanced Studies,C11588,"Bishop Speechly College for Advanced Studies, Pallom, Kottayam 686 007"
203,C11589,"Devaswom Board Pampa College, Parumala",C11589,"D B Pampa College, Parumala, Pathanamthitta 689 626"
204,C1159,Smt. Kamlaben P. Patel College of Home - Science,C1159,"Smt. Kamlaben P. Patel College of Home Science, Anand"
205,C11590,University College of Teacher Education,C11590,"University College of Teacher Education, Government Girls High School Campus, Vaikom, Kottayam"
206,C11591,St.Thomas College,C11591,"St. Thomas College, Arunapuram P.O., Pala-686 574"
207,C11592,"St.mary's College,maalam",C11592,"St. Mary's College, Manarcaud, Malam P.O. Kottayam-686031"
208,C11594,Malankara Orthodox Syrian Church Medical College,C11594,"Malankara Orthodox Syrian Church Medical College, Kolenchery, Ernakulam- 682 311"
209,C11596,Mar Athanasius College Of Engineering,C11596,"Mar Athanasius College of Egineering, Kothamangalam, Ernakulam -686 666"
210,C11598,Nirmala Training College,C11598,"Nirmala Training College, Thalacode P.O., Mulanthuruthy, Ernakulam- 682 314."
211,C11599,SIMET COLLEGE OF NURSING PALLURUTHY,C11599,"SI-MET College of Nursing, Palluruthy, Ernakulam"
212,C116,N.R.Institute Of Business Management(NRIBM),C116,N.R. Institute of Business Management (GLS-MBA)(SFI)-Ahmedabad 735
213,C116,Navanitlal Ranchhodlal Institute Of Business Management,C116,N.R. Institute of Business Management (GLS-MBA)(SFI)-Ahmedabad 735
214,C11600,MES College,C11600,"M. E. S. College, Nedumkandam, Chembalam P.O., ldukki- 685 553"
215,C11602,Little Flower College Of Nursing,C11602,"Little Flower College of Nursing, Angamaly, Ernakulam- 683 572"
216,C11604,Sree Buddha College of Engineering,C11604,"Sree Buddha College of Engineering for Women, Ayathil, Elavumthitta P. 0., Pathanamthitta, 689 625"
217,C11605,Auxilium college of education,C11605,"Auxilium College of Education, Kidangoor,  P.O., Angamaly, Ernakulam"
218,C11606,University College of Engineering Thodupuzha,C11606,"University College of Engineering, Muttom, Thodupuzha, Idukki"
219,C11607,Al Azhar Training College Thodupuzha,C11607,"Al-Azhar Training College, Perumpillichira P.O., Thodupuzha - 685 605"
220,C11608,Medical Trust Institute Of Medical Science,C11608,"College of Nursing, Medical Trust Hospital, HOC Township Back Side Road, Irimpanam P.O., Ernakulam - 682 308"
221,C11609,Matha College of Technology,C11609,"Matha College of Technology, Manakkappadi, North Paravur- 683 511"
222,C1161,Institute of Language Studies and Applied Social Studies (ILSASS),C1161,"Institute of Language Studies and Applied Social Sciences, (ILSASS), Vallabh Vidyanagar"
223,C11610,Al Ameen College,C11610,"Al- Ameen College, Edathala North P.O. Alwaye - 683 564"
224,C11611,SAS SNDP Yogam College,C11611,"Sahodaran Ayyappan Smaraka SNDP Yogam College, Konni- 689 691"
225,C11612,Pushpagiri College of Dental Sciences,C11612,"Pushpagiri College of Dental Sciences, Medicity, Perumthuruthy, Thiruvalla -689107"
226,C11613,St. Marys Training college,C11613,"St. Mary's Training College, Karikode P.O., Peruva, Kottayam 686 610"
227,C11613,St. Mary's Training College,C11613,"St. Mary's Training College, Karikode P.O., Peruva, Kottayam 686 610"
228,C11614,HM Arts & Science College,C11614,"H.M. Arts and Science College, Randarkara, Muvattupuzha, Ernakulam"
229,C11615,Mar Thoma College,C11615,"Mar Thoma College, Kuttapuzha P.O. Tiruvalla, Pathanamthitta- 689103"
230,C11616,Bishop Kurialacherry College For Women,C11616,"Bishop Kurialacherry College For Women, Amalagiri P.O Kottayam 686 561"
231,C11618,St.Gregorios College Of Social Science,C11618,"St. Gregorios College of Social Science Parumala P.O., Thiruvalla, Pathanamthitta 689 626"
232,C1162,Anand Education College,C1162,"Anand Education College, Anand"
