,1,6,cid,name
3528,C31759,"Government College, New Ramnagar",C31759,"GOVT.COLLEGE, NEWRAMNAGAR,SATNA"
3529,C31763,Pt. S. N. S. Govt. P. G. College,C31763,"GOVT.P.G COLLEGE, BYOUHARI,SHAHDOL"
3530,C31764,"yamuna prasad shastri collage sirmour , rewa",C31764,"YAMUNA PRASAD SHASTRI COLLEGE SIRMAUR,REWA"
3531,C31766,Vindyanchal College Rewa Mp.,C31766,VINDHYACHAL COLLEGE REWA
3532,C31770,Commerce College Satna,C31770,COMMERCE COLLEGE SATNA
3533,C31773,Nehru Degree College,C31773,"GOVT. NEHRU COLLEGE BUDHAR,SHAHDOL"
3534,C31776,Kamla Smriti College,C31776,"KAMLA SMRITI COLLEGE,AMAHA,SIDHI"
3535,C31779,Janta Vidhi Mahavidyalaya,C31779,"JANTA LAW COLLEGE,GOHPARU,SHAHDOL"
3536,C31780,Tata College,C31780,"TATA COLLEGE,JAMOUDI KHURDA,,SIDHI"
3537,C31783,Govt College churhat dist sidhi,C31783,"GOVT.COLLEGE CHURHAT,SIDHI"
3538,C31785,Pandit Shambhunath College,C31785,"GOVT. PANDIT SHAMBHUNATH SHUKL COLLEGE, SHAHDOL"
3539,C31787,Kamla Nehru Girls College,C31787,KAMLA NEHRU MAHILA  COLLEGE SATNA
3540,C31788,GDC College,C31788,"GOVT.G.D.C COLLEGE,REWA"
3541,C31789,Geeta Jyoti School,C31789,GEETA JYOTI SHIKSHA COLLEGE REWA
3542,C31790,T.R.S. College,C31790,"GOVT.T.R.S. COLLEGE,REWA"
3543,C31792,National B.Ed. College,C31792,NATIONAL B.ED COLLEGE REWA
3544,C318,"Shri K J Polytechnic, Bharuch",C318,"Shri K.J.Polytechnic,Bharuch 645"
3545,C31800,Pandit Chandrasekher Study College,C31800,PANDIT CHANDRASEKHER STUDY COLLEGE SATNA
3546,C31801,Government Maharaja Martand Mahavidyalaya,C31801,"GOVT.MAHARAJA MARTAND COLLEGE KOTMA, ANUPUR"
3547,C31805,Saraswati science college Rewa,C31805,SARSWATI SCIENCE COLLEGE NIRALA NAGAR REWA
3548,C31806,janta college,C31806,"JANTA COLLEGE,GOHPARU,SHAHDOL"
3549,C31807,"Govt Swami Vivekananda Degree College, Teonthar",C31807,"GOVT.S.V COLLEGE,TEONTHAR,REWA"
3550,C31809,Shri Rama Krishna College of Law,C31809,"SHRI R.K COLLEGE OF LAW, BHARHUT NAGAR SATNA"
3551,C31812,Model Science College,C31812,GOVT.MODAL SCIENCE COLLEGE.REWA
3552,C31814,Nishad College Of Nursing & Allied Sciences,C31814,"NISAD COLLEGE OF NARSING  & ALLIED SCIENCE'S, SATNA"
3553,C31817,Rajeev Gandhi College Of Computer & Technology,C31817,"RAJIV GANDHI COLLEGE OF COMP. & TECH. , SATNA"
3554,C31823,Govt. Law College,C31823,GOVT.LAW COLLEGE.REWA
3555,C31824,Nehru Smarak College,C31824,"NEHRU SMARAK COLLEGE CHAKGHAT, REWA"
3556,C31825,Maharani Laxmibai College of Technology,C31825,MAHARANI LAXMIBAI COLLEGE OF TECHNOLOGY REWA
3557,C31826,"Govt. College Naigarhi, Rewa",C31826,"GOVT.COLLEGE,NAIGARHI,REWA"
3558,C31827,Rewa Institute of Technology,C31827,"REWA INSTITUT OF TECNOLOGY RATAHARA,REWA"
3559,C31828,Jaypee College of Education,C31828,J.P.COLLEGE OF EDUCATION JP NAGAR REWA
3560,C31831,Sri Sai Shail Manglam College,C31831,"SRI SAI MANAGLAM COLLEGE,,SINGRAULI"
3561,C31833,Singrauli Institue of Technical Education (SITE),C31833,"S.I.T.E ,SINGRAULI"
3562,C31835,"Chaurasia Nursing College, Khamha, Rewa",C31835,CHAURASHIYA PAIRAMEDICAL INSTITUT REWA
