commerece,Commerece,uc_d100116,c100049
technology,Technology,uc_d100117,c100050
commerce,COMMERCE,uc_d100118,c100015
computer technology and application,Computer Technology & Application,uc_d100119,c100051
gen,Gen,uc_d100120,c100052
computer science,Msc in Computer Science,uc_d100121,c100000
master computer science and application,Master of Computer Science & Application,uc_d100122,c100053
technology,Master of Computer Application Technology,uc_d100123,c100050
computer application,FULL TIME,uc_d100124,c100001
computer application,Regular,uc_d100125,c100001
computer application,Computer Applications (FT),uc_d100126,c100001
master business administrations,MCA (MASTER OF BUSINESS ADMINISTRATIONS),uc_d100127,c100054
cse,CSE,uc_d100128,c100055
computer application,Computer Applictions,uc_d100129,c100001
masters computer application,MASTERS IN COMPUTER APPLICATION,uc_d100130,c100007
computer application,"Master of Computer Applications (ASE, AMR)",uc_d100131,c100001
first shi,MCA-First Shift,uc_d100132,c100056
computer application,MCA (SE),uc_d100133,c100001
computer application,Computer Appllications,uc_d100134,c100001
computer application lateral entry,Computer Applications LATERAL ENTRY,uc_d100135,c100031
commerce,commerce,uc_d100136,c100015
computer application,master of computer application,uc_d100137,c100001
lateral entry,Lateral Entry,uc_d100138,c100023
masters computer application,Masters of Computer Application,uc_d100139,c100007
computer application,COMP. APPLN,uc_d100140,c100001
computer application,60,uc_d100141,c100001
information technology and computer application,Information Technology & Computer Application,uc_d100142,c100057
computer it,Computer IT,uc_d100143,c100058
computer,COMPAPPLICATIONS,uc_d100144,c100004
computer application,Master in Computer Application,uc_d100145,c100001
faculty computer application,Faculty of Computer Application,uc_d100146,c100059
computer science,computer Science,uc_d100147,c100000
computer,COMPAPP,uc_d100148,c100004
computer science applications,Computer Science Applications,uc_d100149,c100060
computer application,Computer Applicationpplication,uc_d100150,c100001
computer application,Computer Application(LE),uc_d100151,c100001
information technology,INFORMATION TECHNOLOGY,uc_d100152,c100009
lateral entry,MCA (Lateral),uc_d100153,c100023
computer application,computer Applications,uc_d100154,c100001
computer science and engineering,Computer Science & Engg,uc_d100155,c100061
engineering,ENGG.,uc_d100156,c100062
english,ENGLISH,uc_d100157,c100063
computer application,MASTER OF COMUTER APPLICATION,uc_d100158,c100001
deree,Deree,uc_d100159,c100064
it and computer,IT & computer,uc_d100160,c100016
dbms,DBMS,uc_d100161,c100065
lateral entry,M.C.A-LATERAL ENTRY,uc_d100162,c100023
computer science,Computers science,uc_d100163,c100000
it and computer,IT and Computer,uc_d100164,c100016
masters computer application,MASTERS OF COMPUTER APPLICATIONS,uc_d100165,c100007
computer application,Master in Compter Applications,uc_d100166,c100001
computer application,Compute Applications,uc_d100167,c100001
lateral entry,Lateral,uc_d100168,c100023
computer science,computer Sci.,uc_d100169,c100000
other engineering and technology,Other Engineering & Technology,uc_d100170,c100066
engineering,Engineering,uc_d100171,c100062
c computer application,Ccomputer application,uc_d100172,c100067
computer application,"Master of Computer Applications (ASAS, Mysore)",uc_d100173,c100001
management,MANAGEMENT,uc_d100174,c100011
cbe,"Master of Computer Applications (ASE, CBE)",uc_d100175,c100068
lateral entry,MCA Lateral Entry,uc_d100176,c100023
mastrt computer application,MASTRT IN COMPUTER APPLICATIONS,uc_d100177,c100069
science,SCIENCES,uc_d100178,c100010
subject,Subject,uc_d100179,c100070
computer science,Computer Sc.,uc_d100180,c100000
it and computer science,IT&COMPUTER SCIENCE,uc_d100181,c100071
letaral entry,Letaral Entry,uc_d100182,c100072
lateral entry,MCA(2ND YEAR DIRECT),uc_d100183,c100023
evening,MCA (Evening),uc_d100184,c100073
computer science,COMPUTER SCIENCES,uc_d100185,c100000
science,Sciecne,uc_d100186,c100010
year direct,Master of Computer Application(2nd year Direct),uc_d100187,c100074
education,Education,uc_d100188,c100075
computer application,Master of Computer Applicatiom,uc_d100189,c100001
it and cs,IT & CS,uc_d100190,c100076
lecturer,LECTURER,uc_d100191,c100077
commerce and management,Commerce & Management,uc_d100192,c100029
mcm,M.C.M.,uc_d100193,c100021
computer science,Computer science,uc_d100194,c100000
engineering,engineering,uc_d100195,c100062
master computer science and application,Master of Computer Science and Application,uc_d100196,c100053
ca integrated,CA-Integrated,uc_d100197,c100078
computer application,MCA-LE,uc_d100198,c100001
lateral,MCA-Lateral,uc_d100199,c100014
yes,Yes,uc_d100200,c100079
five years integrated,Five Years Integrated,uc_d100201,c100080
coputer application,Coputer Application,uc_d100202,c100081
direct,Direct,uc_d100203,c100082
computer application,Computer Appliction,uc_d100204,c100001
management,management,uc_d100205,c100011
computer application,Master in computer Application,uc_d100206,c100001
computer application,I.T.,uc_d100207,c100001
pg level,PG LEVEL,uc_d100208,c100083
mathematics and computer,Mathematics & Computing,uc_d100209,c100084
computer application,0,uc_d100210,c100001
q engineering,MCA (q Engineering),uc_d100211,c100085
computer application,1809,uc_d100212,c100001
computer science application,Computer Science Application,uc_d100213,c100086
department computer application,Department of Computer Applications,uc_d100214,c100087
2nd shi,MCA 2nd Shift,uc_d100215,c100088
computer application,M. C. A.,uc_d100216,c100001
computer application,Master of computer application,uc_d100217,c100001
it and application,IT & Application,uc_d100218,c100089
itc java asp net math soware eng system soware uml,"IT, C, java, asp.net, math, software eng. system software, UML,",uc_d100219,c100090
computer application,Computer Appl.,uc_d100220,c100001
computer application,"Master of Computer Applications (ASAS, Kochi",uc_d100221,c100001
masters computer application,Masters in Computer Applications,uc_d100222,c100007
science computer,Science Computer,uc_d100223,c100091
computer application,C.S,uc_d100224,c100001
commerce,M.C.A. Commerce,uc_d100225,c100015
it management,IT Management,uc_d100226,c100092
