0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Vesveswaraiah  Technological  University ,  Belgaum,VTU/B,VTU  belgaum,VTUB,VTU,VTU-B,vesveswaraiah  technological  university,vesveswaraiah  technological  university  belgaum,VTU  B,,,,,,,,,,
nan,nan,,,,,,,,,,,,,,,,,
Dayalbagh  Educational  Institute ,  Agra,dayalbagh  educational  institute  agra,DEI  agra,DEI,DEI-A,DEIA,dayalbagh  educational  institute,DEI  A,DEI/A,,,,,,,,,,
Magadh  University ,  Bodh  Gaya,MU-B,MU/B,MU  bodh  gaya,magadh  university,MU  B,MUB,MU,magadh  university  bodh  gaya,,,,,,,,,,
Jai  Narain  Vyas  University ,  Jodhpur,JNVU-J,JNVU,JNVUJ,JNVU/J,jai  narain  vyas  university  jodhpur,jai  narain  vyas  university,JNVU  J,JNVU  jodhpur,,,,,,,,,,
Maharishi  Dayanand  Saraswati  University ,  Ajmer,MDSUA,MDSU,MDSU  ajmer,MDSU-A,maharishi  dayanand  saraswati  university  ajmer,MDSU  A,maharishi  dayanand  saraswati  university,MDSU/A,,,,,,,,,,
Mahatama  Jyotiba  Phule  Rohikhand  University ,  Bareilly,MJPRU  B,MJPRUB,MJPRU-B,mahatama  jyotiba  phule  rohikhand  university,MJPRU  bareilly,mahatama  jyotiba  phule  rohikhand  university  bareilly,MJPRU,MJPRU/B,,,,,,,,,,
Karnataka  Sanskrit  University,karnataka  sanskrit  university,KSU,,,,,,,,,,,,,,,,
Mahatma  Gandhi  Kashi  Vidyapeeth ,  Varanasi,MGKV  V,MGKV  varanasi,MGKVV,MGKV/V,MGKV-V,mahatma  gandhi  kashi  vidyapeeth,MGKV,mahatma  gandhi  kashi  vidyapeeth  varanasi,,,,,,,,,,
Maharashtra  University  of  Health  Sciences ,  Nashik,maharashtra  university  of  health  sciences,MUHS  nashik,MUHS,MUHS/N,MUHSN,MUHS  N,maharashtra  university  of  health  sciences  nashik,maharashtra  university  health  sciences  nashik,maharashtra  university  health  sciences,MUHS-N,,,,,,,,
SIDDHARTH  UNIVERSITY ,  KAPILVASTU,SU/K,siddharth  university  kapilvastu,SU  K,SU-K,siddharth  university,SU,SU  kapilvastu,SUK,,,,,,,,,,
Deen  Dayal  Upadhyay  Gorakhpur  University ,  Gorakhpur,deen  dayal  upadhyay  gorakhpur  university,DDUGUG,deen  dayal  upadhyay  gorakhpur  university  gorakhpur,DDUGU  G,DDUGU-G,DDUGU,DDUGU/G,DDUGU  gorakhpur,,,,,,,,,,
Tamil  Nadu  Teacher  Education  University ,  Chennai,TNTEU-C,tamil  nadu  teacher  education  university,TNTEU/C,tamil  nadu  teacher  education  university  chennai,TNTEU,TNTEUC,TNTEU  C,TNTEU  chennai,,,,,,,,,,
Ranchi  University ,  Ranchi,ranchi  university,ranchi  university  ranchi,RU,RU/R,RU  ranchi,RU  R,RUR,RU-R,,,,,,,,,,
Dr.  B.  R.  Ambedkar  University ,  Agra,DRBR  university,DBRAU,DBRAUA,DBRAU  A,dr.  b.  r.  ambedkar  university,DBRAU/A,DRBR  agra,DRBRA,DBRAU-A,DBRAU  agra,DRBR,DRBR  A,dr.  b.  r.  ambedkar  university  agra,DRBR  university  agra,DRBR/A,DRBR-A,,
Sri  Devraj  Urs  Acaedmy  of  Highehr  Education  and  Research ,  Kolar,SDUAHER  kolar,SDUAHER/K,SDUAHER,SDUAHER  K,sri  devraj  urs  acaedmy  of  highehr  education  and  research  kolar,sri  devraj  urs  acaedmy  highehr  education  research  kolar,sri  devraj  urs  acaedmy  highehr  education  research,SDUAHER-K,SDUAHERK,sri  devraj  urs  acaedmy  of  highehr  education  and  research,,,,,,,,
Chhattisgarh  Swami  Vivekanand  Technical  University ,  Bhilai,CSVTU/B,CSVTU-B,CSVTU,CSVTU  bhilai,chhattisgarh  swami  vivekanand  technical  university  bhilai,CSVTUB,chhattisgarh  swami  vivekanand  technical  university,CSVTU  B,,,,,,,,,,
Solapur  University ,  Solapur,SU/S,SU  S,solapur  university  solapur,solapur  university,SU-S,SU,SU  solapur,SUS,,,,,,,,,,
Veer  Bahadur  Singh  Purvanchal  University ,  Jaunpur,VBSPU  jaunpur,VBSPU  J,veer  bahadur  singh  purvanchal  university  jaunpur,veer  bahadur  singh  purvanchal  university,VBSPU/J,VBSPUJ,VBSPU,VBSPU-J,,,,,,,,,,
Sri  Venkateswara  Institute  of  Medical  Sciences ,  Tirupathi,sri  venkateswara  institute  of  medical  sciences  tirupathi,SVIMS-T,SVIMS/T,sri  venkateswara  institute  medical  sciences,SVIMS  tirupathi,sri  venkateswara  institute  medical  sciences  tirupathi,SVIMS  T,SVIMST,SVIMS,sri  venkateswara  institute  of  medical  sciences,,,,,,,,
D.Y.  Patil  Educational  Society   ,  Kolhapur,DPES  kolhapur,DPES  K,DY,DY  kolhapur,DYK,DPES,DPES-K,DY/K,DY  K,d.y.  patil  educational  society    kolhapur,DPESK,DPES/K,DY-K,d.y.  patil  educational  society  ,,,,
Charotar  University  of  Science  &  Technology ,    Anand,charotar  university  of  science  &  technology    anand,CUST    anand,charotar  university  science  technology    anand,charotar  university  of  science  &  technology,CUSTA,charotar  university  science  technology,CUST-A,CUST/A,CUST  A,CUST,,,,,,,,
Kavi  Kulguru  Kalidas  Sanskrit  Vishwavidyalaya ,  Ramtek,KKKSV/R,KKKSV  ramtek,KKKSV  R,KKKSVR,KKKSV,kavi  kulguru  kalidas  sanskrit  vishwavidyalaya  ramtek,KKKSV-R,kavi  kulguru  kalidas  sanskrit  vishwavidyalaya,,,,,,,,,,
Saveetha  University ,  Chennai,SU/C,SU  chennai,saveetha  university  chennai,SU-C,SU,SU  C,saveetha  university,SUC,,,,,,,,,,
Rajiv  Gandhi  University ,  Itanagar,RGU/I,RGU  I,RGUI,RGU  itanagar,rajiv  gandhi  university,rajiv  gandhi  university  itanagar,RGU-I,RGU,,,,,,,,,,
North  Eastern  Hill  University ,  Shillong,NEHUS,NEHU  shillong,NEHU-S,NEHU,north  eastern  hill  university,north  eastern  hill  university  shillong,NEHU  S,NEHU/S,,,,,,,,,,
The  West  Bengal  University  of  Health  Sciences ,  Kolkata,the  west  bengal  university  health  sciences,TWBUHS-K,TWBUHS,TWBUHS  kolkata,the  west  bengal  university  of  health  sciences  kolkata,TWBUHS  K,TWBUHS/K,the  west  bengal  university  health  sciences  kolkata,the  west  bengal  university  of  health  sciences,TWBUHSK,,,,,,,,
Homoeopathy  University ,  Jaipur,HU  J,HU,homoeopathy  university  jaipur,HUJ,HU-J,homoeopathy  university,HU/J,HU  jaipur,,,,,,,,,,
Anna  University ,  Chennai,AU  C,anna  university,anna  university  chennai,AU-C,AU/C,AU  chennai,AUC,AU,,,,,,,,,,
G.B.  Pant  Universtiy  of  Agriculture  and  Technology ,  Pantnagar,GPUAT/P,GB/P,g.b.  pant  universtiy  of  agriculture  and  technology  pantnagar,GPUAT  P,GB  universtiy    pantnagar,g.b.  pant  universtiy  of  agriculture  and  technology,GB-P,GB  P,g.b.  pant  universtiy  agriculture  technology  pantnagar,GPUAT-P,GPUAT,GB,GPUAT  pantnagar,GBP,GB  universtiy  ,GPUATP,g.b.  pant  universtiy  agriculture  technology,GB  pantnagar
UTTARAKHAND  UNIVERSITY  OF  HORTICULTURE  AND  FORESTRY ,  BHARSAR,UUHF-B,uttarakhand  university  horticulture  forestry,uttarakhand  university  horticulture  forestry  bharsar,uttarakhand  university  of  horticulture  and  forestry  bharsar,UUHF,UUHF  bharsar,UUHFB,UUHF  B,uttarakhand  university  of  horticulture  and  forestry,UUHF/B,,,,,,,,
Nagaland  University,NU,nagaland  university,,,,,,,,,,,,,,,,
Indian  Institute  of  Foreign  Trade ,  Delhi,IIFT/D,indian  institute  of  foreign  trade  delhi,indian  institute  foreign  trade,indian  institute  foreign  trade  delhi,indian  institute  of  foreign  trade,IIFT  D,IIFT-D,IIFTD,IIFT,IIFT  delhi,,,,,,,,
Mangalore  University ,  Mangalore,MU  mangalore,mangalore  university,MU/M,MU  M,MU-M,mangalore  university  mangalore,MU,MUM,,,,,,,,,,
Jawarharlal  Nehru  Architecture  and  Fine  Art  University  Hyderabad,jawarharlal  nehru  architecture  and  fine  art  university  hyderabad,jawarharlal  nehru  architecture  fine  art  university  hyderabad,JNAFAUH,,,,,,,,,,,,,,,
Mother  Teresa  Women's  University ,  Kodaikanal,MTWU-K,mother  teresa  women's  university,MTWSUK,MTWSU-K,MTWSU  K,MTWUK,MTWSU/K,MTWU/K,MTWSU,mother  teresa  women's  university  kodaikanal,MTWU,MTWU  kodaikanal,MTWSU  kodaikanal,MTWU  K,,,,
Bhagat  Phool  Singh    Mahila  University ,  Khanpur  Kalan ,  Sonipat,bhagat  phool  singh    mahila  university  khanpur  kalan ,  sonipat,BPSMU-S,bhagat  phool  singh  mahila  university  khanpur  kalan ,  sonipat,BPSMU/S,BPSMU,bhagat  phool  singh    mahila  university,bhagat  phool  singh  mahila  university,BPSMU  S,BPSMU  khanpur  kalan ,  sonipat,BPSMUS,,,,,,,,
Gauhati  University ,  Guwahati,GU,GU  G,GUG,gauhati  university  guwahati,GU-G,gauhati  university,GU/G,GU  guwahati,,,,,,,,,,
