,Id,Name,known_as,Estd,State,City,Address,ownership,Approved_by,Affilate_to,contact,Rank,website,score,facilities,exams,stream,faculty,facebook,twitter,youtube,wiki
4079,4079,"Institute of Management Sciences, Jammu",,1999, Jammu and Kashmir,Jammu, Gurha Brahmana (Patoli)  Akhnoor Road  Jammu  Jammu and Kashmir  India,Private,(AICTE) All India Council of Technical Education,,,,http://imsjammu.com/,,"['Library', 'Sports', 'Auditorium', 'Transport', 'IT Infrastructure']",['JUET'],it,14,https://www.facebook.com/Institute-of-Management-Sciences-334142136948512/,,,
4080,4080,"Swami Shri Swaroopanand Saraswati Mahavidyalaya, Bhilai",,2005, Chhattisgarh,Bhilai, Near Skandashram  Amdi Nagar  Hudco  Bhilai  Chhattisgarh - 490009  India,Private,UGC,,,,http://www.ssssmv.ac.in/,,"['Library', 'Sports', 'Auditorium', 'Medical', 'WiFi', 'Transport', 'IT Infrastructure']",['JUET'],it,44,https://www.facebook.com/Swami-Shri-Swaroopanand-Saraswati-Mahavidyalaya-955394124493654,,,
4081,4081,"Dr Bhanwar Singh Porte Government College, Pendra",,1982, Chhattisgarh,Pendra, Amarpur Road  Pendra  District: Bilaspur  Chhattisgarh  India. Pin: 495119,Government,UGC,,,,http://www.bspgcpendra.in/,,"['Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'WiFi', 'IT Infrastructure']",['JUET'],it,9,https://www.facebook.com/Drbhanvar-Singh-Porte-Government-College-Pendra-Bilaspur-CG-967871633272188/,,,
4082,4082,"Government Rajmohini Devi Girls PG College, Ambikapur",,1987, Chhattisgarh,Ambikapur, Near New Bus Stand  Ambikapur Dist.-Surguja  Pin:497001  ,Government,UGC,,,,http://rmdgirlspgcollege.in/,,"['Library', 'Sports', 'Auditorium', 'IT Infrastructure']",['JUET'],it,11,,,,
4083,4083,"Government Rewati Raman Mishra College, Surajpur",,1984, Chhattisgarh,Surajpur, District -Surajpur - 497229  Chhattisgarh  India,Government,UGC,,,,http://www.govtcollegesurajpur.in/,,"['Library', 'Sports', 'IT Infrastructure']",['JUET'],it,4,,,,
4085,4085,"Shri Sangameshwar Arts and Commerce College, Vijayapura",,1973, Karnataka,Vijayapura, Chadchan  Vijayapura 586205  Karnataka  India,Private,UGC,,,,http://www.ssaccchadchan.org/,,"['Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'IT Infrastructure']",['JUET'],it,,,,,
4086,4086,"Karm Kshetra Post Graduate College, Etawah",,1959, Uttar Pradesh,Etawah, Pakka Talab  Agra Road  Etawah  Uttar Pradesh  India,Private,UGC,,,,http://kkpgcollege-etawah.ac.in/,,"['Library', 'Sports', 'Auditorium', 'IT Infrastructure']",['JUET'],it,,https://www.facebook.com/KkpgcollegeEtawahUtterPradesh/,,,https://en.wikipedia.org/wiki/Karm_Kshetra_Post_Graduate_College
4089,4089,"Sri ASNM Government College, Palakol",,1968, Andhra Pradesh,Palakollu, Palakol Near Fire station  Yadla Bazar  City Palakol  District West Godavari  State Andhra Pradesh  Pin code 534260,Government,UGC,,,,http://www.sriasnmgdcpalkol.org.in/,,"['Gym', 'Library', 'Sports', 'Medical', 'IT Infrastructure']",['JUET'],it,,,,,
4092,4092,"Chandra Shekhar Azad Government Post Graduate Nodal College, Sehore",,1956, Madhya Pradesh,Sehore,"<span class=""address iconHighlighted""></span>",Government,UGC,,,,http://www.mphighereducation.nic.in/InstitutePortal/Default.aspx?InstId=MjY5,,"['Gym', 'Sports', 'IT Infrastructure']",['JUET'],it,4,https://www.facebook.com/ChandraShekharAzadGovtPgCollegeSehore/,,,
4093,4093,"Government Arts and Commerce College, Bhopal",,1987, Madhya Pradesh,Bhopal, Jahangirabad  Bhopal. Madhya Pradesh - 462008,Government,UGC,,,,http://www.mphighereducation.nic.in/InstitutePortal/Default.aspx?InstId=MjQ4,,"['Gym', 'Library', 'Sports', 'Auditorium', 'IT Infrastructure']",['JUET'],it,,,,,
4094,4094,"Government Autonomous Post Graduate College, Chhindwara",,1961, Madhya Pradesh,Chhindwara,"<span class=""address iconHighlighted""></span>",Government,(BCI) Bar Council of India +1 moreUGC,,,,http://www.mphighereducation.nic.in/InstitutePortal/Default.aspx?InstId=NDA3,,"['Library', 'Sports', 'Cafeteria', 'Auditorium', 'IT Infrastructure']",['JUET'],it,,https://www.facebook.com/GovtAutonomousPgCollegechhindwara/,,,
4097,4097,"Government Post Graduate College, Sheopur",,1965, Madhya Pradesh,Sheopur, Distt - Sheopur. Madhya Pradesh - 476337,Government,UGC,,,,http://www.mphighereducation.nic.in/InstitutePortal/Default.aspx?InstId=Mjk4,,"['Gym', 'Library', 'Sports', 'IT Infrastructure']",['JUET'],it,10,,,,
4098,4098,"Gyan Chandra Shrivastava Government Post Graduate College, Damoh",,1964, Madhya Pradesh,Damoh,"<span class=""address iconHighlighted""></span>",Government,UGC,,,,http://www.mphighereducation.nic.in/InstitutePortal/Default.aspx?InstId=NTAx,,"['Library', 'Sports', 'Auditorium', 'IT Infrastructure']",['JUET'],it,14,,,,
4099,4099,"Jawahar Lal Nehru Smriti Government Post Graduate College, Shajapur",,1964, Madhya Pradesh,Shajapur,"<span class=""address iconHighlighted""></span>",Government,UGC,,,,http://www.mphighereducation.nic.in/InstitutePortal/Default.aspx?InstId=NTY4,,"['Gym', 'Library', 'Sports', 'IT Infrastructure']",['JUET'],it,14,,,,
4101,4101,"Pt SN Shukla Government PG College, Shahdol",,1956, Madhya Pradesh,Shahdol, Shahdol Near City Kotwali Shahdol  Shahdol district  Madhya Pradesh  Pin code 484001,Government,UGC,,,,http://www.mphighereducation.nic.in/InstitutePortal/Default.aspx?InstId=NTI5,,"['Boys Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'IT Infrastructure']",['JUET'],it,45,,,,
4102,4102,"Shri Sitaram Jaju Government Girls College, Neemuch",,1984, Madhya Pradesh,Neemuch, Neemuch Mahavir Marg  Near Head Post Office  District Neemuch  Madhya Pradesh  Pin code 458441,Government,UGC,,,,http://www.mphighereducation.nic.in/InstitutePortal/Default.aspx?InstId=NTUy,,"['Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'IT Infrastructure']",['JUET'],it,14,,,,
4105,4105,"Rayat Shikshan Sanstha's Dhananjayrao Gadgil College of Commerce, Satara",,1971, Maharashtra,Satara, Satara Sadar Bazar  Near Zilla Parishad  Satara Pin Code 415001  Maharashtra,Private,UGC,,,,http://www.dgccsatara.edu.in/,,"['Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'IT Infrastructure']",['JUET'],it,,,,,
4108,4108,"Sharadopasak Shikshan Sanstha Aurad Shaha Sanchalit Master Deenanath Mangeshkar Mahavidyalaya, Latur",,1970, Maharashtra,Latur," Latur
Tq. Nilanga Dist Latur  Aurad Shahajani  Latur District  Maharashtra  Pin code 413522 ",Private,UGC,,,,http://www.mdmcollege.in/,,"['Gym', 'Library', 'Sports', 'Auditorium', 'IT Infrastructure']",['JUET'],it,,,,,
4109,4109,"Smt Radhadevi Goenka College for Women, Akola",,1965, Maharashtra,Akola, Akola Murtizapur Road  NH6  Akola - 444001  Maharashtra,Private,UGC,,,,http://www.rdgcollegeakola.com/,,"['Girls Hostel', 'Gym', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'IT Infrastructure']",['JUET'],it,48,https://www.facebook.com/rdgeducation.org/,,,
4110,4110,"Government College, Tigaon",,1970, Haryana,Tigaon, Tigaon Tigaon  District Faridabad  Haryana  Pin code 121001,Government,UGC,,,,E-mail : [email protected],,"['Library', 'Sports', 'Cafeteria', 'Medical', 'IT Infrastructure']",['JUET'],it,29,,,,
4111,4111,"KM Government College, Jind",,1966, Haryana,Narwana," Jind
Narwana  Jind Patiala Road  Urban  District Hisar  Haryana ",Government,UGC,,,,E-mail : [email protected],,"['Library', 'Sports', 'Cafeteria', 'IT Infrastructure']",['JUET'],it,22,,,,
4112,4112,"Giani Kartar Singh Memorial Government College, Hoshiarpur",,1951, Punjab,Urmar Tanda, Tanda Urmar  Hoshiarpur  Punjab,Government,UGC,,,,http://www.gksmgct.com/,,"['Gym', 'Library', 'Sports', 'Cafeteria', 'Medical', 'IT Infrastructure']",['JUET'],it,,https://www.facebook.com/gksmgovtcollege/,,,
4113,4113,"Biyani Girls College, Jaipur",,2003, Rajasthan,Jaipur, Sector - No 3  Vidhyadhar Nagar  Jaipur  Rajasthan - 302039,Private,UGC,,,,http://www.biyanicolleges.org/,,"['Girls Hostel', 'Library', 'Sports', 'Cafeteria', 'Auditorium', 'WiFi', 'Transport', 'IT Infrastructure']",['JUET'],it,,https://www.facebook.com/BiyaniGroupofCollege,,,https://en.wikipedia.org/wiki/Biyani_Group_of_Colleges
4118,4118,"Satyendra Narain Sinha College, Tekari",,1966, Bihar,Tekari,Tekari  Gaya  Bihar ,Government,UGC,,,,http://www.snscollegetekari.org/,,"['Gym', 'Library', 'Sports', 'Medical', 'IT Infrastructure']",['JUET'],it,,,,,
