,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
41,"Vivekananda School of Journalism and Mass Communication, Delhi",Delhi,Delhi,BJMC,3 years,Full time,,UG,,UGC,Pass in 12th class of 10+2 pattern or equivalent with a minimum of 50% marks in aggregate and must have also passed English as a subject.,"Bachelor of Journalism and Mass Communication is 3-year under graduate programme affiliated to Guru Gobind Singh Indraprastha University, Delhi."
42,"Vivekananda School of Journalism and Mass Communication, Delhi",Delhi,Delhi,BJMC II Shift,3 years,Full time,,UG,,UGC,Pass in 12th class of 10+2 pattern or equivalent with a minimum of 50% marks in aggregate and must have also passed English as a subject.,"Bachelor of Journalism and Mass Communication II Shift is 3-year under graduate programme affiliated to Guru Gobind Singh Indraprastha University, Delhi."
43,"Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore",Indore,Madhya Pradesh,BA Film,3 years,Full time,,UG,,,Candidates seeking admission to the first year of Bachelor of Art Program Shall be required to have passed the higher Secondary Examination (10+2) of M.P. Higher Secondary Board or an examination recognized equivalent there to with at least 50% marks or equivalent Grade in the aggregate. 5% will be relaxed for SC/ST/OBC excluding creamy layer. Selection for admission will be made through an Admission Test followed by a Group Discussion or on the basis of merit,"BA Film is a three year full time course affiliated by Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore"
44,"Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore",Indore,Madhya Pradesh,BA Journalism and Mass Communication,3 years,Full time,,UG,,,Candidates seeking admission to the first year of Bachelor of Art Program Shall be required to have passed the higher Secondary Examination (10+2) of M.P. Higher Secondary Board or an examination recognized equivalent there to with at least 50% marks or equivalent Grade in the aggregate. 5% will be relaxed for SC/ST/OBC excluding creamy layer. Selection for admission will be made through an Admission Test followed by a Group Discussion or on the basis of merit,"BA Journalism and Mass Communication is a three year full time course affiliated by Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore"
45,"Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore",Indore,Madhya Pradesh,BA MA Journalism and Mass Communication Integrated,5 years,Full time,,PG,,,Candidates seeking admission to the first year of Bachelor of Art Program Shall be required to have passed the higher Secondary Examination (10+2) of M.P. Higher Secondary Board or an examination recognized equivalent there to with at least 50% marks or equivalent Grade in the aggregate. 5% will be relaxed for SC/ST/OBC excluding creamy layer. Selection for admission will be made through an Admission Test followed by a Group Discussion or on the basis of merit,"This is a five year full time course affiliated by Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore"
46,"Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore",Indore,Madhya Pradesh,BA MA TV ad Radio,5 years,Full time,,PG,,,Candidates seeking admission to the first year of Bachelor of Art Program Shall be required to have passed the higher Secondary Examination (10+2) of M.P. Higher Secondary Board or an examination recognized equivalent there to with at least 50% marks or equivalent Grade in the aggregate. 5% will be relaxed for SC/ST/OBC excluding creamy layer. Selection for admission will be made through an Admission Test followed by a Group Discussion or on the basis of merit,"This is a five year full time course affiliated by Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore"
47,"Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore",Indore,Madhya Pradesh,BA TV and Radio,3 years,Full time,,UG,,,Candidates seeking admission to the first year of Bachelor of Art Program Shall be required to have passed the higher Secondary Examination (10+2) of M.P. Higher Secondary Board or an examination recognized equivalent there to with at least 50% marks or equivalent Grade in the aggregate. 5% will be relaxed for SC/ST/OBC excluding creamy layer. Selection for admission will be made through an Admission Test followed by a Group Discussion or on the basis of merit,"BA TV and Radio is a three year full time course affiliated by Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore"
48,"Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore",Indore,Madhya Pradesh,MA Film,2 years,Full time,,PG,,,"A candidate is eligible for admission for M.A. program, if he/she has passed Bachelor Degree in any stream of science/ commerce/ Arts from any recognized university with at least 50% marks or equivalent Grade in the aggregate. 5% will be relaxed for SC/ST/OBC excluding creamy layer The candidate shall be eligible for the degree when he/she has under gone the prescribed program of studies for a period of not less than two years in the institution and has passed the required examination in all the subjects as per the rules of UGC","MA Film is a two year full time course offer by Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore"
49,"Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore",Indore,Madhya Pradesh,MA Journalism and Mass Communication,2 years,Full time,,PG,,,"A candidate is eligible for admission for M.A. program, if he/she has passed Bachelor Degree in any stream of science/ commerce/ Arts from any recognized university with at least 50% marks or equivalent Grade in the aggregate. 5% will be relaxed for SC/ST/OBC excluding creamy layer The candidate shall be eligible for the degree when he/she has under gone the prescribed program of studies for a period of not less than two years in the institution and has passed the required examination in all the subjects as per the rules of UGC","MA Journalism and Mass Communication is a two year full time course offer by Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore"
50,"Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore",Indore,Madhya Pradesh,MA TV ad Radio,2 years,Full time,,PG,,,"A candidate is eligible for admission for M.A. program, if he/she has passed Bachelor Degree in any stream of science/ commerce/ Arts from any recognized university with at least 50% marks or equivalent Grade in the aggregate. 5% will be relaxed for SC/ST/OBC excluding creamy layer The candidate shall be eligible for the degree when he/she has under gone the prescribed program of studies for a period of not less than two years in the institution and has passed the required examination in all the subjects as per the rules of UGC","MA TV ad Radio is a two year full time course affiliated by Shri Vaishnav Vidyapeeth Vishwavidyalaya, Indore"
51,"MIET Kumaon, Haldwani",Ansingh Nawar,Uttarakhand,BJMC,3 years,Full time,,UG,1.22 lakhs,,10+2 examination pass from any education board or Equivalent,"Bachelor of Journalism & Mass Communication (BJMC) is a three years full time degree course affiliated to Kumaon University, Nainital. With the world of Media & Journalism gaining importance, there is a need for a very strong foundation for young students who aspire to take it as a profession. We emphasise on creating an environment where the students pursuing BJMC co...See More"
52,"MIET Kumaon, Haldwani",Ansingh Nawar,Uttarakhand,MJMC,2 years,Full time,,PG,1.02 lakhs,,Graduation from any recognized university with relevant subjects.,"Master of Journalism & Mass Communication (MJMC) is a two-year postgraduate course affiliated to Kumaon University, Nainital. The Journalism curriculum at the postgraduate level has changed drastically to include numerous aspects of the modern-day avatar of journalism. Topics covered have grown from print-based topics to print and electronic media-based topics. Broadc...See More"
