,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Minority Arts and Science College, Palakkad",Mezhathur,Kerala,BA Mass communication and Journalism,3 years,Full time,,UG,,UGC,The candidate should have passed in 10+2 any stream.,BA- Mass communication and Journalism with Economics and Political science is a three year full time course.
1,"Don Bosco College, Dharmapuri",Sajalahalli,Tamil Nadu,B.Sc Digital Print Media,3 years,Full time,50,UG,,UGC,Pass in Plus Two Examination with Mathematics as one the subject.,"Bachelor of Science in Digital Print Media is a full-time three year course affiliated to Periyar University, Salem and approved by UGC."
2,"University School of Mass Communication, New Delhi",New Delhi,Delhi,Master of Journalism and Mass Communication,2 years,Full time,,PG,,,Bachelors degree in related branch.,"Master of Journalism and Mass Communication is 2 year full time UG level course with affiliation of Guru Gobind Singh Indraprastha University, Delhi."
3,"University School of Mass Communication, New Delhi",New Delhi,Delhi,Master of Mass Communication,2 years,Full time,,PG,,,Bachelors degree in related branch.,"Master in Mass Communication (MMC) that offers the following specializations in the last two semesters: (i) Journalism and News Media, (ii) New Media and Convergence, (iii) Corporate Communication and (iv) TV Production. The School plans to have the flollowing specialization in near future (i) Broadcast Journalism, (ii) Print Journalism, (iii) Online Journalism, (iv) ...See More"
4,"Extol College, Bhopal",Bhopal,Madhya Pradesh,B.Sc Electronic Media,3 years,Full time,,UG,,,Minimum qualification for admission in program: 10+2 or its equivalent.,Bachelor of Science in Electronic Media is tree year degree course affiliated to ‘Makhanlal Chaturvedi National University of Journalism and Mass Communication’ Bhopal (M.P).
5,"Pazhassi Raja College, Pulpally",Pulpally,Kerala,BA Mass Communication,3 years,Full time,40,UG,1.12 lakhs,UGC,The candidate should have passed Plus Two Any Stream or equivalent.,"Bachelor of Arts in Mass Communication is 3-year duration course approved by University Grants Commission (UGC) and affiliated to University of Calicut, Malappuram."
6,"Pazhassi Raja College, Pulpally",Pulpally,Kerala,Master of Mass Communication and Journalism,2 years,Full time,20,PG,,,The student should have any bachelor degree.,"Master of Communication and Journalism is 2-year duration course approved by University Grants Commission (UGC) and affiliated to University of Calicut, Malappuram."
7,"IPS Institute of Professional Studies, Meerut",Meerut,Uttar Pradesh,Bachelor of Journalism,3 years,Full time,,UG,,,The candidate should have passed in 10+2 any stream.,Bachelor of Journalism is a three year full time course.
8,"IPS Institute of Professional Studies, Meerut",Meerut,Uttar Pradesh,PGD Media,1 year,Full time,,PG,,,The candidate should have passed in related graduation,PGD Media is a one year full time course.
9,"Balaji College of Arts Commerce and Science, Pune",Dattwadi,Maharashtra,Master of Journalism and Mass Communication,2 years,Full time,,PG,,,Candidates seeking admission to this programme must have passed any graduation from a recognized university.,"Master of Journalism and Mass Communication is a full-time two year course affiliated to Savitribai Phule Pune University, Pune and approved by UGC."
