,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Bharatiya Jain Sanghatana Arts Science and Commerce College, Pune",Pune,Maharashtra,Diploma in Journalism,3 years,Full time,,Diploma,,,The candidate should have passed in 10+2 any stream,"Diploma in Journalism is three years full time course and affiliated to Savitribai Phule Pune University, Pune."
1,"SES College, Sreekandapuram",Sreekandapuram,Kerala,Master of Communication and Journalism,2 years,Full time,25,PG,,,A pass in any degree with 45% of marks.,"Master of Communication and Journalism is two year full time course with affiliation of Kannur University, Kannur and approved by UGC."
2,"Devamatha Arts and Science College, Paisakary",Kannur,Kerala,BA English with Journalism,3 years,Full time,50,UG,0.63 lakhs,UGC,The candidate should have passed in 10+2 any stream,"Bachelor if Arts in English with Journalism is a three year full-time course affiliated to Kannur University, Kannur and approved by UGC."
3,"Tharananellur Arts and Science College, Irinjalakuda",Irinjalakuda,Kerala,BMMC,3 years,Full time,24,UG,,Government of Kerala,Plus Two or Equivalent with 45% marks in aggregate.,"Bachelor of multimedia Communication is a three-year full-time UG course offered by University of Calicut, Malappuram."
4,"Sree Narayana Guru College of Advanced Studies, Chuvannamannu",Pananchery,Kerala,Bachelor of Mass Communication and Journalism,3 years,Full time,30,UG,0.67 lakhs,,The candidate should have passed 10+2 any stream from any recognized college/ board.,"Bachelor of Mass Communication and Journalism is a three-year UG course Offered by University of Calicut, Malappuram"
5,"SNDP Yogam Arts and Science College, Pulpally",Pulpally,Kerala,BMMC,3 years,Full time,,UG,1.14 lakhs,,Candidates who have passed the Higher Secondary examination of the Kerala State Board of Higher Secondary Examination or any other examination recognised as equivalent thereto with not less than 45% marks in aggregate shall be eligible to apply for admission to the BMMC programme.,"Bachelor of Multimedia and Communications is three years full time course and affiliated to University of Calicut, Malappuram."
6,"Malabar Christian College, Calicut",Kozhikode,Kerala,MA Mass Communication and Journalism,2 years,Full time,,PG,,,The candidate should have passed graduation with related combination.,"MA Mass Communication and Journalism is two years full time course and affiliated to University of Calicut, Malappuram."
7,"Muhammed Abdurahiman Memorial Orphanage College, Mukkam",Manassery,Kerala,Master of Mass Communication and Journalism,2 years,Full time,,PG,,,The candidate should have passed graduation with related combination.,"Master of Mass Communication and Journalism is two years full time Self Finance course. Approved by UGC and affiliated to University of Calicut, Malappuram."
8,"Goverment Post Graduate Nehru College, Jhajjar",Jhajjarrural,Haryana,PG Diploma in Journalism and Mass Communication,1 year,Full time,,Diploma,,,"BA/B.Sc./B.Com. with 50% marks in aggregate or any examination recognised by M.D. University, Rohtak as equivalent thereto.","P.G Diploma in Journalism and Mass Communication is 1 year full time course with affiliation of Maharshi Dayanand University, Rohtak"
9,"Kishan Lal Public College, Rewari",Taorurural,Haryana,Bachelor of Journalism and Mass Communication Self Finance,3 years,Full time,40,UG,0.45 lakhs,,"Senior Secondary Examination of School Education, Haryana, Bhiwani i.e 10+2 with 45% marks in aggregate OR any other examination recognized by M.D. University, Rohtak as equivalent thereto.","Bachelor of Journalism and Mass Communication is 3 year Self Finance course offered by Maharishi Dayanand University, Rohtak"
10,"South Malda College, Malda",Malda,West Bengal,BA Mass Communication and Journalism Hons,3 years,Full time,18,UG,0.096 lakhs,UGC,The candidate should have passed 10+2 any stream from any recognized college/ board.,"Bachelor of Arts in Mass Communication and Journalism is a three-year full-time UG Honors course offered by University of Gour Banga, Mokdumpur and Approved by UGC
Subject Combination (You can choose any Two)
Economics, Education, History, Philosophy, Political Science, Sociology,
Elective Arabic Or Elective Bengali Or Elective English Or Elective Sanskrit"
11,"South Malda College, Malda",Malda,West Bengal,BA Mass Communication and Journalism Self Finance,3 years,Full time,19,UG,0.096 lakhs,UGC,The candidate should have passed 10+2 any stream from any recognized college/ board.,"Bachelor of Arts in Mass Communication and Journalism Self Finance is a three-year full-time UG course offered by University of Gour Banga, Mokdumpur and Approved by UGC
Subject Combination (You can choose any Three)
Mass communication journalism
Elective Arabic or elective Bengali or elective English or elective Sanskrit Economics or education or history or philos...See More"
12,"Chandrapur College, Chandrapur",Chandrapur,West Bengal,BA Mass Communication and Journalism Hons,3 years,Full time,25,UG,0.38 lakhs,UGC,The candidate should have passed 10+2 any stream from any recognized college/ board.,"Bachelor of Arts in Mass Communication and Journalism is a three-year full-time UG course offered by University of Burdwan, Bardhaman"
13,"Government Degree College Boys, Baramulla",Baramulla,Jammu and Kashmir,BA Mass Communication and Video Production,3 years,Full time,,UG,,,The candidate should have passed in 10+2 related stream.,BA Mass Communication and Video Production is a three year full time course.
14,"Government Degree College Boys, Baramulla",Baramulla,Jammu and Kashmir,Mass Communication and Multimedia Production,3 years,Full time,,UG,,,The candidate should have passed in 10+2 related stream.,Bachelor of Mass Media and Mass Communication is a 3 year full time course.
15,"Government College for Women, Srinagar",Srinagar,Jammu and Kashmir,Bachelor of Journalism and Mass Communication,3 years,Full time,,UG,,,The candidate should have passed in 10+2 with the relevant subject.,Bachelor of Journalism and Mass Communication is full time three year course
16,"Amar Shaheed Baba Ajit Singh Jujhar Singh Memorial College, Ropar",Bela,Punjab,Post Graduate Diploma Journalism and Mass Communication,2 years,Full time,,Diploma,,,The candidate seeking admission to the postgraduate Diploma in Journalism and mass communication must have a bachelor’s degree in any stream. The candidate must have passed Punjabi up to Matric level.,"Post Graduate Diploma Journalism and Mass Communication is a 2 years full-time course by Punjabi University, Patiala and approved by UGC"
17,"Fakir Mohan Autonomous College, Balasore",Balasore,Odisha,Diploma in Journalism and Mass Communication Self Finance,2 years,Full time,,Diploma,,UGC,Graduation from any recognized university with relevant subjects.,"Diploma in Journalism and Mass Communication Self Finance is a full time two year course affiliated to Fakir Mohan University, Balasore and approved by UGC."
18,"Banarsi Dass Arya Girls College, Jalandhar",Jalandhar,Punjab,B.Voc Mass Communication and Video Production,3 years,Full time,,UG,,,10+2 from any Recognized Board with relevant subjects.,It is a three year full time course.
19,"Swahid Peoli Phukan College, Namti",Namti Chariali,Assam,Bachelor of Mass Communication,3 years,Distance,,UG,,,"The candidate should have passed in 10+2 with the relevant subject. And RESERVATION FOR ADMISSION AS PER GOVERNMENT RULE ST (Plain) 7.5%, Differently able 03%, S. T (Hill) 7.5%, Tea Garden Student 05%, S.C 15%, MOBC/OBC 27%",Bachelor of Mass Communication is a full-time three year course affiliated to K.Krishna Kanta Handiqui State Open University. This is a distance education programme.
20,"Bahona College, Jorhat",Bahona,Assam,Diploma Programm in Assamese Journalism,2 years,Full time,,Diploma,,,The candidate should have passed in 10+2 with the relevant subject.,Diploma Programm in Assamese Journalism is a full-time two year course affiliated to K.K. Handique State Open University and approved by UGC.
21,"Bahona College, Jorhat",Bahona,Assam,Diploma in Journalism and Mass Communication,2 years,Distance,,Diploma,,,The candidate should have passed in 10+2 with the relevant subject.,Diploma in Journalism and Mass Communication is a full-time two year course affiliated to K.K. Handique State Open University and approved by UGC.
22,"Guru Nanak Khalsa College, Yamuna Nagar",Yamuna Nagar,Haryana,BA Mass Communication Self Finance,3 years,Full time,,UG,,UGC,The candidate should have passed 10+2 any stream from any recognized college/ board.,"Bachelor of Arts in Mass Communication is a three-year full-time UG Self Finance course offered by University of Madras, Chennai and Approved by UGC"
23,"DAV College for Girls, Yamunanagar",Yamuna Nagar,Haryana,BA Mass Communication Hons,3 years,Full time,,UG,0.63 lakhs,UGC,"A person who has passed Senior Secondary Certificate Examination (10+2 Standard) from the Board of School Education, Haryana or its equivalent examination with English as one of the subjects with at least 50% marks in the aggregate shall be eligible to join the first year of Mass Communication Course.﻿","Bachelor of Arts in Mass Communication is a three-year full-time UG Honors course offered by Kurukshetra University, Kurukshetra and Approved by UGC"
24,"Shah Satnam Ji PG Boys College, Sirsa",Sirsa,Haryana,BA Mass Communication,3 years,Full time,40,UG,,,The candidate should have Passed 10+2 Examination from any board/university with at least 45% marks in any stream,"Bachelor of Arts in Mass Communication is a three-year full-time UG course offered by Chaudhary Devi Lal University, Sirsa"
25,"Shah Satnam Ji PG Boys College, Sirsa",Sirsa,Haryana,MA Mass Communication,2 years,Full time,20,PG,,,The candidate should have passed Bachelors from any board/university with at least 50% marks,"Master of Arts in Mass Communication is a two years full-time PG course offered by Chaudhary Devi Lal University, Sirsa"
26,"Dum Dum Motijheel Rabindra Mahavidyalaya, Kolkata",Kolkata,West Bengal,BA Mass Communication and Journalism Hons,3 years,Full time,22,UG,0.074 lakhs,UGC,Candidates passing Higher Secondary Examination or any other equivalent board/council.,"BA Mass Communication and Journalism Hons is 3-year duration full-time course approved by UGC and affiliated to West Bengal State University, Kolkata."
27,"Hiralal Majumdar Memorial College for Women, Kolkata",Kolkata,West Bengal,BA Journalism and Mass Communication Hons,3 years,Full time,41,UG,0.215 lakhs,UGC,"General Candidate : - The candidate should have 55 % in Subject or (50% in Aggregate and 45 % in subject).
SC/ST Candidate : - The candidate should have 40 % in Aggregate and 40 % in the subject.","Bachelor of Arts in Journalism and Mass Communication Hons is 3-year duration full-time course approved by UGC and affiliated to West Bengal State University, Kolkata."
28,"Ganesh Shankar Vidyarthi Subharti Institute of Journalism and Mass Communication, Meerut",Meerut,Uttar Pradesh,Bachelor of Journalism and Mass Communication,3 years,Full time,,UG,1.23 lakhs,,The candidate should have passed in 10+2 with any Stream,"Bachelor of Journalism and Mass Communication is 3 year full time course with affiliation of Swami Vivekanand Subharti University, Meerut and approved by UGC."
