,dist_id,district
220,dis_1220,Khagaria
221,dis_1221,Bhagalpur
222,dis_1222,Banka
223,dis_1223,Munger
224,dis_1224,Lakhisarai
225,dis_1225,Sheikhpura
226,dis_1226,Nalanda
227,dis_1227,Patna
228,dis_1228,Bhojpur
229,dis_1229,Buxar
230,dis_1230,Kaimur (Bhabua)
231,dis_1231,Rohtas
232,dis_1232,Aurangabad
233,dis_1233,Gaya
234,dis_1234,Nawada
235,dis_1235,Jamui
236,dis_1236,Jehanabad
237,dis_1237,Arwal
238,dis_1238,West District
239,dis_1239,South District
240,dis_1240,East District
241,dis_1241,West Kameng
242,dis_1242,East Kameng
243,dis_1243,Papum Pare
244,dis_1244,Upper Subansiri
245,dis_1245,West Siang
246,dis_1246,East Siang
247,dis_1247,Changlang
248,dis_1248,Tirap
249,dis_1249,Lower Subansiri
250,dis_1250,Kurung Kumey
251,dis_1251,Lower Dibang Valley
252,dis_1252,Lohit
253,dis_1253,Mon
254,dis_1254,Mokokchung
255,dis_1255,Zunheboto
256,dis_1256,Wokha
257,dis_1257,Dimapur
258,dis_1258,Phek
259,dis_1259,Tuensang
260,dis_1260,Longleng
261,dis_1261,Kiphire
262,dis_1262,Kohima
263,dis_1263,Peren
264,dis_1264,Senapati
265,dis_1265,Tamenglong
266,dis_1266,Churachandpur
267,dis_1267,Bishnupur
268,dis_1268,Thoubal
269,dis_1269,Imphal West
270,dis_1270,Imphal East
271,dis_1271,Ukhrul
272,dis_1272,Chandel
273,dis_1273,Mamit
274,dis_1274,Kolasib
275,dis_1275,Aizawl
276,dis_1276,Champhai
277,dis_1277,Serchhip
278,dis_1278,Lunglei
279,dis_1279,Lawngtlai
280,dis_1280,Saiha
281,dis_1281,West Tripura
282,dis_1282,South Tripura
283,dis_1283,Dhalai
284,dis_1284,North Tripura
285,dis_1285,West Garo Hills
286,dis_1286,East Garo Hills
287,dis_1287,West Khasi Hills
288,dis_1288,Ribhoi
289,dis_1289,East Khasi Hills
290,dis_1290,East Jaintia Hills
291,dis_1291,Kokrajhar
292,dis_1292,Dhubri
293,dis_1293,Goalpara
294,dis_1294,Barpeta
295,dis_1295,Morigaon
296,dis_1296,Nagaon
297,dis_1297,Sonitpur
298,dis_1298,Lakhimpur
299,dis_1299,Dhemaji
300,dis_1300,Tinsukia
301,dis_1301,Dibrugarh
302,dis_1302,Sivasagar
303,dis_1303,Jorhat
304,dis_1304,Golaghat
305,dis_1305,Karbi Anglong
306,dis_1306,Dima Hasao
307,dis_1307,Cachar
308,dis_1308,Karimganj
309,dis_1309,Hailakandi
310,dis_1310,Bongaigaon
311,dis_1311,Chirang
312,dis_1312,Kamrup
313,dis_1313,Kamrup Metropolitan
314,dis_1314,Nalbari
315,dis_1315,Baksa
316,dis_1316,Darrang
317,dis_1317,Udalguri
318,dis_1318,Darjiling
319,dis_1319,Jalpaiguri
320,dis_1320,Koch Bihar
321,dis_1321,Uttar Dinajpur
322,dis_1322,Dakshin Dinajpur
323,dis_1323,Maldah
324,dis_1324,Murshidabad
325,dis_1325,Birbhum
326,dis_1326,Barddhaman
327,dis_1327,Nadia
328,dis_1328,North Twenty Four Parganas
329,dis_1329,Hugli
330,dis_1330,Bankura
331,dis_1331,Puruliya
332,dis_1332,Haora
333,dis_1333,Kolkata
334,dis_1334,South Twenty Four Parganas
335,dis_1335,Paschim Medinipur
336,dis_1336,Purba Medinipur
337,dis_1337,Garhwa
338,dis_1338,Chatra
339,dis_1339,Kodarma
340,dis_1340,Giridih
341,dis_1341,Deoghar
342,dis_1342,Godda
343,dis_1343,Sahibganj
344,dis_1344,Pakur
345,dis_1345,Dhanbad
346,dis_1346,Bokaro
347,dis_1347,Lohardaga
348,dis_1348,Purbi Singhbhum
349,dis_1349,Palamu
350,dis_1350,Latehar
351,dis_1351,Hazaribagh
352,dis_1352,Ramgarh
353,dis_1353,Dumka
354,dis_1354,Jamtara
355,dis_1355,Ranchi
356,dis_1356,Khunti
357,dis_1357,Gumla
358,dis_1358,Simdega
359,dis_1359,Pashchimi Singhbhum
360,dis_1360,Saraikela-Kharsawan
361,dis_1361,Bargarh
362,dis_1362,Jharsuguda
363,dis_1363,Sambalpur
364,dis_1364,Debagarh
365,dis_1365,Sundargarh
366,dis_1366,Kendujhar
367,dis_1367,Mayurbhanj
368,dis_1368,Baleshwar
369,dis_1369,Bhadrak
370,dis_1370,Kendrapara
371,dis_1371,Jagatsinghapur
372,dis_1372,Cuttack
373,dis_1373,Jajapur
374,dis_1374,Dhenkanal
375,dis_1375,Anugul
376,dis_1376,Nayagarh
377,dis_1377,Khordha
378,dis_1378,Puri
379,dis_1379,Ganjam
380,dis_1380,Gajapati
381,dis_1381,Kandhamal
382,dis_1382,Baudh
383,dis_1383,Subarnapur
384,dis_1384,Balangir
385,dis_1385,Nuapada
386,dis_1386,Kalahandi
387,dis_1387,Rayagada
388,dis_1388,Nabarangapur
389,dis_1389,Koraput
390,dis_1390,Malkangiri
391,dis_1391,Koriya
392,dis_1392,Surguja
393,dis_1393,Jashpur
394,dis_1394,Raigarh
395,dis_1395,Korba
396,dis_1396,Janjgir - Champa
397,dis_1397,Kabeerdham
398,dis_1398,Rajnandgaon
399,dis_1399,Durg
400,dis_1400,Raipur
401,dis_1401,Mahasamund
402,dis_1402,Dhamtari
403,dis_1403,Uttar Bastar Kanker
404,dis_1404,Bastar
405,dis_1405,Narayanpur
406,dis_1406,Dakshin Bastar Dantewada
407,dis_1407,Bijapur
408,dis_1408,Sheopur
409,dis_1409,Morena
410,dis_1410,Bhind
411,dis_1411,Gwalior
412,dis_1412,Datia
413,dis_1413,Shivpuri
414,dis_1414,Tikamgarh
415,dis_1415,Chhatarpur
416,dis_1416,Panna
417,dis_1417,Sagar
418,dis_1418,Damoh
419,dis_1419,Satna
420,dis_1420,Rewa
421,dis_1421,Umaria
422,dis_1422,Neemuch
423,dis_1423,Mandsaur
424,dis_1424,Ratlam
425,dis_1425,Ujjain
426,dis_1426,Shajapur
427,dis_1427,Dewas
428,dis_1428,Dhar
429,dis_1429,Indore
430,dis_1430,Khargone
431,dis_1431,Barwani
432,dis_1432,Rajgarh
433,dis_1433,Vidisha
434,dis_1434,Bhopal
435,dis_1435,Sehore
436,dis_1436,Raisen
437,dis_1437,Betul
438,dis_1438,Harda
439,dis_1439,Hoshangabad
440,dis_1440,Katni
441,dis_1441,Jabalpur
442,dis_1442,Narsimhapur
443,dis_1443,Dindori
444,dis_1444,Mandla
445,dis_1445,Chhindwara
446,dis_1446,Seoni
447,dis_1447,Balaghat
448,dis_1448,Guna
449,dis_1449,Ashoknagar
450,dis_1450,Shahdol
451,dis_1451,Anuppur
452,dis_1452,Sidhi
453,dis_1453,Singrauli
454,dis_1454,Jhabua
455,dis_1455,Alirajpur
456,dis_1456,Khandwa
457,dis_1457,Burhanpur
458,dis_1458,Kachchh
459,dis_1459,Banas Kantha
460,dis_1460,Patan
461,dis_1461,Mahesana
462,dis_1462,Sabar Kantha
463,dis_1463,Gandhinagar
464,dis_1464,Ahmadabad
465,dis_1465,Surendranagar
466,dis_1466,Rajkot
467,dis_1467,Jamnagar
468,dis_1468,Porbandar
469,dis_1469,Junagadh
470,dis_1470,Amreli
471,dis_1471,Bhavnagar
472,dis_1472,Anand
473,dis_1473,Kheda
474,dis_1474,Panch Mahals
475,dis_1475,Dohad
476,dis_1476,Vadodara
477,dis_1477,Narmada
478,dis_1478,Bharuch
479,dis_1479,The Dangs
480,dis_1480,Navsari
481,dis_1481,Valsad
482,dis_1482,Surat
483,dis_1483,Tapi
484,dis_1484,Diu
485,dis_1485,Daman
486,dis_1486,Dadra & Nagar Haveli
487,dis_1487,Nandurbar
488,dis_1488,Dhule
489,dis_1489,Jalgaon
490,dis_1490,Buldana
491,dis_1491,Akola
492,dis_1492,Washim
493,dis_1493,Amravati
494,dis_1494,Wardha
495,dis_1495,Nagpur
496,dis_1496,Bhandara
497,dis_1497,Gondiya
498,dis_1498,Gadchiroli
499,dis_1499,Chandrapur
500,dis_1500,Yavatmal
501,dis_1501,Nanded
502,dis_1502,Hingoli
503,dis_1503,Parbhani
504,dis_1504,Jalna
505,dis_1505,Nashik
506,dis_1506,Thane
507,dis_1507,Mumbai Suburban
508,dis_1508,Mumbai
509,dis_1509,Pune
510,dis_1510,Ahmadnagar
511,dis_1511,Bid
512,dis_1512,Latur
513,dis_1513,Osmanabad
514,dis_1514,Solapur
515,dis_1515,Satara
516,dis_1516,Ratnagiri
517,dis_1517,Sindhudurg
518,dis_1518,Kolhapur
519,dis_1519,Sangli
520,dis_1520,Adilabad
521,dis_1521,Nizamabad
