,university_id,university
112,UV112,"Uttaranchal Sanskrit University, Hardwar"
113,UV113,"SRI DEV SUMAN UTTARAKHAND UNIVERSITY, BADSHAHITHOL, TEHRI"
114,UV114,SWAMI RAMA HIMALAYAN UNIVERSITY
115,UV115,"Uttrakhand Technical University, Dehradun"
116,UV116,"Hemwati Nandan Bahuguna Garhwal Univeristy, Srinagar, Garhwal"
117,UV117,HEMWATI NANDAN BAHUGUNA MEDICAL EDUCATION UNIVERSITY
118,UV118,"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar"
119,UV119,"UTTARAKHAND UNIVERSITY OF HORTICULTURE AND FORESTRY, BHARSAR"
120,UV120,"I K Gujral Punjab Technical University, Jalandhar"
121,UV121,"Punjabi University, Patiala"
122,UV122,"Guru Nanak Dev University, Amritsar"
123,UV123,"Panjab University,Chandigarh"
124,UV124,MAHARAJA RANJIT SINGH STATE TECHNICAL UNIVERSITY
125,UV125,"Guru Angad Dev Veterinary & Animal Sciences University, Ludhiana"
126,UV126,"CHAUDHARY RANBIR SINGH UNIVERSITY, JIND"
127,UV127,Pt. Bhagwat Dayal Sharma University of Health Sciences
128,UV128,"Kurukshetra University, Kurukshetra"
129,UV129,"Guru  Jambheshwar University of Science and Technology, Hissar"
130,UV130,"Chaudhary Charan Singh Haryana Agricultural University, Hisar"
131,UV131,"Deenbandhu Chhotu Ram University of Science & Technology, Murthal(Sonepat)"
132,UV132,"Maharshi Dayanand University, Rohtak"
133,UV133,"Bhagat Phool Singh  Mahila University, Khanpur Kalan, Sonipat"
134,UV134,"Ch. Devi Lal University, Sirsa"
135,UV135,CHAUDHARY BANSI LAL UNIVERSITY
136,UV136,Guru Gobind Singh Indraprastha University
137,UV137,"North Orissa University, Mayurbhanj"
138,UV138,"Fakir Mohan University, Balasore"
139,UV139,"Berhampur University, Berhampur"
140,UV140,"Utkal University, Bhubaneswar"
141,UV141,"RAMA DEVI WOMEN'S UNIVERSITY, BHUBANESWAR"
142,UV142,"Sambalpur University, Sambalpur"
143,UV143,"Shri Jagannath Sanskrit Vishwavidyalaya, Puri"
144,UV144,"Utkal University of Culture, Bhubaneswar"
145,UV145,"Biju Patnaik University of Technology, Rourkela"
146,UV146,Centurion University of Technology and Management
147,UV147,"Himachal Pradesh University , Shimla"
148,UV148,"Himachal Pradesh Technical University, Hamirpur"
149,UV149,"Mahatma Gandhi University, Kottayam"
150,UV150,"Calicut University, Thenhipalem, Malapuram"
151,UV151,KERALA UNIVERSITY OF HEALTH AND ALLIED SCIENCES
152,UV152,A P J ABDUL KALAM TECHNOLOGICAL UNIVERSITY
153,UV153,"Cochin University of Science & Technology, Kochi"
154,UV154,"Central Univeristy of Kerala, Kasaragod"
155,UV155,"Kerala University, Thiruvananthapuram"
156,UV156,"Kerala Agricultural University, Thrissur"
157,UV157,"Kannur University, Kannur"
158,UV158,"Calcutta University, Kolkata"
159,UV159,"The West Bengal University of Health Sciences, Kolkata"
160,UV160,"Vidya Sagar University, Midnapore"
161,UV161,"Ramakrishna Mission Vivekananda Educational  and Research Institute, Howrah"
162,UV162,Sidho-Kanho Birsa University
163,UV163,"THE WEST BENGAL UNIVERSITY OF TEARCHERS TRAINING, EDUCATION PLANNING AND ADMINISTRATION"
164,UV164,"University of Gour Banga, Malda"
165,UV165,"Burdwan University, Burdwan"
166,UV166,"North Bengal University, Darjeeling"
167,UV167,"Maulana Abul Kalam Azad University of Technology, West Bengal"
168,UV168,"Central Institute of Fisheries Education, Fishries University, Mumbai"
169,UV169,"Kalyani University, Kalyani"
170,UV170,"Birla Institute of Technology, Ranchi"
171,UV171,"Indian Institute of Foreign Trade, Delhi"
172,UV172,"Jadavpur University, Kolkata"
173,UV173,"West Bengal State University, Kolkata"
174,UV174,"BANKURA UNIVERSITY, BANKURA"
175,UV175,"Rabindra Bharati University, Kolkata"
176,UV176,"Bharathiar University, Coimbatore"
177,UV177,"KAZI NAZRUL UNIVERSITY, ASANSOL"
178,UV178,"Aligarh Muslim University, Aligarh"
179,UV179,COOCH BEHAR PANCHANAN BARMA UNIVERSITY
180,UV180,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur"
181,UV181,ALLAHABAD STATE UNIVERSITY
182,UV182,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi"
183,UV183,"SIDDHARTH UNIVERSITY, KAPILVASTU"
184,UV184,"Dr. B. R. Ambedkar University, Agra"
185,UV185,"Veer Bahadur Singh Purvanchal University, Jaunpur"
186,UV186,"Choudhary Charan Singh University, Meerut"
187,UV187,"Dr. Ram Manohar Lohia  Awadh University, Faizabad"
188,UV188,"Mahatama Jyotiba Phule Rohikhand University, Bareilly"
189,UV189,"Bundelkhand University,  Jhansi"
190,UV190,"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur"
191,UV191,"Integral University, Lucknow"
192,UV192,"Uttar Pradesh Technical University, Lucknow"
193,UV193,"University of Allahabad, Allahabad"
194,UV194,KING GEORGE MEDICAL UNIVERSITY
195,UV195,"Dayalbagh Educational Institute, Agra"
196,UV196,"Teerthanker Mahaveer University, Moradabad"
197,UV197,"Banaras Hindu University, Banaras"
198,UV198,"Magadh University, Bodh Gaya"
199,UV199,"Bhupendra Narayan Mandal University, Madhepura"
