,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"RRMK Arya Mahila Mahavidyalaya, Pathankot",Pathankot,Punjab,M.Sc Fashion Designing,2 years,Full time,,PG,,UGC,Candidates must be Bachelor of Science passed from a recognized university.,Master of Science (M.Sc) Fashion Designing is a full-time two years course affiliated to Guru Nanak Dev University and approved by UGC.
1,"RRMK Arya Mahila Mahavidyalaya, Pathankot",Pathankot,Punjab,PGD Garment Construction and Fashion Designing,1 year,Full time,,PG,,,45% marks in aggregate,Post Graduate Diploma Garment Construction and Fashion Designing is a full time one year course.
2,"Mata Sahib Kaur Girls College, Gehal",Gehal,Punjab,PGD Dress Designing and Tailoring,1 year,Full time,,Diploma,,,The candidate should have passed in the graduate degree in any recognized university.,"Post Graduate Diploma In Dress Designing and Tailoring is full time one year course diploma offered by Punjabi University, Patiala."
3,"SD Kanya Mahavidyala, Mansa",Mansa,Punjab,PGD Dress Designing and Tailoring,1 year,Full time,30,Diploma,,UGC,The candidate should have passed in the graduate degree in any recognized university.,"Post Graduate Diploma in Dress Designing and Tailoring is full time one year course degree offered by Punjabi University, Patiala and approved by UGC."
4,"ARYA Institute of Management and Technology, Phagwara",Phagwara,Punjab,BAMT,3 years,Full time,30,UG,,,"The applicant should have passed the 10 + 2 or equivalent examination in any stream, conducted by a Recognized Board/ University/ Council.ORApplicants should have passed the Matriculation Examination followed up with a 3 year Diploma in any trade from the Punjab State Board of Technical Education & Industrial Training, Chandigarh/ Sant Longowal Institute of Engineering & Technology, Longowal or such examinations from any other Recognized State Board of Technical Education.","Bachelor of Animation Multimedia Technology is full time three year course degree offered by IK Gujral Punjab Technical University, Jalandhar."
5,"Baba KhajanDas College of Management Technology, Ludhiana",Bhutta,Punjab,BAMT,3 years,Full time,60,UG,1.92 lakhs,,"The applicant should have passed the 10 + 2 or equivalent examination in any stream, conducted by a Recognized Board / University /Council + Basics of Computers","Bachelors in Animation and Multimedia Technology is full time three year course degree offered by IK Gujral Punjab Technical University, Jalandhar."
6,"Vidya Jyoti Educational Society, Dera Bassi",Dera Bassi,Punjab,Bachelor in Animation and Multimedia Technology,3 years,Full time,,UG,,UGC,The candidate should have passed in 10+2 in any recognized board.,"Bachelor in Animation and Multimedia Technology is full time three year course degree offered by Uttarakhand Technical University, Dehradun and approved by UGC."
7,"Vidya Jyoti Educational Society, Dera Bassi",Dera Bassi,Punjab,Bachelor in Fashion Design,3 years,Full time,,UG,,UGC,The candidate should have passed in 10+2 in any recognized board.,"Bachelor in Fashion Design is full time three year course degree offered by Uttarakhand Technical University, Dehradun and approved by UGC."
8,"Vidya Jyoti Educational Society, Dera Bassi",Dera Bassi,Punjab,Bachelor in Graphic Design,3 years,Full time,,UG,,UGC,The candidate should have passed in 10+2 in any recognized board.,"Bachelor in Graphic Design is full time three year course degree offered by Uttarakhand Technical University, Dehradun
and approved by UGC."
9,"Vidya Jyoti Educational Society, Dera Bassi",Dera Bassi,Punjab,Master in Animation and Multimedia Technology,3 years,Full time,,PG,,UGC,The candidate should have passed in the graduate degree in any recognized university.,"Master in Animation and Multimedia Technology is full time three year course degree offered by Uttarakhand Technical University, Dehradun and approved by UGC."
