,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
33,"Government Residential Women's Polytechnic College, Yavatmal",Yavatmal,Maharashtra,Diploma In Dress Designing and Garment Manufacturing,3 years,Full time,60,Diploma,0.18 lakhs,(AICTE) All India Council of Technical Education,The candidate is passed 10th standard or equivalent examination from recognised board with Minimum 35% Marks,"Diploma In Dress Designing and Garment Manufacturing is a full-time three years duration course Affiliated to Maharashtra State Board of Technical Education, Mumbai Approved by AICTE."
34,"Government Residence Women Polytechnic, Tasgaon",Tasgaon,Maharashtra,Diploma in Dress Designing and Garment Manufacturing,3 years,Full time,60,Diploma,0.23 lakhs,(AICTE) All India Council of Technical Education,The candidate is passed 10th standard or equivalent examination from recognised board with Minimum 35% Marks,"Diploma in Dress Designing and Garment Manufacturing is a full-time three years duration course Affiliated to Maharashtra State Board of Technical Education, Mumbai Approved by AICTE."
35,"Government Women's Polytechnic College, Kozhikode",Kozhikode,Kerala,Diploma in Fashion Design,3 years,Full time,,Diploma,,,The candidates who complete the Xth Standard are eligible for admission.,Diploma in Fashion Design is full time three year course
36,"Siga Polytechnic College, Chennai",Chennai,Tamil Nadu,Diploma in Indian Craft Design,3 years,Full time,,Diploma,,,Candidate must have passed 10th Examination from recognized board,Diploma in Indian Craft Design is full-time three-year course
37,"Siga Polytechnic College, Chennai",Chennai,Tamil Nadu,Diploma in Packaging Design,3 years,Full time,,Diploma,,,Candidate must have passed 10th Examination from recognized board,Diploma in Packaging Design is full-time three-year course
38,"Siga Polytechnic College, Chennai",Chennai,Tamil Nadu,PGD Art and Design,1 year,Full time,,Diploma,,,Candidate must have passed any bachelor degree/diploma from recognized institute,P.G Diploma in Art and Design is full-time one year course
39,"Government Polytechnic, Beronkhal Pauri Garhwal",Pauri Garhwal,Uttarakhand,Diploma in Fashion Design,3 years,Full time,,Diploma,0.17 lakhs,,The Candidate should have passed 10th with 35% marks for admission in this course.,Diploma in Fashion Design is 3 years full time course
40,"Government Polytechnic, Beronkhal Pauri Garhwal",Pauri Garhwal,Uttarakhand,Diploma in Textile Design,3 years,Full time,,Diploma,0.17 lakhs,,The Candidate should have passed 10th with 35% marks for admission in this course.,Diploma in Textile Design is 3 years full time course .
41,"Government Polytechnic, Sahiya",Sahiya,Uttarakhand,Diploma in Fashion Design,,Full time,,Diploma,,,Candidate must have passed high school examination with minimum 35% marks from recognized board,Diploma in Fashion Design is full time three year course
42,"General Shivdev Singh Diwan Gurbachan Singh Khalsa College, Patiala",Patiala,Punjab,M.Sc Fashion Design and Technology,2 years,Full time,30,PG,0.7 lakhs,UGC,The candidate should have Graduation in any Stream.,"M.Sc Fashion Design and Technology is 2-year duration full-time course offered by Punjabi University, Patiala and approved by University Grants Commission (UGC)."
43,"Sri Vijay Vidyalaya College of Arts and Science, Dharmapuri",Nallampalli,Tamil Nadu,B.Sc Textile and Fashion Designing,3 years,Full time,,UG,,UGC,The candidate should have passed in 10+2 science stream.,B.Sc Textile and Fashion Designing is full time three year undergraduate degree course
44,"Holy Cross Institute of Management and Technology, Calicut",Kozhikode,Kerala,Advanced Diploma in Fashion Designing,1 year,Full time,,Diploma,,,The candidate should have passed 10+2 and above.,"It is 1-year duration full-time English medium course affiliated to University of Calicut, Malappuram."
45,"Holy Cross Institute of Management and Technology, Calicut",Kozhikode,Kerala,B.Sc Costume and Fashion Designing,3 years,Full time,,UG,1.17 lakhs,,A Plus 2 pass or equivalent (any stream).,"B.Sc Costume and Fashion Designing is 3-year duration full-time course affiliated to University of Calicut, Malappuram."
46,"Holy Cross Institute of Management and Technology, Calicut",Kozhikode,Kerala,M.Sc Apparel Designing and Technology,2 years,Full time,,PG,1.4 lakhs,,The candidate should have any Degree with 50% marks.,"M.Sc Apparel Design and Technology is a two-year programme affiliated to University of Calicut, Malappuram."
