"""B.S.M.S.-Bachelor of Sridhar Medicine and Surgery""","""B.S.M.S.-Bachelor of Sridhar Medicine and Surgery""","""B.S.M.S.""","""Bachelor of Sridhar Medicine and Surgery""","""BSMS"""
"""M.O.L. -Master of Oriental Learning""","""M.O.L. -Master of Oriental Learning""","""M.O.L. ""","""Master of Oriental Learning""","""MOL """
"""C.P.A.-Certified Public""","""C.P.A.-Certified Public""","""C.P.A.""","""Certified Public""","""CPA"""
"""Vidhyalankar-Vidhyalankar""","""Vidhyalankar-Vidhyalankar""","""Vidhyalankar""","""Vidhyalankar""","""Vidhyalankar"""
"""Samaj Vidya Visharad-Samaj Vidya Visharad""","""Samaj Vidya Visharad-Samaj Vidya Visharad""","""Samaj Vidya Visharad""","""Samaj Vidya Visharad""","""Samaj Vidya Visharad"""
"""Shikshan Parangat-Shikshan Parangat""","""Shikshan Parangat-Shikshan Parangat""","""Shikshan Parangat""","""Shikshan Parangat""","""Shikshan Parangat"""
"""Shiksha Visharad-Shiksha Visharad""","""Shiksha Visharad-Shiksha Visharad""","""Shiksha Visharad""","""Shiksha Visharad""","""Shiksha Visharad"""
"""D.Phil.-Doctor of Philosophy""","""D.Phil.-Doctor of Philosophy""","""D.Phil.""","""Doctor of Philosophy""","""DPhil"""
"""M.U.P.-Master of Urban Planning""","""M.U.P.-Master of Urban Planning""","""M.U.P.""","""Master of Urban Planning""","""MUP"""
"""L.L.D.-Doctor of Laws""","""L.L.D.-Doctor of Laws""","""L.L.D.""","""Doctor of Laws""","""LLD"""
"""Anu Parangat -Anu Parangat""","""Anu Parangat -Anu Parangat""","""Anu Parangat ""","""Anu Parangat""","""Anu Parangat """
"""B.Ch.E.-Bachelor of Chemical Engineering""","""B.Ch.E.-Bachelor of Chemical Engineering""","""B.Ch.E.""","""Bachelor of Chemical Engineering""","""BChE"""
"""M.P.S. -Master of Population Studies""","""M.P.S. -Master of Population Studies""","""M.P.S. ""","""Master of Population Studies""","""MPS """
"""D.Mus.-Doctor of Music""","""D.Mus.-Doctor of Music""","""D.Mus.""","""Doctor of Music""","""DMus"""
"""M.B.A.[Pharma. Tech.]-Master of Business Administration in Pharmaceutical Technology""","""M.B.A.[Pharma. Tech.]-Master of Business Administration in Pharmaceutical Technology""","""M.B.A.[Pharma. Tech.]""","""Master of Business Administration in Pharmaceutical Technology""","""MBA[Pharma Tech]"""
"""B.Chem.Tech.-Bachelor of Chemical Technology""","""B.Chem.Tech.-Bachelor of Chemical Technology""","""B.Chem.Tech.""","""Bachelor of Chemical Technology""","""BChemTech"""
"""M.T.P.M.-Master in Transportation Planning and Management""","""M.T.P.M.-Master in Transportation Planning and Management""","""M.T.P.M.""","""Master in Transportation Planning and Management""","""MTPM"""
