"""naraingarh""","""naraingarh"""
"""yamunanagar""","""yamunanagar"""
"""agroha""","""agroha"""
"""dhrol""","""dhrol"""
"""cheeka""","""cheeka"""
"""ambala city""","""ambala city"""
"""thanesar""","""thanesar"""
"""tal rajkot city  rajkot""","""tal rajkot city  rajkot"""
"""kaul""","""kaul"""
"""kaithal""","""kaithal"""
"""jagadhri""","""jagadhri"""
"""barwala""","""barwala"""
"""uchana""","""uchana"""
"""pattikalyana""","""pattikalyana"""
"""shahabad markanda""","""shahabad markanda"""
"""ambala cantt""","""ambala cantt"""
"""barara""","""barara"""
"""panjokhra sahib""","""panjokhra sahib"""
"""himmatnagar""","""himmatnagar"""
"""bilaspur near jagadhri""","""bilaspur near jagadhri"""
"""radaur""","""radaur"""
"""jagahdri""","""jagahdri"""
"""samalkha""","""samalkha"""
"""panchkula""","""panchkula"""
"""israna""","""israna"""
"""ladwa""","""ladwa"""
"""pundri""","""pundri"""
"""opp sec pipli road kurukshetra""","""opp sec pipli road kurukshetra"""
"""indri""","""indri"""
"""hissar""","""hissar"""
"""mustafabad""","""mustafabad"""
"""julana""","""julana"""
"""siwan""","""siwan"""
"""hansi""","""hansi"""
"""guwahati""","""guwahati"""
"""shahjahanpur""","""shahjahanpur"""
"""assandh""","""assandh"""
"""near chandlana""","""near chandlana"""
"""modasa""","""modasa"""
"""abmala""","""abmala"""
"""pehowa""","""pehowa"""
"""mullana""","""mullana"""
"""safidon""","""safidon"""
"""tehsil shahabad""","""tehsil shahabad"""
"""nissing""","""nissing"""
"""kalka""","""kalka"""
"""pinjore""","""pinjore"""
"""baripada""","""baripada"""
"""keonjhar""","""keonjhar"""
"""karanjia""","""karanjia"""
"""rairangpur""","""rairangpur"""
"""udala""","""udala"""
"""bariada""","""bariada"""
"""anandapur""","""anandapur"""
"""viadhenkikote""","""viadhenkikote"""
"""kaptipada""","""kaptipada"""
"""bisoi""","""bisoi"""
"""mayurbhanj""","""mayurbhanj"""
"""champua""","""champua"""
"""kendujhar""","""kendujhar"""
"""barbil""","""barbil"""
"""jharpokharia""","""jharpokharia"""
"""turumunga""","""turumunga"""
"""khunta""","""khunta"""
"""raruan""","""raruan"""
"""joda""","""joda"""
"""thakurmunda""","""thakurmunda"""
"""bhubaneswar""","""bhubaneswar"""
"""badampahar""","""badampahar"""
"""bahalda""","""bahalda"""
"""sukruli""","""sukruli"""
"""kolhapur""","""kolhapur"""
"""satara""","""satara"""
"""warananagar""","""warananagar"""
"""karad""","""karad"""
"""sangli""","""sangli"""
"""halkarni""","""halkarni"""
"""rukadi""","""rukadi"""
"""phaltan""","""phaltan"""
"""vita""","""vita"""
"""wai""","""wai"""
"""patan""","""patan"""
"""hatkanangale""","""hatkanangale"""
"""kadepur""","""kadepur"""
"""chandgad""","""chandgad"""
"""malkapur""","""malkapur"""
"""kolhapur """"","""kolhapur """""
"""atpadi""","""atpadi"""
"""ajara""","""ajara"""
"""vathar tarf vadgaon""","""vathar tarf vadgaon"""
"""khandala""","""khandala"""
"""gadhinglaj""","""gadhinglaj"""
"""kurukali""","""kurukali"""
"""kagal""","""kagal"""
"""ichalkaranji""","""ichalkaranji"""
"""zare""","""zare"""
"""shirwal""","""shirwal"""
"""kavathe mahankal""","""kavathe mahankal"""
"""bidri""","""bidri"""
"""islampur""","""islampur"""
"""kapashi""","""kapashi"""
"""surat""","""surat"""
"""kodoli""","""kodoli"""
