C22874,Thakur Dharma Singh College of Education,0,Kathua,dis_1006
C23021,Baba Farid College of Education,0,Kathua,dis_1006
C23002,Rajiv Gandhi Memorial College of Education,1,Kathua,dis_1006
C22993,Satyam College of Education,0,Kathua,dis_1006
C22890,Bhagat Kabir College of Education,0,Kathua,dis_1006
C23004,Shri Shri Parmahansa Yogananda College of Education,0,Kathua,dis_1006
C22948,Rajive Gandhi Degree College,0,Kathua,dis_1006
C30796,Ashoka College of Education,0,Kathua,dis_1006
C23025,R.S College of Education,0,Kathua,dis_1006
C23011,"Govt. Degree College, Kathua",1,Kathua,dis_1006
C56138,Kathua Campus,0,Kathua,dis_1006
C48770,"GOVERNMENT DEGREE COLLEGE, MAHANPUR",0,Kathua,dis_1006
C22984,"Govt. Degree College,Basohli",0,Kathua,dis_1006
C22909,New Age Degree College,0,Kathua,dis_1006
C22988,"Govt. Degree College, Billawar",0,Kathua,dis_1006
C22943,Lal Bahadur Shastri College of Education,1,Kathua,dis_1006
C22900,Surya College of Education,0,Kathua,dis_1006
C45960,"AL-HUDA COLLEGE OF EDUCATION, BARAMULLAH",0,Baramula,dis_1007
C45963,"FRANKLIN COLLEGE OF EDUCATION, BARAMULLAH",0,Baramula,dis_1007
C45965,"GULZAR MEMOROIAL COLLEGE OF EDUCATION, BARAMULLAH",1,Baramula,dis_1007
C21452,"M.E.T,Teachers Training College Sopore, Kashmir",0,Baramula,dis_1007
ST15074,Government Polytechnic College Baramulla,0,Baramula,dis_1007
C54641,Temperate Sericulture Research Institute ,1,Baramula,dis_1007
C21422,North Campus Baramullah,0,Baramula,dis_1007
C21413,"Govt. Degree College, Uri",0,Baramula,dis_1007
C45966,"JAN BAZ WALI COLLEGE OF EDUCATION, BARAMULLAH",0,Baramula,dis_1007
C46528,SSM COLLEGE OF ENGINEERING,0,Baramula,dis_1007
C50488,AFARWAT COLLEGE OF EDUCATION,0,Baramula,dis_1007
C21459,"Govt. Degree College for Women, Baramullah, Kmr.",1,Baramula,dis_1007
C45970,"KASHMIR WOMENS COLLEGE OF EDUCATION, BARAMULLAH",0,Baramula,dis_1007
C45974,"WELKIN COLLEGE OF EDUCATION, BARAMULLAH",0,Baramula,dis_1007
