,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
0,"Doon Valley College of Engineering, Karnal",Karnal,Haryana,B.Tech Civil Engineering,4 years,Full time,60,UG,2.2 lakhs,(AICTE) All India Council of Technical Education,"The candidate should be a pass in 10+2 examination from recognized Board with Physics and Mathematics as compulsory subjects along with one of the following subjects:
(a) Chemistry
(b) Bio-Technology
(c) Biology.","Bachelor of Technology in Civil Engineering is four-year duration full-time course Affiliated to Kurukshetra University, Kurukshetra and approved by All India Council for Technical Education (AICTE), New Delhi and Government of Haryana."
1,"Doon Valley College of Engineering, Karnal",Karnal,Haryana,B.Tech Computer Science and Engineering,4 years,Full time,120,UG,2.2 lakhs,(AICTE) All India Council of Technical Education,"The candidate should be a pass in 10+2 examination from recognized Board with Physics and Mathematics as compulsory subjects along with one of the following subjects:
(a) Chemistry
(b) Bio-Technology
(c) Biology.","Bachelor of Technology in Computer Science and Engineering is four-year duration full-time course Affiliated to Kurukshetra University, Kurukshetra and approved by All India Council for Technical Education (AICTE), New Delhi and Government of Haryana."
2,"Doon Valley College of Engineering, Karnal",Karnal,Haryana,B.Tech Electrical and Electronics Engineering,4 years,Full time,60,UG,2.2 lakhs,(AICTE) All India Council of Technical Education,"The candidate should be a pass in 10+2 examination from recognized Board with Physics and Mathematics as compulsory subjects along with one of the following subjects:
(a) Chemistry
(b) Bio-Technology
(c) Biology.","Bachelor of Technology in Electrical and Electronics Engineering is four-year duration full-time course Affiliated to Kurukshetra University, Kurukshetra and approved by All India Council for Technical Education (AICTE), New Delhi and Government of Haryana."
3,"Doon Valley College of Engineering, Karnal",Karnal,Haryana,B.Tech Electronics and Communication Engineering,4 years,Full time,120,UG,2.2 lakhs,(AICTE) All India Council of Technical Education,"The candidate should be a pass in 10+2 examination from recognized Board with Physics and Mathematics as compulsory subjects along with one of the following subjects:
(a) Chemistry
(b) Bio-Technology
(c) Biology.","Bachelor of Technology in Electronics and Communication Engineering is four-year duration full-time course Affiliated to Kurukshetra University, Kurukshetra and approved by All India Council for Technical Education (AICTE), New Delhi and Government of Haryana."
4,"Doon Valley College of Engineering, Karnal",Karnal,Haryana,B.Tech Mechanical Engineering,4 years,Full time,120,UG,2.2 lakhs,(AICTE) All India Council of Technical Education,"The candidate should be a pass in 10+2 examination from recognized Board with Physics and Mathematics as compulsory subjects along with one of the following subjects:
(a) Chemistry
(b) Bio-Technology
(c) Biology.","Bachelor of Technology in Mechanical Engineering is four-year duration full-time course Affiliated to Kurukshetra University, Kurukshetra and approved by All India Council for Technical Education (AICTE), New Delhi and Government of Haryana."
5,"Doon Valley College of Engineering, Karnal",Karnal,Haryana,M.Tech Civil Engineering,2 years,Full time,30,PG,1.1 lakhs,(AICTE) All India Council of Technical Education,"B.E./B.Tech. in any discipline with atleast 60% marks in aggregate.
OR
M.Sc. in Computer Science/ computer Science (Software) / Mathematics/ Applied Mathematics / Physics / Applied Physics / Statistics / Operational Research / Electronics / Information Tech. with atleast 60% marks in the aggregate.","Master of Technology in Civil Engineering is two-year duration full-time course Affiliated to Kurukshetra University, Kurukshetra and approved by All India Council for Technical Education (AICTE), New Delhi and Government of Haryana."
6,"Doon Valley College of Engineering, Karnal",Karnal,Haryana,M.Tech Computer Science and Engineering,2 years,Full time,30,PG,1.1 lakhs,(AICTE) All India Council of Technical Education,"B.E./B.Tech. in any discipline with atleast 60% marks in aggregate.
OR
M.Sc. in Computer Science/ computer Science (Software) / Mathematics/ Applied Mathematics / Physics / Applied Physics / Statistics / Operational Research / Electronics / Information Tech. with atleast 60% marks in the aggregate.","Master of Technology in Computer Science and Engineering is two-year duration full-time course Affiliated to Kurukshetra University, Kurukshetra and approved by All India Council for Technical Education (AICTE), New Delhi and Government of Haryana."
7,"Doon Valley College of Engineering, Karnal",Karnal,Haryana,M.Tech Electronics and Communication Engineering,2 years,Full time,24,PG,1.1 lakhs,(AICTE) All India Council of Technical Education,"B.E./B.Tech. in any discipline with atleast 60% marks in aggregate.
OR
M.Sc. in Computer Science/ computer Science (Software) / Mathematics/ Applied Mathematics / Physics / Applied Physics / Statistics / Operational Research / Electronics / Information Tech. with atleast 60% marks in the aggregate.","Master of Technology in Electronics and Communication Engineering is two-year duration full-time course Affiliated to Kurukshetra University, Kurukshetra and approved by All India Council for Technical Education (AICTE), New Delhi and Government of Haryana."
8,"Doon Valley College of Engineering, Karnal",Karnal,Haryana,M.Tech Mechanical Engineering,2 years,Full time,24,PG,1.1 lakhs,(AICTE) All India Council of Technical Education,"B.E./B.Tech. in any discipline with atleast 60% marks in aggregate.
OR
M.Sc. in Computer Science/ computer Science (Software) / Mathematics/ Applied Mathematics / Physics / Applied Physics / Statistics / Operational Research / Electronics / Information Tech. with atleast 60% marks in the aggregate.","Master of Technology in Mechanical Engineering is two-year duration full-time course Affiliated to Kurukshetra University, Kurukshetra and approved by All India Council for Technical Education (AICTE), New Delhi and Government of Haryana."
9,"DMI Engineering College, Kanyakumari",Aralvaimozhi,Tamil Nadu,BE Civil Engineering,4 years,Full time,120,UG,1.6 lakhs,(AICTE) All India Council of Technical Education,"The candidate should have passed 10+2 with science stream (Mathematics, Physics and Chemistry) or equivalent from recognized board.","Bachelor of Engineering in Civil Engineering is four-year duration full-time course affiliated to Anna University, Chennai and approved by All India Council for Technical Education (AICTE)."
10,"DMI Engineering College, Kanyakumari",Aralvaimozhi,Tamil Nadu,BE Computer Science and Engineering,4 years,Full time,60,UG,1.6 lakhs,(AICTE) All India Council of Technical Education,"The candidate should have passed 10+2 with science stream (Mathematics, Physics and Chemistry) or equivalent from recognized board.","Bachelor of Engineering in Computer Science and Engineering is four-year duration full-time course affiliated to Anna University, Chennai and approved by All India Council for Technical Education (AICTE)."
11,"DMI Engineering College, Kanyakumari",Aralvaimozhi,Tamil Nadu,BE Electrical and Electronics Engineering,4 years,Full time,60,UG,1.6 lakhs,(AICTE) All India Council of Technical Education,"The candidate should have passed 10+2 with science stream (Mathematics, Physics and Chemistry) or equivalent from recognized board.","Bachelor of Engineering in Electrical and Electronics Engineering is four-year duration full-time course affiliated to Anna University, Chennai and approved by All India Council for Technical Education (AICTE)."
12,"DMI Engineering College, Kanyakumari",Aralvaimozhi,Tamil Nadu,BE Electronics and Communication Engineering,4 years,Full time,120,UG,1.6 lakhs,(AICTE) All India Council of Technical Education,"The candidate should have passed 10+2 with science stream (Mathematics, Physics and Chemistry) or equivalent from recognized board.","Bachelor of Engineering in Electronics and Communication Engineering is four-year duration full-time course affiliated to Anna University, Chennai and approved by All India Council for Technical Education (AICTE)."
13,"DMI Engineering College, Kanyakumari",Aralvaimozhi,Tamil Nadu,BE Mechanical Engineering,4 years,Full time,120,UG,1.6 lakhs,(AICTE) All India Council of Technical Education,"The candidate should have passed 10+2 with science stream (Mathematics, Physics and Chemistry) or equivalent from recognized board.","Bachelor of Engineering in Mechanical Engineering is four-year duration full-time course affiliated to Anna University, Chennai and approved by All India Council for Technical Education (AICTE)."
14,"DMI Engineering College, Kanyakumari",Aralvaimozhi,Tamil Nadu,ME Computer Science and Engineering,2 years,Full time,24,PG,1 lakh,(AICTE) All India Council of Technical Education,The candidate should have passed B.E/B.Tech degree in relevant discipline from recognized university.,"Master of Engineering in Computer Science and Engineering is two-year duration full-time course affiliated to Anna University, Chennai and approved by All India Council for Technical Education (AICTE)."
15,"Dhaya College of Engineering, Madurai",Karisalkalampatti,Tamil Nadu,B.Tech Civil Engineering,4 years,Full time,60,UG,1.6 lakhs,(AICTE) All India Council of Technical Education,The candidate should have passed in 10+2 with Science stream in any recognized board.,"Bachelor of Technology in Civil Engineering is a full-time four-year course affiliated to Anna University, Chennai and approved by AICTE."
16,"Dhaya College of Engineering, Madurai",Karisalkalampatti,Tamil Nadu,B.Tech Computer Science and Engineering,4 years,Full time,60,UG,1.6 lakhs,(AICTE) All India Council of Technical Education,The candidate should have passed in 10+2 with Science stream in any recognized board.,"Bachelor of Technology in Computer Science and Engineering is a full-time four-year course affiliated to Anna University, Chennai and approved by AICTE."
17,"Dhaya College of Engineering, Madurai",Karisalkalampatti,Tamil Nadu,B.Tech Electrical and Electronics Engineering,4 years,Full time,60,UG,1.6 lakhs,(AICTE) All India Council of Technical Education,The candidate should have passed in 10+2 with Science stream in any recognized board.,"Bachelor of Technology in Electrical and Electronics Engineering is a full-time four-year course affiliated to Anna University, Chennai and approved by AICTE."
18,"Dhaya College of Engineering, Madurai",Karisalkalampatti,Tamil Nadu,B.Tech Electronics and Communication Engineering,4 years,Full time,60,UG,1.6 lakhs,(AICTE) All India Council of Technical Education,The candidate should have passed in 10+2 with Science stream in any recognized board.,"Bachelor of Technology in Electronics and Communication Engineering is a full-time four-year course affiliated to Anna University, Chennai and approved by AICTE."
19,"Dhaya College of Engineering, Madurai",Karisalkalampatti,Tamil Nadu,B.Tech Mechanical Engineering,4 years,Full time,60,UG,1.6 lakhs,(AICTE) All India Council of Technical Education,The candidate should have passed in 10+2 with Science stream in any recognized board.,"Bachelor of Technology in Mechanical Engineering is a full-time four-year course affiliated to Anna University, Chennai and approved by AICTE."
20,"Devender Singh Institute of Technology and Management, Ghaziabad",Ghaziabad,Uttar Pradesh,B.Tech Computer Science and Engineering,4 years,Full time,120,UG,3.17 lakhs,(AICTE) All India Council of Technical Education,"Candidates who have passed Intermediate with Physics & Maths as compulsory subjects with one of the following, are eligible to admission","B.Tech Computer Science and Engineering is full time four year undergraduate degree course, recognized by AICTE"
21,"Devender Singh Institute of Technology and Management, Ghaziabad",Ghaziabad,Uttar Pradesh,B.Tech Electronics and Communication Engineering,4 years,Full time,60,UG,3.17 lakhs,(AICTE) All India Council of Technical Education,"Candidates who have passed Intermediate with Physics & Maths as compulsory subjects with one of the following, are eligible to admission","B.Tech Electronics and Communication Engineering is full time four year undergraduate degree course, recognized by AICTE"
22,"Devender Singh Institute of Technology and Management, Ghaziabad",Ghaziabad,Uttar Pradesh,B.Tech Information Technology,4 years,Full time,60,UG,3.17 lakhs,(AICTE) All India Council of Technical Education,"Candidates who have passed Intermediate with Physics & Maths as compulsory subjects with one of the following, are eligible to admission","B.Tech Information Technology is full time four year undergraduate degree course, recognized by AICTE"
23,"Devender Singh Institute of Technology and Management, Ghaziabad",Ghaziabad,Uttar Pradesh,B.Tech Mechanical Engineering,4 years,Full time,60,UG,3.17 lakhs,(AICTE) All India Council of Technical Education,"Candidates who have passed Intermediate with Physics & Maths as compulsory subjects with one of the following, are eligible to admission","B.Tech Mechanical Engineering is full time four year undergraduate degree course, recognized by AICTE"
