,Unnamed: 0,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
41,41,"Sidhartha Law College, Gulbarga",Kalaburagi,Karnataka,BA LLB,5 years,Full time,60.0,UG,,(BCI) Bar Council of India,"An applicant who has successfully completed Pre-University course or Senior Secondary School course (‘+2’) or equivalent such (11+1, ‘A” level in Senior School Leaving Certificate Course) from a recognized University of India or outside or from Senior Secondary Board or equivalent, constituted or recognized by the Union or by the State Government or from any equivalent institution from a foreign country recognized by the government of that country for the purpose of issue of qualifying certificate on successful completion of the course, may apply for and be admitted into the course.Provided that applicants who have obtained +2 Higher Secondary Pass Certificate or First Degree Certificate after prosecuting studies in distance or correspondence method shall also be considered as eligible for admission to the course. Provided further that the applicants who have obtained 10+2 or graduation or post graduation through open Universities system directly without having any basic qualification for prosecuting such studies are not eligible for admission to the course.Minimum percentage of marks in qualifying examination shall not be below 45% (44.5% and above shall be treated as 45%) of total marks in case of general category applicants and 40% (39.5% and above shall be treated as 40 %) of total marks in case of SC and ST applicants.Maximum age for seeking admission is limited to twenty years in case of general category of applicants and to twenty two years in the case of applicants from SC,ST and other backward communities as on 1st June.","Bachelor of Arts Bachelor of Law is Five Years Full Time Course and Approved By Bar Council of India and UGC and Affiliated By Karnataka State Law University, Hubli."
42,42,"Sidhartha Law College, Gulbarga",Kalaburagi,Karnataka,LLB,3 years,Full time,60.0,UG,,(BCI) Bar Council of India,"An applicant who has graduated in any discipline of knowledge from a University established by an Act of Parliament or by a State Legislature or an equivalent national institution recognized as a Deemed to be University or Foreign University recognized as equivalent to the status of an Indian University by an authority competent to declare equivalence, may apply for three year degree course in law leading to the conferment of LL.B. degree on successful completion of the regular programme conducted under these Regulations.Minimum percentage of marks in qualifying examination shall not be below 45 % (44.5 % and above shall be treated as 45 %) of total marks in case of general category applications and 40 % of total marks in case of SC and ST applicants.Maximum age for seeking admission is limited to thirty years in cae of general category of applicants and to thirty five year in the case of applicants from SC, ST and other backward communities as on 1st June.","Bachelor of Law is Three Years Full Time Course and Approved By Bar Council of India and UGC and Affiliated By Karnataka State Law University, Hubli."
43,43,"Kha Shri Govindrao Adik Law College, Shrirampur",Shrirampur,Maharashtra,BSL LLB Integrated,5 years,Full time,,UG,,(BCI) Bar Council of India,Minimum qualification for admission in program: 10+2 or its equivalent.,"It is five-years (10 Semesters) full-time Integrated programme in Law affiliated with Savitribai Phule Pune University, Pune with the approval of Bar Council of India."
44,44,"Kha Shri Govindrao Adik Law College, Shrirampur",Shrirampur,Maharashtra,LLB,3 years,"Full time , Online",,UG,,(BCI) Bar Council of India,The candidate should have passed any Graduate or equivalent degree from any recognized College or University. ,"Bachelor of Laws (LLB) is three-years (6 Semesters) full-time program affiliated with Savitribai Phule Pune University, Pune and approved by Bar Council of India."
45,45,"Motherhood University, Roorkee",Roorkee,Uttarakhand,B.Com LL.B,5 years,Full time,,UG,,UGC,Passed 10+2/Intermediate with Commerce. 45% for General/OBC category and 40% for SC/ST category.,"This is a full time five year course offered by Motherhood University, Roorkee."
46,46,"Motherhood University, Roorkee",Roorkee,Uttarakhand,BA LL.B,5 years,Full time,,UG,,UGC,Passed 10+2/Intermediate in any discipilne. 45% for General/OBC category and 40% for SC/ST category.,"This is a full time five year course offered by Motherhood University, Roorkee."
47,47,"Motherhood University, Roorkee",Roorkee,Uttarakhand,BBA LL.B,5 years,Full time,,UG,,UGC,Passed 10+2/Intermediate in any discipilne. 45% for General/OBC category and 40% for SC/ST category.,"This is a full time five year course offered by Motherhood University, Roorkee."
48,48,"Motherhood University, Roorkee",Roorkee,Uttarakhand,LL.B,3 years,Full time,,UG,,UGC,Passed graduation in any discipline. 45% for General/OBC category and 40% for SC/ST category.,"This is a full time three year course offered by Motherhood University, Roorkee."
49,49,"BITS Law College, Bhiwani",Bhiwani,Haryana,BA LLB,5 years,Full time,120.0,UG,,(BCI) Bar Council of India,The candidate should have passed in 10+2 any stream.,"Bachelor of Arts and Bachelor of Laws is full time five year course degree offered by Maharshi Dayanand University, Rohtak and approved by Bar Council of India."
50,50,"BITS Law College, Bhiwani",Bhiwani,Haryana,LLB,3 years,Full time,60.0,UG,,(BCI) Bar Council of India,The candidate should have passed in any graduate degree.,"Bachelor of Law is a three year full time course degree offered by by Maharshi Dayanand University, Rohtak and approved by BCI."
