,Unnamed: 0,College,City,State,Course,Duration,Study mode,Approved intake,Course level,Course Fee,Approval,Eligiblity,Course_Detail
14,14,"Institute of Hospitality Management, Rishikesh",Rishikesh,Uttarakhand,Diploma in Hotel Management,1 year,Full time,,Diploma,,,The criteria for above courses are 10+2 with English as one of the subjects.,"Diploma in Hotel Management is one years full time course affiliated to Uttarakhand Open University, Haldwani."
15,15,"Institute of Hospitality Management, Rishikesh",Rishikesh,Uttarakhand,PGD in Hospitality Management,1 year,Full time,,PG,,,The criteria for admission in above course a) is 10+2 with a very good communication skill in English.,"Post Graduate Diploma in Hospitality Management is one years full time course affiliated to Uttarakhand Open University, Haldwani."
16,16,"Renaissance College of Hotel Management and Catering Technology, Ramnagar",Ramnagar,Uttarakhand,BHM,4 years,Full time,,UG,,,The candidate should have passed in 10+2 relevant subject for any recognized board.,The Bachelor Degree in Hospitality Management is a 4 years Degree Programme to equip students with the required skill.
17,17,"Renaissance College of Hotel Management and Catering Technology, Ramnagar",Ramnagar,Uttarakhand,DHM,1 year,Full time,,Diploma,,,The candidate should have passed in 10+2 relevant subject for any recognized board.,"Diploma in hotel management is 1 year diploma programme which comprises of 4 streams mainly food production, food and beverage service,Accommodation Operations,Front Office."
18,18,"Renaissance College of Hotel Management and Catering Technology, Ramnagar",Ramnagar,Uttarakhand,MHM,2 years,Full time,,PG,,,Graduate in Hotel Management.,Renaissance also offers a post graduation course in hotel management which is a 2 year degree programme to enhance students with advance level of skills in hotel management.
19,19,"The Renaissance Institute of Management and Technology, Dehradun",Dehradun,Uttarakhand,Advanced Diploma in Hotel Management,1.5 years,Full time,,Diploma,,"Distance Education Council, New Delhi",The candidate should have passed in 10+2 relevant subject for any recognized board.,"Advanced Diploma in Hotel Management is a one and half year full time course affiliated to Uttarakhand Open University, Haldwani and approved by Distance Education Council, New Delhi."
20,20,"The Renaissance Institute of Management and Technology, Dehradun",Dehradun,Uttarakhand,BHM,3 years,Full time,,UG,,"Distance Education Council, New Delhi",The candidate should have passed in 10+2 relevant subject for any recognized board.,"Bachelor in Hotel Management is a three year full time course affiliated to Uttarakhand Open University, Haldwani and approved by Distance Education Council, New Delhi."
21,21,"The Renaissance Institute of Management and Technology, Dehradun",Dehradun,Uttarakhand,M.Sc Hotel Management,1 year,Full time,,PG,,"Distance Education Council, New Delhi",The candidate should have passed in graduation relevant subject for any recognized university.,"Masters of Science in Hotel Management is a one year full time course affiliated to Uttarakhand Open University, Haldwani and approved by Distance Education Council, New Delhi."
22,22,"The Renaissance Institute of Management and Technology, Dehradun",Dehradun,Uttarakhand,PG Diploma in Tourism and Hotel Management,1.5 years,Full time,,PG,,"Distance Education Council, New Delhi",The candidate should have passed in graduation relevant subject for any recognized university.,"Post Graduate Diploma in Tourism and Hotel Management is a one and half year full time course affiliated to Uttarakhand Open University, Haldwani and approved by Distance Education Council, New Delhi."
23,23,"RIG Institute of Hospitality and Hotel Management, Bazpur",Bazpur,Uttarakhand,BHM,3 years,Full time,,UG,0.558 lakhs,,12th pass / BAP (6 Months Basic preparatory course for those students who have not Qualified 10th and are above 18 years old).,"Bachelor of Hotel Management is a three year full time course affiliated to Uttarakhand Open University, Haldwani."
